SA3_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
31601,..,4605,4605,7109,552,7660,3242,189,3425,3607,77,3681,1415,19,1430,515,3,522,15885,5440,21324
31602,..,9056,9056,13249,1012,14262,5094,237,5329,5220,94,5318,1982,16,1989,852,6,852,26396,10411,36809
31603,..,7585,7585,9478,1094,10565,3231,280,3514,2727,81,2807,1006,17,1021,352,10,363,16792,9069,25860
31605,..,4359,4359,7014,522,7531,2406,108,2509,2488,32,2523,896,5,905,265,4,267,13075,5024,18097
31606,..,4054,4054,7676,496,8172,3232,98,3326,3148,34,3180,1375,7,1386,796,3,803,16231,4695,20930
31607,..,4056,4056,5996,482,6473,2832,70,2902,2760,16,2770,1246,7,1251,636,3,640,13470,4631,18098
31608,..,1671,1671,3303,210,3517,1264,36,1299,1299,9,1308,543,4,553,319,0,319,6729,1935,8662
31701,..,16324,16324,19838,1531,21369,8325,353,8681,7764,128,7887,3670,45,3712,2223,39,2259,41817,18408,60232
31801,..,4619,4619,5605,328,5934,1843,44,1890,1641,9,1647,823,0,826,457,0,462,10371,5002,15376
31802,..,18235,18235,22248,2332,24576,10651,539,11191,9453,171,9618,4023,41,4060,2215,14,2228,48583,21330,69911
31901,..,10091,10091,13536,987,14526,4643,138,4775,4024,52,4074,1798,9,1807,1091,13,1104,25083,11290,36381
31902,..,5703,5703,6990,585,7574,2256,76,2326,1743,18,1756,970,11,984,632,6,647,12586,6400,18991
31903,..,5569,5569,7660,569,8225,2606,64,2666,2206,11,2219,1067,4,1069,682,4,684,14212,6212,20430
31904,..,6732,6732,10079,769,10846,3146,87,3238,2485,17,2505,1167,3,1168,702,0,702,17581,7616,25195
31905,..,5391,5391,7406,593,7997,2185,73,2251,1759,9,1771,805,0,805,537,4,538,12690,6070,18758
39797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
39999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40101,..,4936,4936,3423,970,4393,843,305,1147,410,78,490,93,16,110,36,15,45,4802,6311,11116
40102,..,6017,6017,10073,450,10516,4527,86,4607,5079,20,5092,1937,3,1940,740,8,751,22354,6576,28930
40103,..,4762,4762,5534,292,5821,2425,74,2508,3119,46,3165,1083,14,1100,342,7,342,12506,5195,17704
40104,..,5748,5748,6428,457,6887,3518,162,3678,3515,51,3567,1156,20,1177,389,11,403,14999,6448,21450
40105,..,5607,5607,4748,517,5269,1995,191,2192,2029,64,2094,618,23,635,158,12,166,9551,6408,15965
40106,..,3291,3291,3488,362,3848,1715,164,1876,1870,63,1933,667,14,681,174,18,193,7910,3911,11821
40107,..,4681,4681,4898,434,5334,2049,180,2220,2291,52,2341,759,12,772,173,8,178,10164,5363,15526
40201,..,3606,3606,4643,301,4949,2241,27,2266,2091,7,2098,895,3,896,439,0,444,10309,3953,14263
40202,..,9362,9362,10005,1004,11006,5756,145,5906,5064,40,5109,2413,4,2422,1834,3,1837,25077,10561,35644
40203,..,7814,7814,7703,930,8635,4616,379,4995,4368,181,4547,1558,64,1626,915,45,962,19158,9407,28566
40204,..,13127,13127,14668,1229,15901,8450,298,8750,7843,105,7941,3553,45,3597,2468,24,2488,36976,14824,51810
40205,..,8920,8920,12418,558,12978,5999,112,6108,6048,29,6079,2087,13,2099,810,9,821,27363,9639,37003
40301,..,5379,5379,5249,385,5636,1793,84,1871,1710,29,1736,590,11,601,148,0,148,9489,5882,15377
40302,..,11350,11350,12000,1062,13063,5991,448,6439,5445,119,5563,1752,38,1791,683,16,696,25867,13033,38904
40303,..,5856,5856,7761,447,8209,3741,162,3896,4584,65,4647,1538,30,1571,435,20,459,18060,6586,24643
40304,..,17803,17803,23007,1433,24438,10847,216,11061,10074,42,10116,3722,14,3737,1438,4,1439,49089,19503,68596
40401,..,14342,14342,14813,1334,16152,7084,421,7501,6526,109,6631,2181,37,2224,888,28,917,31490,16267,47759
40402,..,7777,7777,7291,688,7981,3622,153,3776,3088,59,3146,1127,14,1143,613,17,631,15737,8706,24448
40403,..,8268,8268,7760,987,8740,3803,449,4248,3597,163,3762,1106,41,1149,347,19,370,16611,9932,26544
40501,..,3614,3614,5186,243,5428,1954,30,1988,2048,11,2059,906,0,906,368,0,368,10464,3895,14362
40502,..,2909,2909,3441,182,3623,1011,12,1025,897,6,902,499,0,497,227,3,232,6072,3110,9180
40503,..,3904,3904,3947,240,4182,1289,16,1306,1047,3,1055,555,0,555,240,0,240,7082,4165,11249
40504,..,3685,3685,4721,227,4947,1056,19,1079,889,3,889,403,0,403,227,0,223,7289,3933,11231
40601,..,7419,7419,7824,469,8293,2748,67,2817,2546,11,2550,1149,0,1150,476,0,476,14743,7972,22710
40602,..,3046,3046,2670,236,2907,1106,26,1131,954,16,971,515,3,513,372,6,379,5613,3335,8952
40701,..,7117,7117,9742,425,10172,2464,28,2495,2125,11,2139,912,0,912,447,9,453,15690,7598,23282
40702,..,7892,7892,9158,488,9645,3206,87,3293,3039,22,3060,1387,15,1398,592,9,601,17388,8507,25897
40703,..,9043,9043,10290,611,10905,3354,78,3432,2929,28,2957,1399,14,1407,645,8,653,18617,9782,28403
49797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101,..,5150,5150,7465,447,7912,2882,114,2992,3071,51,3118,1224,6,1232,430,5,433,15066,5777,20841
50102,..,10384,10384,13702,871,14575,5595,132,5725,5698,35,5734,2453,13,2465,1083,20,1099,28531,11451,39978
50103,..,2625,2625,3633,163,3804,1011,17,1031,992,5,997,478,0,478,202,5,210,6326,2824,9142
50201,..,11472,11472,15313,802,16118,5536,114,5655,5209,25,5231,2202,11,2217,1042,0,1047,29308,12429,41734
50301,..,6236,6236,7815,557,8372,3428,237,3664,4485,134,4614,2042,26,2074,490,6,493,18258,7196,25459
50302,..,17360,17360,14598,2185,16780,5436,718,6153,4992,217,5207,1443,37,1482,311,15,323,26775,20525,47305
50401,..,10151,10151,10554,1099,11645,5223,291,5513,4591,84,4676,1422,34,1452,623,19,641,22405,11677,34084
50402,..,3372,3372,5317,253,5572,2446,42,2485,2367,8,2382,1061,0,1065,449,0,446,11638,3679,15316
50403,..,10579,10579,14497,1107,15599,9043,204,9243,9206,51,9259,3866,22,3884,2296,9,2301,38902,11969,50874
50501,..,10739,10739,19302,907,20216,9743,194,9934,11497,74,11566,4063,22,4082,1198,17,1215,45800,11953,57751
50502,..,24984,24984,24804,2459,27266,12005,761,12770,11773,230,11998,3904,54,3961,1596,28,1621,54082,28524,82612
50503,..,13590,13590,20191,1207,21394,12931,239,13172,14033,59,14088,5811,16,5833,2928,13,2942,55904,15125,71023
50601,..,6955,6955,9238,715,9950,5604,101,5710,6002,24,6029,2489,6,2496,1409,10,1417,24740,7810,32549
50602,..,10168,10168,9287,1382,10669,4251,509,4755,3443,157,3599,1121,63,1181,549,21,569,18647,12298,30940
50603,..,7950,7950,9222,928,10143,5652,521,6170,6270,291,6556,2491,121,2610,1214,65,1280,24845,9865,34710
50604,..,9334,9334,11413,958,12369,7242,242,7487,7702,95,7798,3471,34,3507,2172,17,2184,31996,10678,42675
50605,..,4623,4623,7062,386,7446,3370,59,3428,3535,15,3552,1554,5,1554,641,6,648,16165,5090,21248
50606,..,1542,1542,3048,172,3218,1791,25,1808,2053,5,2057,1007,5,1006,597,0,597,8492,1739,10232
50607,..,5651,5651,5735,626,6357,2284,237,2523,2176,60,2232,700,19,719,200,9,209,11092,6598,17690
50701,..,9937,9937,12891,1008,13900,7336,267,7604,7533,76,7605,2628,21,2648,1034,5,1040,31427,11318,42742
50702,..,5179,5179,5135,531,5667,2145,190,2331,2036,80,2117,631,11,645,177,6,183,10119,6001,16121
50703,..,3588,3588,4271,437,4706,2721,70,2788,2677,22,2695,1193,10,1200,679,0,681,11540,4123,15666
50704,..,9477,9477,12575,667,13237,6083,245,6334,6941,89,7027,2532,39,2573,795,16,812,28923,10530,39453
50705,..,11283,11283,14792,980,15771,7941,155,8098,8045,30,8077,3527,11,3540,1656,0,1660,35958,12471,48428
50901,..,6822,6822,8308,449,8756,2896,81,2976,2748,17,2765,1258,6,1259,672,7,676,15882,7380,23262
50902,..,5914,5914,7634,416,8049,2406,44,2453,2200,17,2218,1151,5,1154,605,0,608,14002,6395,20393
50903,..,2212,2212,2677,129,2800,788,18,804,772,11,782,435,0,439,165,0,167,4842,2369,7212
51001,..,2610,2610,2634,277,2908,1419,83,1499,1430,29,1454,788,9,793,769,6,780,7035,3008,10043
51002,..,1695,1695,1700,167,1868,996,30,1029,1018,7,1028,525,0,527,367,0,368,4604,1903,6508
51003,..,1738,1738,2088,177,2265,1219,46,1268,1569,7,1582,743,4,750,277,6,287,5904,1984,7888
51101,..,1721,1721,1993,131,2131,698,17,719,712,4,717,334,0,332,150,0,150,3894,1882,5777
51102,..,1024,1024,1051,103,1151,373,32,406,421,14,437,166,12,171,92,4,99,2104,1185,3291
51103,..,3489,3489,3497,327,3829,1813,65,1885,1733,12,1747,831,9,841,488,3,494,8373,3905,12275
51104,..,5632,5632,6786,421,7207,2584,60,2639,2375,6,2377,1090,0,1095,548,0,550,13382,6115,19497
59797,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
59999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60101,..,1553,1553,2263,152,2417,1329,18,1347,1071,0,1073,460,0,462,248,0,248,5369,1731,7098
60102,..,6013,6013,7567,447,8013,3514,130,3651,3180,46,3230,1252,17,1266,514,5,522,16026,6656,22688
60103,..,7053,7053,6683,577,7259,3408,187,3592,2781,83,2863,1202,43,1246,742,18,756,14813,7960,22775
60104,..,3240,3240,4470,269,4743,2145,81,2234,2186,31,2218,908,9,916,364,7,369,10075,3641,13721
60105,..,6479,6479,6663,801,7466,2784,503,3287,2595,266,2864,900,93,989,371,49,415,13313,8190,21501
60106,..,1928,1928,2561,140,2703,1102,17,1118,946,5,952,340,0,340,166,0,164,5114,2088,7205
60201,..,10677,10677,10983,960,11945,4905,254,5159,4269,115,4391,1676,26,1705,770,11,784,22607,12055,34665
60202,..,2581,2581,3712,173,3883,1250,23,1270,1079,3,1078,487,4,490,257,0,257,6780,2786,9563
60203,..,4900,4900,6197,322,6517,1996,27,2018,1616,7,1620,704,5,702,365,3,362,10868,5256,16128
60301,..,1273,1273,1653,78,1729,622,3,627,596,3,602,244,0,245,172,0,174,3276,1367,4643
60302,..,2185,2185,3242,158,3404,1096,19,1114,956,0,954,422,0,422,249,3,256,5967,2368,8335
60303,..,1087,1087,1401,69,1475,326,5,327,218,4,227,70,0,70,44,0,44,2059,1164,3226
60401,..,6522,6522,7289,355,7645,2627,42,2676,2345,11,2352,923,8,935,437,0,440,13624,6950,20568
60402,..,5637,5637,7050,437,7490,2650,59,2709,2150,14,2168,887,3,892,419,5,429,13169,6156,19327
60403,..,2246,2246,2503,159,2663,800,18,813,735,5,738,339,4,342,181,0,181,4555,2428,6984
69797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70101,..,3262,3262,3194,643,3833,1479,232,1708,1115,68,1183,362,26,395,179,3,184,6332,4234,10567
70102,..,4069,4069,4910,650,5563,3248,213,3464,2951,88,3037,1290,31,1315,820,10,830,13216,5061,18273
70103,..,1173,1173,1886,136,2019,973,38,1010,1084,13,1094,508,0,509,338,0,337,4778,1360,6143
70104,..,2552,2552,3283,377,3659,2294,99,2395,2189,20,2207,986,7,985,505,0,505,9254,3055,12311
70201,..,3095,3095,2752,351,3104,1625,134,1761,1462,45,1507,770,13,779,955,5,957,7569,3640,11208
70202,..,432,432,315,42,353,156,5,163,153,0,153,109,0,109,217,0,217,951,479,1428
70203,..,833,833,889,89,980,397,20,419,367,0,371,319,0,321,789,0,789,2764,950,3713
70204,..,396,396,432,32,461,318,5,324,412,0,409,264,0,265,649,0,649,2066,436,2506
70205,..,999,999,1100,135,1234,550,41,590,572,13,588,385,3,392,708,6,711,3315,1202,4513
79797,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
79999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101,..,9792,9792,12141,1138,13284,6146,524,6665,6187,190,6372,2277,53,2325,1027,40,1070,27775,11737,39514
80103,..,253,253,117,20,134,56,0,51,41,0,41,10,0,13,15,0,15,234,282,515
80104,..,5450,5450,7579,649,8227,5544,273,5815,6379,143,6519,2484,57,2536,1105,31,1137,23084,6597,29684
80105,..,8080,8080,7103,1298,8399,2625,730,3357,2440,267,2701,789,77,867,235,28,262,13192,10477,23677
80106,..,4573,4573,4336,490,4825,1570,121,1698,1456,42,1497,485,11,500,164,0,170,8017,5245,13258
80107,..,7486,7486,10305,534,10837,5575,135,5712,5659,35,5694,2202,8,2208,976,5,984,24717,8202,32919
80108,..,2234,2234,2903,149,3056,1386,44,1438,1599,9,1610,628,3,627,188,0,190,6709,2448,9154
80109,..,4508,4508,4622,334,4954,2167,120,2287,2377,42,2415,821,16,832,325,3,326,10301,5019,15322
80110,..,934,934,1122,142,1264,754,49,806,789,26,813,247,4,245,118,0,115,3029,1147,4178
80111,..,25,25,56,0,56,25,0,29,40,0,43,20,0,20,11,0,11,160,23,185
89797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101,..,131,131,120,4,129,60,0,60,58,0,58,34,0,34,10,0,10,292,130,422
90102,..,9,9,36,0,35,18,0,18,13,0,13,14,0,14,26,0,26,114,9,122
90103,..,20,20,24,4,27,7,0,7,15,0,15,4,0,4,14,0,14,68,19,89
90104,..,342,342,320,19,341,96,0,93,75,0,75,39,0,37,12,0,12,539,361,898
99797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
