SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED20207,6267,14830,3475,336,24911,4538,856,30306,520,641,193,12,1373,812,62,2243,634,726,290,35,1682,516,89,2284,1155,1371,480,52,3057,1324,150,4532,252,132,97,15,490,488,22,1006,3,0,0,0,6,61,0,66,68,18,26,7,114,172,13,298,0,0,0,0,0,0,0,0,3,3,0,0,8,4,0,15,328,155,125,14,618,721,37,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,15,7,0,25,8,3,0,0,15,7,0,25,4,0,0,0,4,9,0,15,7759,16355,4079,405,28602,6602,1046,36253
SED20302,10061,14188,4029,335,28615,7550,875,37043,563,179,138,16,894,1143,30,2061,264,173,114,7,562,252,38,851,823,353,251,22,1456,1395,70,2915,71,41,47,4,164,236,19,417,12,0,0,0,13,30,0,46,4,0,0,0,6,6,0,13,0,0,0,0,0,0,0,0,6,0,0,0,4,10,0,13,87,41,46,10,186,288,20,490,4,0,0,0,7,42,0,46,35,4,3,3,49,123,0,170,0,0,0,0,0,0,0,0,4,4,0,0,6,3,0,13,44,4,8,3,63,172,0,234,17,14,4,0,28,19,0,51,11037,14599,4339,367,30340,9420,959,40725
SED20401,4884,6989,2281,209,14367,3901,522,18788,655,584,364,53,1644,1399,103,3147,396,362,217,34,1003,486,79,1568,1048,946,572,81,2652,1883,180,4714,117,77,62,4,260,326,16,598,49,16,20,0,85,141,11,237,12,0,15,0,27,33,0,58,0,0,0,0,0,0,0,0,3,3,4,0,12,11,0,21,181,94,102,9,384,509,27,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,10,3,0,0,0,3,3,4,10,5,8,0,0,13,12,0,22,6117,8036,2960,296,17409,6311,733,24446
SED20508,9152,7495,2418,189,19254,5930,495,25676,285,71,102,19,475,706,23,1197,155,53,53,0,267,133,9,407,440,121,153,15,735,836,34,1603,40,8,7,0,59,84,5,144,0,3,0,0,6,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,11,47,11,7,0,62,90,5,160,4,0,0,0,9,13,0,22,24,0,3,0,30,103,4,136,0,0,0,0,0,0,0,4,7,3,0,0,10,7,0,20,37,10,8,0,47,122,8,176,12,3,0,0,10,11,0,24,9680,7638,2586,206,20116,6987,536,27642
SED20604,7749,7212,2756,198,17914,5959,546,24419,201,88,157,23,470,1111,63,1636,15,10,27,5,48,39,4,86,213,98,181,24,515,1151,58,1730,40,14,39,5,96,229,10,341,3,0,0,0,3,4,0,7,0,0,0,0,0,3,0,3,0,0,3,0,9,0,0,9,5,0,0,0,7,4,0,10,50,12,42,5,109,237,12,363,15,3,3,0,17,55,0,77,5,0,0,0,5,10,0,17,0,0,0,0,0,0,0,6,15,12,6,0,34,23,0,55,37,17,7,0,62,89,6,156,24,12,0,0,38,18,4,62,8066,7350,2990,231,18636,7455,636,26732
SED20704,7088,7802,3043,245,18177,5845,763,24791,255,122,159,15,550,1110,75,1737,57,25,34,4,123,86,24,239,313,144,196,20,676,1203,102,1976,22,5,10,0,39,59,3,94,9,4,0,0,10,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,24,13,10,0,54,64,3,120,3,4,0,0,6,7,0,16,8,3,0,0,14,7,0,27,0,0,0,0,0,5,0,4,0,6,0,0,9,11,4,22,19,11,0,4,30,34,4,65,20,8,5,0,31,25,3,57,7463,7980,3255,270,18967,7169,877,27006
SED20804,6750,5972,2879,262,15867,6901,748,23510,163,85,129,19,387,870,58,1319,46,24,27,5,100,110,16,230,206,106,152,22,487,984,80,1549,49,14,31,5,102,204,9,309,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,10,0,14,53,17,30,5,103,212,11,329,3,0,0,0,4,34,0,37,8,0,0,0,9,4,0,17,0,0,0,0,0,0,0,0,7,8,6,0,22,17,3,41,20,8,6,0,36,55,4,95,7,4,4,0,17,29,0,45,7045,6111,3072,293,16515,8173,845,25534
SED20906,3543,7275,1764,155,12744,2686,360,15796,476,479,251,23,1226,754,69,2057,458,1108,316,18,1898,290,64,2252,934,1584,560,42,3128,1050,134,4310,555,540,295,41,1431,1136,108,2674,155,67,62,4,291,222,45,561,265,125,100,5,490,522,41,1054,19,9,8,0,36,44,9,91,0,8,0,0,8,6,0,11,994,738,471,52,2256,1938,204,4392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,7,0,35,34,9,77,19,9,7,0,35,32,9,73,13,0,3,0,17,12,4,32,5502,9614,2805,260,18181,5713,705,24604
SED21001,3650,6686,1517,193,12041,2610,537,15190,1185,948,449,57,2636,1945,235,4812,624,818,361,45,1854,572,168,2596,1810,1768,816,103,4492,2512,403,7400,325,220,132,41,719,653,125,1489,328,85,87,27,527,488,91,1104,323,94,89,25,529,671,87,1288,482,114,126,28,752,567,195,1513,0,0,0,0,5,5,0,7,1463,511,430,123,2529,2377,496,5405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,17,9,0,27,8,6,0,0,17,9,0,27,7,6,0,0,16,13,0,34,6938,8973,2761,417,19097,7532,1435,28061
SED21106,3009,5686,1110,72,9866,1893,172,11939,649,591,225,28,1491,904,82,2475,775,743,245,17,1780,650,55,2486,1426,1327,471,46,3268,1555,134,4963,687,308,193,20,1216,1393,191,2800,870,262,195,43,1375,1943,230,3547,299,81,76,9,462,632,37,1136,14,7,3,0,26,50,0,74,0,3,0,0,3,0,0,5,1874,658,467,76,3080,4019,458,7558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,21,7,56,54,6,114,29,5,21,7,56,54,6,114,3,7,3,0,16,3,0,19,6342,7689,2066,192,16290,7528,780,24592
SED21203,3311,7464,3071,327,14170,3588,662,18416,274,450,250,27,994,587,57,1638,385,587,228,41,1239,398,127,1770,654,1036,474,65,2235,989,183,3405,148,248,158,17,574,281,38,896,0,0,0,0,0,0,0,0,17,18,19,3,59,50,0,108,0,0,0,0,0,0,0,0,4,6,3,0,10,7,0,21,165,272,180,21,642,347,43,1029,0,0,0,0,3,39,0,46,4,0,0,0,5,57,0,63,0,0,0,0,0,0,0,0,0,6,3,0,7,11,3,21,7,6,3,0,20,110,3,127,0,12,0,0,19,16,0,37,4146,8790,3732,415,17080,5047,888,23021
SED21303,3084,4287,1137,223,8730,2398,1383,12506,1012,638,244,58,1959,1253,519,3731,1266,837,269,83,2455,1019,723,4199,2277,1477,521,136,4409,2274,1247,7928,716,268,169,53,1208,2051,347,3606,445,101,59,20,631,820,184,1636,1361,293,194,58,1906,2598,385,4892,357,91,47,28,524,783,159,1470,0,11,0,0,11,8,0,18,2881,766,471,165,4283,6264,1078,11617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,31,10,3,101,59,57,219,57,31,10,3,101,55,58,217,4,6,0,0,16,13,3,31,8301,6569,2143,523,17534,11006,3768,32306
SED21401,4872,6979,1811,192,13850,2875,380,17106,368,282,164,13,824,627,35,1485,795,1136,382,48,2363,494,80,2938,1161,1419,547,62,3191,1121,113,4428,167,88,68,3,331,313,17,660,107,43,28,4,189,219,8,413,306,117,78,15,524,416,39,975,381,170,132,20,704,504,39,1248,0,5,0,0,3,0,0,5,965,422,308,48,1755,1451,102,3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,4,0,5,3,0,4,0,3,4,0,5,4,3,0,0,10,10,0,25,7009,8822,2675,307,18813,5464,595,24872
SED21503,4596,6819,2045,209,13675,3339,691,17710,318,241,155,17,737,763,61,1560,440,430,194,40,1103,473,162,1731,757,670,355,56,1841,1235,222,3300,63,59,40,18,176,180,31,390,93,12,28,10,147,229,42,421,85,22,44,4,154,262,45,459,18,4,5,8,33,36,6,79,0,3,0,0,4,10,0,14,263,101,122,37,521,716,129,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,3,4,0,0,0,3,4,0,6,4,0,3,0,5,5,3,20,5627,7594,2529,311,16054,5296,1043,22395
SED21608,6537,7195,2707,203,16639,5240,726,22607,364,206,242,31,834,1174,100,2103,30,15,18,0,58,48,8,119,393,216,260,30,894,1217,111,2220,45,11,21,9,84,160,9,254,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,6,0,16,46,13,25,9,93,178,9,285,3,0,0,0,13,15,0,24,0,0,0,0,0,11,0,9,5,0,0,0,5,3,0,3,8,3,3,3,21,4,0,28,16,5,10,5,32,36,0,65,7,7,0,0,15,14,3,32,6997,7441,3000,233,17676,6690,846,25214
SED21706,3662,7103,1612,205,12579,2800,744,16120,709,573,241,41,1566,1177,111,2862,634,860,303,36,1837,440,198,2480,1344,1435,544,79,3402,1621,313,5337,373,334,192,24,926,711,102,1742,163,29,35,12,245,291,50,580,145,36,67,18,267,347,47,658,58,11,3,0,72,89,18,180,6,7,3,0,11,8,0,24,747,417,300,56,1520,1449,214,3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,5,0,29,27,10,65,12,12,5,0,29,30,10,68,4,7,6,0,9,13,3,30,5770,8971,2463,340,17546,5911,1282,24735
SED21805,4870,7381,2644,198,15086,3989,536,19604,770,526,489,36,1821,1935,104,3865,779,542,348,37,1704,789,89,2581,1552,1065,837,70,3529,2726,194,6445,145,76,55,6,288,486,22,798,49,11,30,0,92,127,9,226,21,5,16,0,46,75,5,120,0,0,0,0,0,0,0,0,6,3,5,0,13,13,0,25,227,99,100,4,432,706,29,1165,3,0,3,0,7,19,0,27,23,5,9,0,36,183,6,222,0,0,0,0,0,0,0,0,3,4,4,0,11,9,0,20,34,10,18,0,58,210,6,267,4,0,0,0,14,13,0,27,6680,8560,3596,273,19109,7638,759,27508
SED21906,2570,4406,749,83,7807,1474,353,9634,1135,1141,378,51,2699,1404,212,4314,832,905,284,22,2045,650,197,2897,1965,2047,656,68,4744,2054,415,7207,1199,561,310,52,2124,2797,477,5396,837,263,151,58,1309,1408,260,2975,505,121,63,27,709,784,176,1665,115,16,13,5,148,193,38,385,0,4,0,0,6,12,0,17,2662,962,532,147,4303,5189,947,10439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,17,3,75,90,21,190,37,19,17,3,75,87,21,188,6,3,0,0,9,12,5,26,7243,7439,1953,304,16945,8809,1739,27499
SED22005,4157,6886,2233,315,13592,3255,895,17739,892,911,403,89,2296,1265,332,3892,659,826,277,83,1841,400,431,2673,1550,1734,679,171,4136,1664,766,6567,336,246,115,33,734,705,89,1523,134,58,22,20,232,166,48,448,105,37,40,4,193,148,24,369,0,0,0,0,0,0,0,0,0,4,8,0,9,0,0,11,582,345,183,58,1167,1020,160,2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,3,15,0,3,0,0,6,5,3,16,3,3,0,0,4,9,8,23,6293,8972,3093,548,18906,5953,1828,26692
SED22105,6681,17926,4304,426,29335,4396,811,34541,722,756,372,35,1884,1057,77,3018,189,248,124,14,573,214,39,824,911,1005,492,50,2460,1271,113,3844,167,39,53,8,264,226,17,512,0,4,7,0,7,18,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,13,165,39,59,14,273,255,17,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,0,22,20,0,36,7766,18977,4859,483,32089,5939,946,38971
SED22201,5546,7223,2487,184,15441,4713,461,20611,324,224,156,12,716,806,44,1565,194,178,136,10,522,220,28,767,516,407,293,21,1239,1018,69,2328,38,32,34,5,108,109,7,220,39,23,38,0,95,169,14,279,24,0,10,0,40,60,5,109,0,0,0,0,0,0,0,0,0,6,0,0,9,7,0,22,100,63,88,9,259,348,20,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,3,0,8,0,8,0,0,8,3,0,12,4,5,0,0,11,10,5,22,6167,7701,2866,212,16951,6095,558,23606
SED22305,3562,6525,2378,297,12766,3171,922,16861,715,981,495,67,2253,1521,225,4003,403,635,251,48,1338,330,145,1815,1122,1623,747,111,3599,1853,372,5821,359,409,243,33,1045,863,131,2037,64,39,33,4,135,115,27,277,62,33,39,8,135,147,16,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,480,480,315,40,1320,1124,172,2618,3,0,0,0,6,25,0,34,4,0,0,0,7,11,0,16,0,0,0,0,0,0,0,0,0,3,6,0,13,13,0,25,12,4,4,0,24,51,0,75,7,3,3,5,24,22,3,47,5187,8641,3459,448,17733,6226,1469,25423
SED22404,7221,6406,2232,151,16009,5413,499,21921,104,43,78,3,223,436,18,680,12,11,8,0,35,18,0,55,115,52,95,3,259,456,23,738,4,10,9,0,21,61,0,87,0,3,0,0,3,0,0,8,0,0,0,0,3,3,0,10,4,0,0,0,4,0,0,4,0,6,0,0,3,10,0,7,13,17,5,0,36,71,3,115,10,4,0,0,17,41,0,55,40,6,3,0,52,157,3,212,0,3,0,0,3,4,0,5,4,0,0,0,11,11,4,20,54,15,3,0,74,207,5,292,18,10,3,0,35,19,3,58,7428,6500,2337,158,16424,6165,529,23120
SED22501,5380,8428,1792,140,15745,2753,199,18693,188,114,114,0,419,520,24,959,167,190,141,7,509,215,11,737,357,305,258,7,928,732,34,1692,133,87,87,4,315,300,7,624,15,0,3,0,17,58,0,81,10,0,4,0,12,18,0,32,0,0,0,0,0,0,0,0,0,4,0,0,5,13,0,19,158,91,94,3,348,394,9,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,6,0,6,8,4,6,0,10,3,0,17,5909,8828,2146,155,17039,3880,239,21158
SED22607,3150,5824,1055,154,10182,2129,447,12758,649,584,179,27,1447,805,155,2407,837,805,281,40,1962,816,232,3012,1495,1390,463,66,3410,1618,388,5421,616,308,200,54,1179,1471,192,2845,467,168,224,52,908,1589,169,2671,995,247,168,59,1470,1917,206,3599,158,103,197,37,499,532,46,1079,0,3,0,0,3,3,0,6,2242,826,789,201,4057,5516,619,10190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,6,4,40,44,7,91,16,15,6,4,40,44,7,91,4,4,0,0,11,14,0,25,6898,8053,2322,425,17699,9313,1465,28479
SED22704,8098,6349,2676,240,17363,6676,624,24667,295,47,107,10,469,1052,36,1550,18,3,9,0,27,19,0,50,313,55,117,9,498,1069,36,1599,4,5,10,0,17,37,7,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,3,0,9,9,7,10,0,22,40,7,61,23,4,8,0,32,93,3,133,23,3,3,0,30,54,7,86,3,0,0,0,6,3,0,14,13,11,0,0,30,14,0,38,63,21,12,0,100,171,12,274,13,8,4,0,20,23,3,46,8494,6439,2821,253,18001,7976,678,26647
SED22802,5607,8173,2250,184,16215,3372,354,19946,181,62,101,8,352,570,22,944,177,55,58,3,295,186,15,493,352,116,162,14,645,755,36,1438,6,3,0,0,5,0,0,7,0,0,3,0,3,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,16,0,26,8,5,0,0,19,19,0,37,11,0,0,0,14,48,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,5,6,3,0,0,13,55,0,69,4,3,0,0,18,11,3,30,5983,8306,2416,199,16906,4214,395,21514
SED22901,4838,7515,2152,184,14683,3182,420,18288,407,221,123,18,769,944,27,1738,282,413,174,14,887,249,46,1179,689,633,295,33,1655,1193,68,2916,11,10,9,0,36,72,3,107,9,7,22,3,34,42,3,80,31,13,15,5,69,84,7,157,40,6,20,0,63,102,5,170,5,8,4,0,15,10,0,23,98,36,73,5,215,311,14,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,10,11,0,26,6,3,3,0,10,11,0,26,0,0,0,0,4,4,0,12,5628,8199,2521,221,16568,4703,513,21784
SED23007,3808,5623,2297,347,12064,3205,1102,16372,499,447,322,48,1312,1076,159,2546,1464,1546,583,124,3718,1101,480,5308,1964,1995,900,174,5036,2179,640,7854,484,311,202,48,1047,1161,205,2412,337,149,68,25,584,660,123,1361,606,188,117,45,963,1168,163,2295,384,91,66,28,573,757,94,1428,10,4,7,3,24,16,0,37,1821,743,472,149,3189,3755,586,7527,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,19,22,5,3,48,21,14,89,19,22,7,3,50,29,14,99,8,4,10,0,20,24,0,44,7620,8381,3683,674,20362,9191,2340,31895
SED23101,4496,7499,1862,205,14064,2980,507,17551,586,471,234,16,1308,1131,85,2524,260,429,125,15,830,195,38,1064,844,901,358,38,2139,1323,124,3587,45,49,28,0,125,256,3,390,31,11,11,3,58,62,8,122,118,20,21,5,168,143,20,329,0,0,0,0,0,0,0,0,0,5,6,0,11,5,0,14,200,88,66,6,355,466,37,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,11,0,5,15,9,6,0,0,11,0,5,15,0,0,0,0,3,3,0,7,5547,8484,2289,250,16567,4779,674,22018
SED23205,4896,5983,2991,235,14103,4614,662,19379,574,186,358,28,1148,1941,103,3185,204,155,175,16,548,412,54,1012,780,341,533,40,1696,2347,155,4194,128,43,76,4,263,532,32,825,17,8,6,0,26,31,7,68,23,0,12,0,40,61,3,116,0,0,6,0,3,23,0,24,0,0,0,0,0,6,0,15,173,57,101,4,336,665,50,1045,0,0,0,0,0,7,0,7,5,0,0,0,3,21,0,27,0,0,0,0,0,0,0,0,4,8,0,0,15,7,0,20,9,8,0,0,23,32,0,49,4,3,3,0,12,20,0,30,5857,6392,3632,282,16168,7668,863,24697
SED23308,5633,6258,2456,242,14584,5675,1015,21276,582,253,248,30,1114,2213,160,3484,289,155,105,16,566,347,100,1007,873,407,352,47,1679,2562,252,4494,219,81,76,12,390,831,67,1288,22,7,8,0,39,99,14,152,65,19,13,3,94,185,23,300,57,4,4,5,68,59,7,134,0,0,0,0,0,4,0,4,367,109,98,25,596,1172,109,1878,0,0,0,0,3,9,0,11,27,6,12,0,43,120,4,167,0,0,0,0,0,0,0,0,14,3,6,0,25,20,7,48,40,11,20,5,65,144,11,228,11,3,3,0,24,36,3,57,6914,6793,2926,309,16944,9591,1389,27930
SED23402,6715,11302,2967,224,21206,4163,504,25880,494,234,175,15,914,943,30,1886,184,138,124,7,462,183,28,674,684,375,300,24,1375,1128,55,2558,7,0,0,0,15,52,0,70,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,5,0,12,8,0,0,0,19,61,0,84,8,0,0,0,8,0,0,4,13,0,0,0,13,65,0,76,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,21,0,0,0,29,63,3,96,6,10,3,0,20,17,0,31,7432,11692,3273,245,22647,5431,569,28642
SED23502,8400,5533,2290,189,16408,6460,532,23410,231,57,81,10,377,812,37,1226,35,17,11,3,63,49,11,123,265,63,96,14,443,864,46,1354,52,10,18,0,84,265,11,360,4,0,0,0,4,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,0,8,58,14,18,0,96,268,11,378,24,0,3,0,30,78,3,109,51,3,12,0,73,106,5,180,4,0,0,0,0,3,0,5,9,10,0,0,18,15,0,39,86,16,16,3,124,200,9,336,20,11,4,0,45,29,0,78,8840,5644,2418,203,17104,7831,606,25541
SED23602,7314,5600,2121,177,15216,6095,476,21790,148,49,63,11,270,519,25,819,15,9,16,6,40,79,0,123,163,59,79,11,317,599,30,938,62,9,28,3,104,406,18,525,7,4,4,0,16,8,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,11,70,16,27,5,119,420,20,559,8,5,6,0,12,55,0,73,11,3,6,0,21,47,0,67,0,0,0,0,0,3,0,7,15,4,3,0,27,15,3,48,37,13,20,0,61,119,4,185,10,0,0,0,18,20,0,40,7608,5687,2247,193,15732,7254,535,23521
SED23702,6264,8461,2630,209,17565,4117,381,22062,681,256,430,20,1390,1766,106,3262,92,71,83,4,252,150,15,418,776,329,516,24,1644,1911,122,3677,24,12,5,0,41,49,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,22,25,0,45,33,14,10,0,57,74,5,134,0,0,0,0,0,4,0,0,19,0,11,0,32,153,5,190,3,0,0,0,3,0,0,3,0,6,0,3,7,0,0,8,23,9,9,4,41,157,5,206,12,0,0,0,11,8,0,24,7109,8811,3170,242,19328,6274,511,26102
SED23806,2732,5061,831,113,8738,1493,275,10508,851,886,260,35,2038,1024,161,3223,473,536,175,19,1202,335,93,1630,1323,1422,437,57,3242,1353,252,4850,841,359,171,59,1428,1539,306,3271,919,257,123,68,1366,1778,379,3524,867,222,157,58,1295,1568,190,3055,147,46,25,7,225,344,38,603,0,4,0,0,4,0,0,4,2771,890,474,189,4322,5228,914,10462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,8,0,39,28,20,81,27,5,8,0,39,28,20,81,8,3,4,0,13,19,5,39,6858,7382,1746,362,16351,8125,1464,25939
SED23901,4291,7059,1769,181,13302,3477,546,17328,572,389,278,38,1270,1257,129,2656,707,718,304,32,1753,624,144,2527,1277,1108,578,69,3027,1883,276,5181,438,224,146,19,821,830,77,1733,124,36,29,4,198,201,8,406,286,50,46,9,399,422,36,854,55,19,33,3,110,179,14,299,3,3,0,0,7,10,0,11,904,330,260,38,1527,1638,141,3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,13,14,3,31,9,3,4,0,13,14,3,31,11,3,7,0,18,12,0,32,6494,8504,2611,288,17899,7020,962,25879
