SED_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
SED30005,19949,..,..,..,..,19949,..,43,0,43,0,46,..,171,15,188,6,195,..,15,0,16,0,16,..,159,36,189,0,189,..,599,170,767,5,775,..,25,6,33,0,33,..,779,212,991,5,996,..,57,9,67,0,67,..,87,5,91,0,91,..,85,5,88,0,88,..,43,8,51,0,51,..,90,3,97,0,100,..,61,0,64,0,66,..,140,11,153,0,151,..,90,5,94,0,94,..,152,12,166,0,167,..,36,0,30,0,30,..,130,0,137,3,138,..,30,0,28,0,28,..,729,36,769,7,771,..,90,3,95,0,93,..,197,47,240,3,246,..,11,5,14,0,14,..,188,60,249,0,250,..,15,3,18,0,18,..,56,4,62,6,64,..,86,15,96,3,101,..,38,8,45,0,45,..,118,7,130,4,134,..,81,10,89,0,89,..,25,0,30,0,30,..,76,17,94,0,95,..,75
SED30006,19866,..,..,..,..,19866,..,80,0,83,0,83,..,75,3,84,0,84,..,3,0,3,0,3,..,86,13,97,0,99,..,321,117,434,0,434,..,10,10,21,0,21,..,416,134,558,0,558,..,27,0,23,0,23,..,70,9,72,0,72,..,87,0,90,0,90,..,61,6,67,0,69,..,23,0,23,0,23,..,11,0,14,0,14,..,39,0,41,0,41,..,13,0,13,0,13,..,38,0,38,3,38,..,13,0,13,0,13,..,38,5,39,0,39,..,14,0,14,0,14,..,182,7,184,3,190,..,74,11,81,0,86,..,122,18,137,0,137,..,5,0,5,0,5,..,48,24,79,0,79,..,12,0,12,0,12,..,4,0,4,0,4,..,35,0,33,0,33,..,36,0,37,0,37,..,59,9,63,0,61,..,70,4,73,0,73,..,8,0,11,0,11,..,28,6,33,0,33,..,13
SED30007,22942,..,..,..,..,22942,..,151,0,151,0,154,..,24,0,24,0,24,..,4,0,4,0,4,..,36,10,44,0,47,..,123,29,156,0,160,..,9,0,9,0,9,..,162,40,202,5,206,..,14,0,14,0,14,..,67,0,67,0,67,..,79,3,86,0,84,..,24,0,24,0,24,..,8,0,8,0,8,..,65,0,68,5,68,..,52,4,57,0,57,..,102,4,111,4,111,..,130,14,146,8,150,..,23,0,23,0,23,..,22,0,25,0,25,..,10,0,10,0,9,..,412,22,437,11,449,..,60,3,62,0,62,..,33,0,33,0,39,..,0,0,0,0,0,..,72,23,99,0,95,..,0,0,4,0,4,..,40,4,45,0,45,..,34,0,37,0,37,..,25,0,25,0,25,..,70,4,70,0,73,..,20,4,23,0,23,..,7,0,7,0,7,..,4,0,4,0,4,..,19
SED30008,23620,..,..,..,..,23620,..,82,0,82,0,82,..,58,4,64,3,70,..,10,0,10,0,10,..,88,14,106,0,102,..,257,48,304,0,302,..,18,6,19,0,19,..,365,57,426,3,429,..,30,4,33,0,33,..,119,8,127,4,128,..,100,5,108,4,110,..,113,4,120,3,122,..,21,0,26,0,26,..,53,5,58,0,60,..,133,6,144,0,144,..,41,0,41,0,45,..,92,0,95,0,95,..,36,0,36,0,38,..,13,0,16,0,16,..,17,0,23,0,23,..,407,26,428,3,434,..,143,9,150,0,150,..,81,6,91,0,94,..,3,0,3,0,4,..,69,17,89,0,88,..,6,0,0,0,0,..,29,3,29,0,29,..,65,0,61,0,61,..,47,3,53,0,58,..,154,7,161,7,163,..,68,8,78,0,74,..,11,0,11,0,11,..,39,3,37,0,43,..,38
SED30009,21304,..,..,..,..,21304,..,28,0,28,0,28,..,14,0,14,0,14,..,24,3,25,0,25,..,23,12,34,0,34,..,52,65,115,0,115,..,9,0,7,0,7,..,82,73,154,0,161,..,3,0,3,0,3,..,14,0,19,0,18,..,21,0,22,0,22,..,8,0,8,0,8,..,19,0,19,0,19,..,14,0,14,0,14,..,41,0,41,0,41,..,52,3,54,0,58,..,33,0,39,0,39,..,29,0,29,0,29,..,9,0,8,0,8,..,8,0,8,0,8,..,205,9,212,0,218,..,57,3,58,0,60,..,32,9,43,0,43,..,0,0,3,0,3,..,53,20,80,0,75,..,0,0,0,0,0,..,86,6,90,0,93,..,6,0,6,0,6,..,4,0,4,0,4,..,8,0,8,0,8,..,7,0,7,0,7,..,7,5,11,0,11,..,6,0,6,0,6,..,40
SED30010,25791,..,..,..,..,25791,..,58,0,57,0,57,..,152,14,166,0,165,..,30,0,31,0,31,..,33,5,43,0,45,..,90,55,143,0,144,..,8,0,9,0,9,..,132,64,189,6,198,..,10,0,8,0,8,..,57,11,60,0,60,..,55,3,54,0,54,..,29,3,38,0,38,..,50,3,50,0,50,..,43,0,43,0,43,..,245,9,254,0,253,..,35,4,37,0,36,..,274,21,292,5,293,..,37,4,46,0,43,..,69,3,71,0,71,..,29,0,27,0,27,..,775,41,817,9,825,..,26,4,26,0,26,..,25,6,31,0,31,..,5,0,5,0,5,..,39,12,46,0,48,..,3,0,3,0,3,..,102,11,116,0,119,..,25,0,33,0,33,..,28,6,37,0,37,..,86,15,105,5,109,..,20,3,23,0,23,..,1268,205,1464,16,1485,..,15,4,19,0,19,..,144
SED30011,23105,..,..,..,..,23105,..,78,8,87,3,86,..,17,5,19,0,19,..,39,6,40,0,40,..,9,3,17,0,20,..,43,30,68,3,76,..,0,0,0,0,0,..,56,34,85,5,91,..,0,0,0,0,0,..,33,0,31,0,32,..,30,0,33,0,33,..,20,3,25,0,25,..,0,0,0,0,0,..,4,0,4,0,4,..,34,0,35,0,35,..,9,0,9,0,9,..,21,0,21,0,21,..,19,0,21,0,21,..,17,0,19,0,21,..,4,0,3,0,3,..,112,7,118,0,120,..,138,19,152,3,154,..,8,3,13,0,16,..,0,0,0,0,0,..,17,20,36,0,36,..,0,0,0,0,0,..,14,6,15,0,16,..,5,0,10,0,10,..,4,0,4,0,4,..,12,0,12,0,12,..,13,0,13,0,13,..,11,5,15,0,15,..,0,0,0,0,0,..,75
SED30012,20242,..,..,..,..,20242,..,30,0,30,0,30,..,29,4,29,0,29,..,9,0,9,0,9,..,70,24,95,0,95,..,146,48,195,0,196,..,6,0,11,0,11,..,228,79,306,0,308,..,22,3,27,0,27,..,77,3,85,3,88,..,72,4,81,0,76,..,49,3,47,0,47,..,3,0,3,0,3,..,18,5,20,0,20,..,21,0,21,0,21,..,4,0,9,0,9,..,16,0,16,0,18,..,16,0,10,0,10,..,7,0,7,0,7,..,4,0,4,0,4,..,85,5,89,0,89,..,73,6,78,0,81,..,137,25,166,3,170,..,3,0,0,0,0,..,20,6,33,0,33,..,7,0,9,0,9,..,7,0,7,0,7,..,10,0,15,0,10,..,31,0,35,0,35,..,368,15,382,6,388,..,35,3,39,0,39,..,4,0,4,0,4,..,36,13,47,0,47,..,19
SED30013,22427,..,..,..,..,22427,..,82,0,80,0,80,..,19,0,22,0,22,..,14,0,14,0,14,..,7,0,10,0,10,..,29,7,38,0,38,..,5,5,3,0,3,..,38,8,49,0,49,..,13,0,11,0,11,..,33,3,33,0,33,..,70,0,69,0,69,..,12,0,10,0,10,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,6,..,7,0,7,0,7,..,4,0,4,0,4,..,7,0,7,0,7,..,7,0,7,0,7,..,0,0,0,0,0,..,29,0,29,0,29,..,68,0,67,5,74,..,6,0,5,0,5,..,3,4,7,0,7,..,0,0,3,0,3,..,0,0,0,0,0,..,15,5,24,0,24,..,4,0,4,0,4,..,5,0,5,0,5,..,11,0,11,0,14,..,15,0,15,0,15,..,5,16,19,0,17,..,11,0,12,0,12,..,12
SED30014,20540,..,..,..,..,20540,..,32,0,30,0,30,..,55,3,58,0,58,..,359,20,380,10,393,..,102,27,135,0,135,..,215,61,268,7,275,..,17,4,20,0,20,..,334,91,422,7,429,..,20,0,14,0,14,..,112,7,117,5,120,..,138,3,138,0,138,..,29,3,31,0,31,..,17,0,18,0,18,..,11,0,11,0,11,..,57,3,60,0,60,..,288,153,439,7,448,..,231,16,253,0,255,..,29,0,29,0,29,..,35,6,38,0,38,..,10,0,10,0,10,..,676,179,856,10,871,..,174,18,196,0,199,..,389,60,450,0,451,..,15,0,16,0,16,..,166,50,224,4,227,..,0,0,0,0,0,..,93,4,96,0,96,..,16,0,16,0,16,..,30,0,28,0,28,..,56,0,60,0,60,..,15,0,19,0,14,..,44,4,46,0,46,..,11,5,12,0,12,..,78
SED30015,21918,..,..,..,..,21918,..,86,0,86,0,86,..,18,0,23,5,25,..,11,0,15,3,17,..,5,0,9,0,9,..,38,50,93,0,92,..,0,8,8,0,8,..,48,63,113,8,114,..,3,0,3,0,3,..,33,0,29,0,32,..,22,0,20,3,18,..,10,0,12,0,12,..,0,0,0,0,0,..,9,0,9,0,9,..,11,0,12,0,12,..,58,11,68,0,68,..,17,0,20,0,23,..,14,0,11,0,11,..,18,0,23,0,23,..,3,0,3,0,3,..,134,10,148,0,143,..,28,0,28,0,29,..,7,6,15,0,15,..,0,0,0,0,0,..,8,6,14,0,14,..,0,0,0,0,0,..,10,3,12,0,12,..,8,0,8,0,8,..,10,0,10,0,10,..,15,6,24,0,24,..,0,0,3,0,3,..,3,3,6,0,6,..,0,0,0,0,0,..,55
SED30016,24047,..,..,..,..,24047,..,83,0,85,0,86,..,24,0,29,0,29,..,0,0,5,0,5,..,19,8,26,0,26,..,41,13,56,0,56,..,0,0,0,0,0,..,63,18,81,0,89,..,8,0,8,0,8,..,49,0,49,0,49,..,88,4,93,0,93,..,23,0,28,0,28,..,7,0,7,0,7,..,20,0,20,0,20,..,47,0,48,0,48,..,91,3,94,0,94,..,117,7,126,3,127,..,8,0,8,0,8,..,11,0,11,0,11,..,4,0,4,0,4,..,308,11,317,5,323,..,62,0,65,3,68,..,28,0,26,0,26,..,0,0,0,0,0,..,17,4,20,0,20,..,4,0,4,0,4,..,108,10,119,0,118,..,10,0,13,0,13,..,12,6,11,0,11,..,53,5,51,4,59,..,19,0,21,0,21,..,7,0,7,0,7,..,4,0,4,0,4,..,26
SED30017,22382,..,..,..,..,22382,..,109,4,116,0,116,..,44,4,46,0,42,..,8,0,8,0,8,..,40,8,48,0,48,..,117,28,142,4,148,..,6,4,14,0,14,..,159,45,207,4,209,..,33,6,35,0,35,..,48,3,57,0,57,..,73,0,78,0,78,..,72,3,80,0,80,..,0,0,0,0,0,..,32,0,32,0,32,..,78,0,78,0,79,..,22,0,18,0,18,..,111,9,119,0,119,..,15,0,15,0,15,..,3,0,3,0,3,..,12,0,12,0,12,..,276,6,283,0,286,..,58,15,70,0,76,..,30,3,34,0,34,..,9,3,7,0,7,..,17,3,25,0,25,..,3,0,3,0,3,..,20,0,22,0,21,..,25,0,27,0,26,..,32,0,30,0,30,..,30,5,37,0,36,..,50,4,55,0,53,..,21,0,22,0,22,..,13,0,15,0,15,..,48
SED30018,19833,..,..,..,..,19833,..,159,3,166,0,166,..,96,4,101,0,101,..,4,0,4,0,4,..,258,54,309,0,315,..,565,124,685,9,695,..,20,3,31,0,31,..,846,179,1027,11,1036,..,32,0,35,0,35,..,97,5,96,5,102,..,68,0,68,9,78,..,314,16,329,3,336,..,9,0,9,0,9,..,101,8,111,0,114,..,205,0,203,0,203,..,16,0,19,0,19,..,88,8,92,0,92,..,98,0,98,0,96,..,28,0,31,0,31,..,37,0,37,0,37,..,583,23,603,3,601,..,201,20,227,5,227,..,60,8,71,0,71,..,5,0,5,0,5,..,179,33,204,0,204,..,13,0,13,0,13,..,44,5,52,0,50,..,123,10,132,6,134,..,39,3,42,0,42,..,77,6,81,0,81,..,59,12,69,3,73,..,27,0,29,0,29,..,37,3,36,0,36,..,44
SED30019,22847,..,..,..,..,22847,..,43,0,43,0,43,..,94,3,100,0,100,..,12,0,13,0,13,..,109,22,132,0,129,..,273,48,323,4,322,..,10,0,13,0,13,..,400,68,466,4,469,..,16,0,12,0,12,..,96,5,102,0,102,..,65,5,66,0,69,..,78,4,80,0,80,..,30,0,30,0,30,..,47,4,52,0,55,..,161,5,166,0,167,..,406,19,427,8,426,..,99,5,101,0,101,..,36,0,36,0,36,..,40,5,46,0,50,..,36,0,36,0,37,..,857,35,892,12,901,..,237,22,260,0,263,..,83,13,97,3,103,..,6,0,6,0,6,..,98,27,122,0,122,..,9,0,9,0,9,..,52,0,52,0,53,..,108,8,111,0,111,..,29,8,34,0,35,..,156,12,168,4,167,..,45,4,48,0,48,..,30,0,29,0,29,..,24,0,20,0,20,..,46
SED30020,24594,..,..,..,..,24594,..,73,0,75,0,74,..,25,3,30,0,30,..,15,0,20,0,20,..,11,0,8,0,12,..,48,12,56,0,56,..,0,0,0,0,0,..,58,12,72,0,72,..,5,0,5,0,5,..,13,0,13,0,21,..,31,0,37,0,37,..,9,5,15,3,16,..,15,0,11,0,11,..,8,0,8,0,7,..,15,0,15,0,15,..,46,6,50,0,50,..,59,3,61,3,63,..,32,0,31,0,31,..,4,0,4,0,4,..,8,0,8,0,8,..,173,9,183,4,188,..,22,5,24,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,8,6,6,0,6,..,0,0,0,0,0,..,39,3,45,0,45,..,3,0,3,0,3,..,0,0,0,0,0,..,61,18,81,0,82,..,7,0,8,0,8,..,0,0,0,0,0,..,8,0,6,0,6,..,55
SED30021,16766,..,..,..,..,16766,..,51,0,48,0,48,..,8,0,8,0,8,..,3920,762,4684,172,4853,..,10,9,19,0,19,..,53,12,67,3,69,..,4,0,4,0,4,..,65,18,84,3,87,..,29,0,29,0,29,..,44,7,47,0,47,..,103,3,109,0,108,..,18,0,21,0,21,..,6,0,6,0,6,..,13,0,13,0,13,..,15,0,18,0,18,..,20,3,21,0,21,..,46,3,51,0,58,..,0,0,0,0,0,..,0,0,7,0,7,..,0,0,0,0,0,..,100,9,109,3,111,..,314,42,352,5,362,..,36,5,47,0,47,..,0,0,0,0,0,..,16,0,18,0,18,..,0,0,0,0,0,..,9,0,9,0,10,..,4,0,4,0,4,..,3,0,3,0,3,..,11,0,11,0,11,..,5,0,5,0,5,..,19,9,27,4,34,..,4,0,4,0,4,..,13
SED30022,35010,..,..,..,..,35010,..,210,3,208,0,211,..,77,8,88,3,87,..,32,0,29,0,29,..,124,22,147,0,146,..,318,78,401,7,412,..,19,3,23,0,23,..,466,106,575,8,585,..,26,6,27,0,27,..,71,0,76,0,76,..,75,5,76,0,72,..,38,4,44,0,44,..,8,0,8,0,8,..,101,9,109,0,109,..,149,10,158,0,158,..,49,3,51,4,51,..,483,37,520,11,526,..,36,0,36,0,36,..,45,3,48,0,48,..,24,0,24,0,24,..,886,58,951,11,961,..,73,6,76,0,77,..,91,20,107,0,110,..,23,0,24,0,24,..,213,63,271,6,279,..,10,0,10,0,10,..,52,0,52,0,55,..,43,9,53,0,53,..,41,0,41,0,41,..,70,7,78,0,81,..,75,13,82,0,82,..,134,8,142,4,142,..,50,11,54,0,58,..,72
SED30023,22476,..,..,..,..,22476,..,89,0,89,0,89,..,40,4,44,0,42,..,5,0,5,0,5,..,81,5,88,6,88,..,247,39,286,0,287,..,7,0,10,0,16,..,336,44,380,9,384,..,18,0,13,0,13,..,144,5,157,0,159,..,111,7,121,0,121,..,45,0,47,0,47,..,18,0,18,0,18,..,28,0,28,0,28,..,92,3,88,0,88,..,34,0,39,0,39,..,19,0,19,0,19,..,34,0,33,0,33,..,13,0,13,0,13,..,13,0,13,0,17,..,253,9,257,3,258,..,123,19,139,0,137,..,68,6,71,0,71,..,0,0,0,0,0,..,52,14,70,0,68,..,36,3,37,0,37,..,30,0,30,0,30,..,55,0,60,0,60,..,55,5,52,0,52,..,103,4,109,0,109,..,51,0,49,0,48,..,4,0,4,0,4,..,7,0,7,0,7,..,14
SED30024,20750,..,..,..,..,20750,..,20,0,20,0,20,..,17,3,16,0,16,..,16,0,14,0,14,..,15,3,20,0,20,..,35,5,43,0,43,..,5,0,5,0,5,..,54,4,57,0,57,..,10,3,10,0,10,..,67,4,73,0,73,..,65,4,67,0,69,..,23,0,27,0,27,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,8,0,8,..,4,0,6,0,6,..,7,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,29,0,31,0,31,..,69,5,69,0,69,..,110,15,125,0,127,..,5,0,5,0,5,..,3,0,4,0,4,..,5,0,6,0,6,..,3,4,8,0,8,..,8,0,8,0,8,..,22,0,22,0,24,..,233,10,244,4,246,..,14,0,20,0,20,..,6,0,6,0,6,..,18,0,19,0,19,..,14
SED30025,23095,..,..,..,..,23095,..,136,3,141,0,141,..,46,4,53,3,58,..,11,0,14,0,15,..,91,8,100,0,100,..,116,38,149,5,159,..,9,0,8,0,8,..,213,47,262,5,262,..,11,0,11,0,11,..,48,9,56,0,53,..,79,4,85,0,83,..,32,0,30,0,38,..,5,0,5,0,5,..,18,3,18,0,18,..,92,7,93,0,93,..,42,5,38,0,39,..,49,0,48,0,48,..,20,0,20,0,20,..,8,0,9,0,9,..,14,0,14,0,14,..,250,11,257,0,257,..,136,15,149,0,149,..,58,0,58,0,58,..,3,0,3,0,3,..,27,3,29,0,29,..,6,0,8,0,8,..,75,0,81,0,81,..,64,9,69,0,75,..,46,0,48,4,50,..,45,3,50,0,50,..,44,3,57,0,57,..,22,0,24,0,24,..,9,0,9,0,11,..,27
SED30026,22894,..,..,..,..,22894,..,89,0,89,0,89,..,39,5,45,0,45,..,12,0,12,0,12,..,58,10,65,0,65,..,111,21,135,0,135,..,4,3,11,0,11,..,173,30,214,0,214,..,8,0,8,0,8,..,94,3,98,3,94,..,102,3,109,0,106,..,28,4,30,0,30,..,13,0,13,0,13,..,26,3,28,0,25,..,83,0,83,0,83,..,62,5,67,0,67,..,37,0,37,0,37,..,44,4,47,0,49,..,13,0,13,0,13,..,13,0,16,0,16,..,295,15,302,8,305,..,105,13,118,3,119,..,71,0,73,0,73,..,6,0,6,0,6,..,28,3,39,0,39,..,9,0,7,0,7,..,52,0,49,0,52,..,54,4,57,0,59,..,32,0,33,0,33,..,64,8,76,4,80,..,34,0,33,0,33,..,6,0,6,0,6,..,9,0,13,0,13,..,30
SED30027,20855,..,..,..,..,20855,..,48,0,48,0,48,..,59,3,56,0,56,..,11,0,11,0,11,..,58,17,75,0,78,..,188,46,230,5,237,..,9,5,10,0,10,..,258,66,317,4,323,..,48,3,56,0,54,..,66,0,68,0,67,..,72,0,72,0,74,..,52,5,57,0,57,..,35,0,33,0,33,..,22,3,28,0,28,..,56,0,56,0,56,..,30,6,34,0,34,..,161,24,182,6,190,..,21,0,21,0,21,..,50,0,48,0,48,..,10,0,10,0,10,..,383,30,412,6,416,..,63,4,67,0,67,..,157,32,189,3,194,..,6,0,8,0,8,..,92,15,111,0,111,..,8,0,14,0,14,..,70,3,75,0,77,..,26,10,30,0,30,..,28,0,32,0,32,..,80,7,87,5,89,..,37,3,39,0,44,..,18,0,16,0,16,..,42,4,50,0,50,..,33
SED30028,22086,..,..,..,..,22086,..,176,0,179,5,181,..,38,5,37,0,37,..,5,0,8,0,8,..,13,4,14,0,14,..,42,4,50,0,50,..,0,0,0,0,0,..,57,16,68,0,68,..,3,0,3,0,3,..,24,4,25,0,26,..,34,0,34,0,34,..,21,0,25,0,25,..,19,0,22,0,22,..,18,0,19,0,19,..,52,4,51,3,54,..,11,0,11,0,11,..,54,0,52,0,52,..,16,0,16,0,16,..,32,0,35,0,35,..,12,0,12,0,12,..,215,14,222,3,227,..,24,5,28,0,28,..,5,0,5,0,5,..,14,0,14,0,14,..,9,0,10,0,10,..,4,0,4,0,4,..,27,0,24,0,24,..,9,0,9,0,9,..,11,0,10,0,10,..,9,4,11,0,11,..,21,4,23,0,23,..,7,0,7,0,7,..,7,0,6,0,6,..,128
SED30029,21583,..,..,..,..,21583,..,58,0,58,0,58,..,3,4,9,0,10,..,4,3,10,0,10,..,6,0,6,0,6,..,26,8,34,0,34,..,0,0,0,0,0,..,30,8,42,0,42,..,8,0,8,0,8,..,55,7,62,0,62,..,98,0,99,4,95,..,12,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,5,0,3,0,3,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,24,4,24,0,24,..,48,0,53,0,56,..,12,7,22,0,23,..,4,0,4,0,4,..,13,4,19,0,19,..,0,0,0,0,0,..,13,0,13,0,13,..,5,0,3,0,3,..,12,0,12,0,12,..,17,0,14,0,14,..,13,0,18,0,18,..,14,0,14,0,14,..,5,0,4,0,4,..,3
