SED_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SED30035,55,1261,105,1422,62,1288,129,1478,212,2878,337,3424,330,2621,330,3281,339,2486,319,3139,419,2592,245,3250,293,2145,179,2620,153,970,118,1245,23,260,49,327,1889,16499,1812,20202,79,1234,91,1400,78,1152,85,1317,374,2965,245,3580,586,2645,221,3444,575,2328,234,3136,686,2275,171,3140,400,1854,161,2416,147,878,114,1134,15,358,53,429,2943,15685,1365,19992,131,2492,194,2821,145,2440,211,2793,586,5842,578,7009,919,5260,552,6731,916,4812,549,6276,1105,4866,416,6395,696,4003,337,5035,299,1846,234,2382,38,615,100,760,4831,32184,3175,40193
SED30036,111,1919,251,2275,139,1996,490,2621,293,3914,1462,5668,369,3299,1195,4864,423,3055,647,4130,384,2676,360,3421,226,1689,159,2079,135,828,83,1045,35,280,44,359,2115,19650,4698,26459,139,1803,160,2107,146,1894,181,2225,471,4035,485,4991,631,3497,390,4513,686,3197,240,4123,565,2591,185,3349,326,1883,134,2353,129,1183,108,1414,33,490,59,587,3136,20576,1946,25661,251,3722,417,4380,284,3892,670,4842,767,7948,1947,10659,998,6792,1584,9380,1115,6255,886,8257,949,5264,551,6770,558,3575,298,4430,263,2008,189,2459,68,773,102,942,5245,40226,6646,52124
SED30037,80,1445,95,1623,97,1414,110,1619,218,3113,261,3596,359,2692,229,3277,423,2386,173,2990,423,2213,155,2795,287,1563,124,1972,127,854,91,1067,52,241,68,361,2059,15928,1311,19295,79,1374,83,1536,112,1399,103,1614,402,3237,225,3866,606,2612,211,3427,701,2343,179,3218,683,2137,128,2956,361,1661,120,2143,149,1069,156,1373,25,521,174,719,3119,16350,1385,20856,161,2824,176,3160,203,2817,211,3234,622,6351,491,7460,964,5301,444,6708,1122,4731,357,6209,1112,4351,286,5744,652,3225,243,4111,276,1917,247,2442,75,759,247,1081,5178,32278,2699,40148
SED30038,97,1589,158,1838,103,1539,308,1948,224,2844,653,3729,363,2653,453,3466,424,2619,284,3327,450,2458,173,3079,309,1828,108,2248,156,905,99,1157,21,260,35,324,2153,16700,2261,21116,98,1523,151,1768,135,1461,147,1744,437,2969,244,3646,665,2575,182,3419,775,2613,190,3577,787,2305,141,3237,423,1862,123,2413,161,1097,126,1380,19,334,70,424,3498,16742,1372,21614,196,3107,305,3609,238,3003,451,3691,661,5820,890,7375,1025,5231,631,6889,1194,5239,472,6905,1239,4764,312,6313,733,3687,237,4663,315,2000,226,2540,45,598,102,745,5652,33441,3633,42728
SED30039,78,2259,115,2456,83,1946,128,2158,259,4273,270,4804,520,4940,297,5757,460,3928,234,4625,346,2449,117,2917,191,1372,79,1641,87,512,34,638,18,76,10,100,2034,21755,1290,25085,116,2233,117,2466,120,1865,111,2098,509,4710,278,5490,827,4973,265,6060,808,3671,185,4658,564,2262,112,2943,280,1407,84,1770,78,519,33,632,5,129,9,141,3311,21766,1188,26262,200,4490,231,4923,203,3812,241,4256,773,8976,545,10291,1347,9910,560,11816,1263,7600,424,9282,911,4711,226,5853,469,2779,156,3407,165,1037,72,1268,18,200,18,240,5349,43514,2474,51343
SED30040,61,1556,86,1702,69,1206,82,1354,140,2365,226,2725,265,2591,187,3037,376,2707,192,3276,380,2391,168,2934,316,2186,137,2636,230,1535,134,1898,63,573,95,735,1898,17097,1307,20303,60,1432,79,1575,55,1168,78,1306,239,2580,184,3003,476,2761,181,3417,680,2852,128,3660,787,2552,155,3498,495,2548,156,3204,260,1852,212,2330,56,817,186,1060,3116,18568,1354,23039,119,2988,169,3276,130,2378,161,2663,376,4945,407,5731,741,5345,361,6452,1055,5558,320,6937,1168,4942,317,6429,817,4734,293,5837,496,3392,342,4226,119,1394,286,1793,5020,35666,2659,43343
SED30041,91,1526,151,1768,67,1176,116,1366,186,2482,363,3029,280,2601,395,3271,369,2543,400,3315,522,2738,352,3617,359,2374,198,2935,180,1220,115,1516,41,320,64,428,2095,16981,2174,21247,77,1370,123,1569,89,1116,128,1340,339,2653,241,3234,530,2639,225,3392,679,2553,219,3448,862,2748,221,3830,502,2272,152,2928,217,1274,134,1624,39,450,64,554,3335,17070,1508,21917,167,2894,278,3336,160,2295,251,2700,529,5132,606,6268,802,5242,621,6665,1045,5089,625,6759,1387,5489,573,7448,861,4651,349,5863,395,2489,251,3136,85,770,129,981,5431,34051,3676,43163
SED30042,93,1894,114,2097,88,1763,80,1932,226,3321,229,3774,377,3130,184,3693,455,3149,164,3765,407,2448,131,2989,284,1760,84,2131,105,821,60,995,25,201,18,242,2066,18486,1066,21616,115,1816,96,2029,112,1638,95,1844,452,3364,202,4018,710,3280,185,4183,884,3005,169,4061,656,2353,121,3123,425,1846,93,2364,128,940,65,1136,17,317,20,355,3500,18556,1055,23109,201,3711,209,4126,201,3399,171,3774,681,6685,430,7788,1088,6413,372,7874,1339,6152,336,7827,1065,4800,246,6116,705,3606,183,4496,239,1760,124,2124,39,516,39,594,5563,37045,2126,44732
SED30043,85,1456,169,1708,89,1259,129,1476,202,2590,268,3063,335,2405,249,2990,452,2683,272,3407,529,2759,235,3524,340,2323,181,2851,184,1136,132,1451,29,239,58,327,2246,16858,1699,20804,114,1491,143,1747,96,1289,156,1542,378,2649,332,3360,642,2469,292,3409,743,2559,253,3554,859,2462,205,3524,493,2025,184,2702,163,1075,141,1377,14,352,95,454,3493,16368,1799,21663,202,2950,308,3460,188,2544,287,3021,577,5241,603,6420,986,4875,541,6403,1185,5243,523,6953,1385,5221,445,7048,839,4350,367,5553,341,2208,276,2828,45,589,145,779,5745,33222,3501,42465
SED30044,65,1944,150,2166,122,1907,187,2213,314,4062,397,4778,439,3393,321,4153,413,3156,270,3847,457,2828,205,3491,299,2121,112,2535,150,992,81,1222,28,221,19,270,2288,20634,1746,24668,107,1778,155,2043,145,1925,185,2263,573,4232,405,5209,770,3215,310,4295,758,3034,241,4031,740,2723,168,3634,438,2168,148,2752,142,1130,114,1388,25,357,48,427,3702,20556,1779,26035,172,3729,303,4200,266,3833,369,4476,893,8296,802,9986,1210,6608,629,8445,1174,6189,516,7876,1197,5556,374,7126,736,4291,262,5289,289,2117,200,2613,55,576,64,695,5989,41192,3521,50704
SED30045,64,1532,61,1655,76,1304,64,1446,157,2632,158,2948,321,3188,165,3669,482,3282,184,3945,479,2687,135,3307,300,1974,111,2388,142,1088,90,1322,44,337,81,469,2058,18033,1058,21139,81,1356,54,1488,86,1199,59,1344,278,2786,129,3191,561,3351,153,4064,847,3192,142,4177,816,2506,118,3435,459,2117,114,2684,194,1308,163,1667,39,654,148,843,3356,18471,1068,22889,142,2891,111,3141,163,2506,120,2784,435,5415,282,6141,881,6539,311,7734,1327,6471,327,8123,1287,5197,252,6736,756,4087,227,5073,342,2397,251,2987,83,999,235,1312,5414,36500,2124,44032
SED30046,88,1707,157,1959,89,1760,180,2029,289,3715,396,4407,384,3204,331,3921,388,2925,270,3585,415,2476,193,3084,307,2110,124,2543,173,1107,88,1369,27,300,32,352,2165,19293,1773,23237,111,1535,148,1799,142,1677,162,1988,541,3731,390,4662,676,3042,308,4025,756,2825,256,3835,665,2501,188,3358,458,2269,165,2895,176,1237,136,1542,20,462,41,529,3548,19274,1800,24624,199,3241,310,3754,232,3437,346,4014,829,7444,783,9061,1062,6242,636,7942,1145,5751,527,7418,1084,4974,381,6436,762,4379,289,5434,349,2343,224,2912,47,759,78,884,5719,38576,3573,47858
SED30047,57,1441,136,1632,78,1519,192,1785,189,3017,465,3668,277,2843,483,3598,351,2882,431,3661,452,2767,416,3637,260,2104,232,2595,144,1046,163,1353,44,377,77,499,1843,17995,2596,22435,81,1375,129,1585,86,1447,180,1714,314,2995,372,3680,489,2843,307,3639,648,2737,278,3663,676,2608,232,3520,412,2048,180,2639,217,1336,177,1729,31,693,131,856,2951,18083,1981,23022,140,2819,266,3221,167,2964,371,3505,497,6018,830,7340,768,5680,787,7235,997,5614,708,7327,1129,5381,650,7158,675,4151,408,5232,355,2380,346,3086,77,1070,212,1358,4799,36080,4581,45455
SED30048,97,2413,70,2579,124,4082,199,4404,201,5007,273,5484,316,3713,164,4194,442,2880,121,3446,381,2006,78,2465,243,1644,80,1966,153,929,63,1146,38,258,38,330,1985,22946,1090,26013,82,2632,94,2809,141,4148,175,4460,240,4748,294,5281,471,3732,142,4348,666,2888,117,3670,639,1941,79,2660,422,1778,87,2282,178,1024,84,1288,22,415,66,502,2848,23314,1139,27294,175,5049,166,5390,268,8229,374,8865,440,9754,570,10763,788,7449,311,8545,1103,5773,237,7113,1017,3952,158,5127,662,3417,169,4244,326,1959,146,2432,56,673,102,833,4833,46257,2225,53310
SED30049,79,1908,79,2068,92,1880,117,2097,235,3503,213,3945,355,3757,187,4297,533,3092,146,3774,407,2141,123,2667,256,1504,57,1811,146,956,76,1180,48,361,50,455,2153,19093,1038,22286,85,1872,90,2044,115,1747,79,1937,299,3644,198,4141,565,4006,171,4743,782,3014,114,3908,693,2103,108,2900,357,1706,74,2138,173,1212,82,1473,34,577,71,681,3108,19885,979,23972,167,3784,166,4114,211,3629,197,4034,530,7147,406,8089,923,7757,361,9042,1318,6107,256,7680,1102,4244,225,5567,614,3202,125,3944,327,2167,160,2650,81,940,114,1136,5260,38976,2013,46254
SED30050,43,1051,82,1178,45,1143,119,1303,153,2775,287,3221,204,2487,258,2946,314,2580,281,3172,439,2814,225,3482,354,2750,212,3315,160,1434,146,1745,54,425,85,567,1772,17470,1692,20934,50,991,79,1112,61,1382,125,1569,205,2980,287,3476,379,2501,204,3091,574,2615,233,3420,785,3085,241,4112,518,2772,235,3524,213,1615,191,2020,32,677,166,883,2814,18618,1763,23200,96,2040,162,2295,106,2523,243,2872,363,5750,577,6690,581,4985,462,6035,881,5198,507,6588,1226,5899,469,7595,872,5526,442,6843,377,3048,335,3764,87,1109,256,1454,4588,36088,3459,44138
SED30051,87,1272,141,1499,80,967,201,1246,199,1767,424,2390,286,1870,391,2546,462,2399,326,3183,605,3215,281,4094,580,3766,277,4619,278,1807,176,2262,47,391,57,498,2615,17454,2273,22339,75,1127,114,1317,97,858,78,1037,341,1702,174,2212,565,1923,182,2666,796,2371,176,3345,1018,3202,234,4450,811,3402,276,4493,264,1652,183,2102,32,593,79,707,3994,16845,1499,22332,157,2403,257,2815,168,1822,286,2279,538,3470,594,4607,849,3792,574,5220,1259,4772,506,6531,1616,6416,510,8548,1398,7167,547,9110,542,3466,362,4364,78,989,136,1203,6608,34293,3772,44675
SED30052,49,1121,67,1240,124,3605,314,4035,373,9512,927,10807,360,5272,558,6186,344,3161,343,3855,417,2328,247,2991,207,1536,160,1908,80,733,101,918,13,187,41,244,1967,27456,2762,32179,44,1291,89,1423,172,4201,350,4722,466,9420,797,10686,420,4284,404,5103,504,2601,183,3291,522,1997,181,2701,297,1455,139,1888,108,735,99,946,14,380,71,460,2544,26365,2312,31221,95,2414,160,2667,296,7803,663,8757,837,18930,1725,21496,775,9556,960,11293,854,5763,529,7141,935,4324,431,5695,511,2986,301,3793,188,1472,201,1858,26,570,105,700,4514,53826,5070,63401
SED30053,40,1399,80,1525,59,1588,111,1763,146,3623,344,4107,227,3179,214,3621,349,2879,189,3421,369,2215,141,2729,197,2049,115,2354,150,1115,116,1376,41,294,69,400,1587,18340,1378,21298,74,1404,69,1541,85,1871,121,2075,254,3959,325,4544,451,3326,192,3970,616,2896,161,3670,604,2339,154,3098,413,2219,133,2762,160,1239,141,1541,23,543,175,744,2674,19803,1472,23949,117,2801,149,3062,152,3456,234,3843,405,7579,668,8652,674,6503,408,7590,962,5778,350,7099,972,4557,295,5824,608,4262,244,5117,305,2352,259,2921,61,834,243,1147,4261,38138,2851,45249
SED30054,56,1405,35,1492,69,1800,77,1947,180,3325,180,3685,306,3250,143,3705,474,2913,143,3522,448,2095,133,2676,249,1434,94,1774,109,740,60,907,36,279,24,344,1923,17243,878,20050,57,1414,35,1504,106,1786,57,1947,233,3336,141,3709,489,3418,121,4030,743,2736,96,3569,725,1912,105,2738,378,1456,55,1887,169,900,76,1138,40,518,62,622,2927,17474,741,21143,114,2823,65,3002,176,3584,135,3894,414,6658,321,7395,797,6672,266,7730,1212,5644,234,7092,1165,4010,233,5416,627,2888,149,3660,278,1640,129,2043,74,800,92,964,4852,34722,1622,41192
SED30055,55,1314,191,1558,58,1078,249,1380,142,2198,690,3030,256,2395,693,3340,344,2557,634,3538,434,2834,541,3806,299,2252,324,2868,107,976,136,1222,18,209,38,260,1716,15809,3484,21006,63,1213,190,1465,77,962,126,1167,245,2340,321,2908,476,2387,338,3197,595,2403,329,3327,709,2474,301,3486,353,1803,229,2388,117,823,116,1051,17,240,38,300,2653,14648,1978,19283,121,2524,379,3019,138,2044,371,2548,382,4544,1009,5940,731,4779,1030,6537,936,4963,961,6861,1144,5304,844,7290,656,4052,545,5250,224,1800,255,2279,36,451,68,559,4371,30455,5462,40290
SED30056,66,1965,42,2070,62,1277,50,1390,101,1575,57,1735,301,2860,80,3243,492,3331,100,3918,462,2467,81,3005,318,1900,49,2268,154,1200,50,1399,62,364,50,476,2011,16930,559,19503,61,1623,39,1733,61,1043,21,1121,156,1737,45,1942,476,3147,80,3712,834,3285,77,4191,735,2333,76,3142,479,2017,57,2549,220,1243,74,1538,30,587,92,705,3050,17015,564,20627,129,3587,85,3806,124,2318,74,2512,260,3313,106,3677,778,6014,158,6949,1322,6608,175,8110,1201,4793,152,6146,797,3916,107,4817,369,2439,122,2940,86,952,143,1182,5066,33946,1127,40135
SED30057,85,1681,141,1911,111,1716,165,1990,307,3334,348,3985,364,2670,283,3318,437,2689,238,3356,423,2484,179,3085,323,2130,163,2619,171,1200,137,1504,31,360,59,456,2243,18258,1722,22224,105,1629,150,1886,149,1726,181,2061,552,3445,358,4351,801,2707,273,3785,843,2642,221,3713,721,2570,159,3439,508,2306,156,2971,172,1364,142,1680,30,566,124,722,3886,18952,1767,24605,191,3312,296,3797,261,3440,355,4055,861,6776,697,8341,1165,5380,554,7101,1277,5326,461,7070,1141,5051,338,6522,829,4434,325,5586,344,2565,274,3183,62,927,190,1174,6130,37214,3491,46832
SED30058,70,1560,48,1673,85,1289,46,1413,181,2755,116,3051,344,3257,137,3744,450,2857,109,3416,445,2358,105,2912,302,1967,89,2355,150,1034,48,1233,39,335,30,401,2061,17406,726,20199,82,1454,51,1587,84,1234,54,1367,261,2894,119,3274,521,3352,130,3999,728,2842,79,3650,650,2354,68,3073,441,2073,72,2587,150,1181,61,1390,27,628,57,706,2940,18007,683,21635,159,3013,92,3260,168,2524,100,2780,445,5650,238,6329,865,6610,268,7742,1177,5697,190,7063,1095,4712,180,5982,741,4042,163,4939,306,2212,110,2629,62,958,85,1103,5003,35416,1409,41828
SED30059,82,1824,102,2015,66,1380,103,1554,141,2549,180,2870,343,3316,237,3898,487,3389,200,4082,412,2757,169,3334,290,2201,151,2636,181,1233,113,1520,37,318,87,442,2028,18967,1349,22345,95,1733,93,1918,96,1402,102,1606,240,2903,218,3364,586,3585,266,4440,794,3508,196,4502,753,2804,145,3702,497,2255,129,2881,180,1283,154,1622,25,451,227,695,3264,19929,1533,24726,177,3558,195,3932,165,2783,205,3155,383,5450,405,6236,927,6904,503,8338,1283,6898,402,8581,1164,5559,313,7030,787,4456,276,5524,356,2517,268,3137,57,772,313,1140,5297,38892,2879,47069
SED30060,92,1741,204,2034,83,1382,168,1632,222,2978,413,3613,335,2781,379,3491,430,2801,331,3564,388,2450,244,3084,264,1894,202,2363,96,823,94,1022,25,174,54,258,1941,17020,2086,21051,120,1515,196,1824,103,1343,166,1620,402,3125,367,3894,606,3043,357,4008,778,2823,282,3879,642,2297,224,3163,381,1839,158,2382,133,882,130,1148,18,237,78,334,3191,17102,1957,22247,212,3253,396,3867,189,2722,333,3247,626,6102,773,7503,941,5822,737,7498,1209,5622,606,7439,1033,4743,464,6245,640,3734,364,4738,231,1709,225,2164,44,414,135,593,5135,34118,4045,43296
SED30061,106,1683,233,2018,97,2203,786,3089,219,2918,863,4001,250,2327,560,3137,379,2401,359,3134,388,2113,249,2750,245,1588,156,1985,132,851,99,1085,30,242,66,335,1847,16313,3374,21539,88,1792,162,2043,128,2043,232,2406,288,2657,379,3320,452,2422,288,3162,593,2378,233,3204,619,2069,165,2855,349,1554,129,2029,180,1088,122,1392,25,493,125,637,2718,16497,1837,21048,195,3470,396,4059,232,4249,1019,5496,505,5576,1236,7319,700,4752,847,6296,973,4783,590,6339,1006,4178,420,5610,596,3136,286,4016,310,1946,221,2477,52,731,187,973,4561,32807,5210,42586
SED30062,93,1840,96,2028,85,1901,115,2107,320,4552,341,5211,478,4390,303,5175,430,3255,199,3887,375,2288,135,2800,298,1788,103,2191,151,934,87,1172,34,276,74,387,2270,21226,1456,24957,127,1876,104,2104,146,2035,114,2292,588,5079,320,5986,863,4242,286,5397,805,3192,164,4171,670,2444,113,3228,411,2048,110,2583,172,1197,126,1494,32,501,177,708,3828,22619,1520,27963,221,3712,199,4135,231,3932,234,4399,908,9627,658,11197,1341,8636,590,10568,1239,6454,362,8059,1049,4730,244,6027,717,3844,215,4773,322,2130,210,2667,64,779,253,1094,6092,43845,2979,52918
SED30063,95,1238,195,1528,85,932,123,1132,194,1966,261,2413,305,1979,257,2543,447,2443,319,3207,541,3015,392,3941,543,3276,376,4196,245,1774,246,2260,41,396,61,493,2488,17014,2222,21723,82,1170,167,1423,100,902,120,1121,341,1896,236,2468,546,1850,256,2652,766,2363,325,3449,946,2841,334,4125,669,2956,356,3984,244,1532,222,1998,38,525,94,654,3730,16034,2103,21867,180,2409,361,2949,186,1834,238,2256,530,3859,494,4888,848,3834,510,5192,1215,4799,645,6654,1484,5860,726,8064,1205,6240,733,8185,493,3304,464,4255,78,919,152,1151,6222,33046,4324,43592
SED30064,81,1276,98,1456,77,1024,85,1187,160,2252,186,2597,300,2325,246,2863,402,2565,251,3226,418,2635,200,3251,363,2370,155,2889,216,1301,101,1616,52,395,65,515,2065,16146,1396,19604,77,1272,79,1429,96,1032,68,1197,280,2215,176,2672,550,2373,199,3129,746,2644,181,3565,824,2618,166,3616,538,2431,151,3123,214,1425,117,1769,35,600,132,766,3366,16613,1276,21256,161,2546,177,2885,169,2052,155,2382,444,4465,364,5271,850,4698,448,5994,1148,5210,433,6788,1240,5252,366,6866,897,4802,307,6014,430,2727,220,3382,86,993,199,1281,5431,32758,2674,40865
SED30065,58,1567,80,1703,48,992,60,1104,142,2227,144,2506,284,3175,252,3710,438,3187,215,3842,453,2814,144,3412,341,2817,140,3294,180,1421,107,1714,43,360,55,457,1984,18562,1198,21745,62,1435,76,1571,70,951,66,1088,237,2518,146,2905,572,3286,207,4069,769,3168,175,4112,821,2930,153,3903,547,2779,134,3458,200,1443,111,1755,35,526,65,624,3315,19046,1133,23491,115,3006,157,3274,118,1944,123,2190,383,4746,287,5415,859,6459,459,7775,1209,6359,389,7954,1273,5744,298,7315,882,5596,277,6756,382,2872,222,3471,78,886,116,1085,5297,37606,2328,45233
SED30066,59,1242,95,1398,50,781,64,889,101,1514,174,1797,205,2007,173,2389,383,2739,251,3378,487,2987,207,3682,408,3263,198,3873,228,1794,147,2171,47,430,77,554,1979,16768,1393,20139,44,1139,62,1243,42,676,63,783,165,1503,138,1802,358,2270,192,2811,674,2889,226,3785,833,3292,196,4323,602,3175,172,3948,259,1735,200,2202,34,648,148,832,3008,17332,1382,21728,107,2387,156,2642,90,1455,124,1666,268,3017,311,3600,556,4272,366,5200,1054,5632,475,7169,1322,6277,406,8011,1015,6439,373,7822,491,3537,343,4369,85,1083,221,1386,4989,34098,2777,41863
SED30067,58,1401,86,1545,75,1621,117,1813,222,4542,320,5090,348,4052,231,4631,407,3000,181,3589,402,2313,123,2841,241,1642,91,1977,97,790,56,948,44,282,37,360,1890,19647,1253,22788,64,1223,51,1333,97,1741,114,1955,367,4630,290,5287,520,3846,187,4555,689,2828,123,3642,608,2161,101,2874,341,1731,73,2143,152,1015,57,1227,31,584,92,710,2869,19767,1091,23728,120,2621,140,2881,178,3362,230,3767,586,9172,615,10376,864,7897,422,9184,1094,5832,310,7234,1013,4475,228,5714,580,3371,168,4118,253,1803,113,2174,71,866,132,1070,4765,39413,2340,46512
SED30068,60,1493,46,1599,43,1127,57,1227,110,1419,78,1605,220,1961,91,2268,325,2609,115,3051,444,2580,123,3142,359,2281,137,2778,188,1338,130,1657,58,357,114,533,1814,15158,891,17864,65,1376,52,1494,56,907,45,1019,165,1438,65,1672,427,2145,82,2654,663,2735,107,3509,777,2603,113,3498,511,2480,138,3125,238,1573,180,1991,39,592,251,880,2950,15849,1034,19840,126,2868,94,3089,100,2042,102,2244,281,2853,148,3280,645,4110,171,4928,993,5345,224,6563,1223,5181,237,6640,871,4758,273,5902,427,2902,313,3643,92,954,368,1413,4762,31011,1928,37698
SED30069,73,1788,85,1947,77,1453,84,1613,191,2817,163,3172,421,3203,187,3814,489,3351,192,4030,479,2648,111,3241,373,1976,95,2448,155,930,59,1140,28,184,13,233,2288,18357,984,21636,99,1614,66,1777,85,1332,64,1476,326,2837,152,3319,624,3268,159,4051,852,3207,144,4204,784,2589,95,3465,482,2003,115,2599,167,955,66,1191,20,300,22,339,3433,18100,892,22425,174,3397,151,3728,162,2783,149,3093,519,5652,316,6486,1046,6473,344,7867,1345,6557,334,8236,1263,5239,205,6707,859,3982,209,5051,321,1889,125,2332,40,486,36,566,5729,36461,1876,44065
SED30070,57,1157,114,1332,47,932,92,1071,152,1801,140,2095,260,1957,161,2382,372,2245,190,2810,483,2821,176,3487,565,3863,234,4669,358,2328,201,2882,76,501,79,654,2384,17612,1383,21380,76,1057,74,1204,77,850,57,989,336,1925,149,2406,490,1929,143,2558,676,2255,163,3092,902,2996,198,4099,880,3957,240,5077,404,2302,217,2927,42,645,133,818,3875,17917,1372,23164,132,2215,191,2534,121,1787,149,2064,488,3726,293,4509,752,3886,301,4940,1050,4493,356,5897,1391,5819,374,7583,1450,7815,475,9739,758,4635,417,5807,115,1143,212,1472,6258,35531,2754,44538
SED30071,71,1304,86,1463,68,1084,92,1250,178,1854,195,2231,332,2403,214,2953,454,2982,253,3690,514,2980,211,3704,433,2965,189,3585,241,1595,155,1992,53,519,54,624,2349,17686,1447,21483,87,1174,87,1350,86,917,83,1087,269,1877,156,2305,577,2421,201,3196,812,3069,231,4111,912,3158,201,4274,685,3289,198,4166,247,1908,198,2354,51,834,115,999,3734,18647,1473,23857,166,2479,174,2819,157,2000,179,2335,450,3735,356,4539,906,4826,418,6147,1267,6052,480,7795,1432,6140,405,7983,1117,6251,386,7754,493,3500,355,4349,106,1352,173,1628,6086,36338,2919,45343
SED30072,75,1563,83,1723,83,1317,65,1462,152,2288,124,2567,278,2506,156,2941,423,2751,189,3366,556,2968,186,3710,418,2757,171,3346,238,1582,110,1930,64,451,57,566,2285,18188,1140,21613,70,1438,80,1585,73,1166,53,1291,286,2367,131,2782,556,2516,164,3232,778,2873,153,3809,882,2890,148,3916,635,2830,153,3618,263,1633,124,2021,30,686,78,789,3568,18393,1087,23049,140,3000,163,3311,155,2488,119,2759,435,4659,257,5348,828,5026,320,6167,1206,5632,343,7175,1440,5854,335,7629,1057,5584,323,6961,500,3212,238,3957,91,1138,133,1361,5852,36583,2225,44664
SED30073,94,1649,176,1918,77,1503,181,1761,227,3149,377,3748,331,2625,414,3363,365,2338,333,3037,400,2348,248,3003,255,1902,175,2326,153,964,116,1234,53,369,80,507,1946,16844,2098,20888,91,1482,146,1714,110,1582,153,1841,405,3123,292,3822,622,2524,254,3400,629,2343,210,3184,697,2218,165,3082,384,1812,157,2350,170,1329,176,1675,35,676,168,884,3145,17086,1719,21945,181,3134,318,3630,187,3084,330,3598,632,6265,663,7570,956,5143,668,6764,999,4683,541,6220,1098,4568,411,6083,635,3710,331,4677,317,2291,294,2907,83,1046,254,1389,5093,33930,3816,42831
