SED_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SED21805,147,1727,95,1963,127,1637,81,1844,298,4073,230,4599,471,4348,266,5079,532,4139,243,4913,345,3733,174,4252,342,2595,129,3063,159,1319,129,1601,17,394,69,478,2438,23948,1413,27801,180,1495,79,1754,195,1551,83,1830,385,4313,244,4940,668,4466,237,5375,597,4331,199,5120,464,3894,177,4541,495,2927,156,3582,227,1508,165,1896,37,727,116,881,3244,25217,1451,29915,326,3223,170,3720,322,3184,161,3667,683,8390,473,9544,1135,8815,505,10452,1124,8468,437,10031,808,7627,359,8795,836,5523,285,6645,382,2821,290,3498,57,1123,181,1360,5685,49163,2864,57707
SED21906,289,1289,57,1633,409,1659,157,2221,699,4956,414,6068,730,3930,236,4892,849,2970,168,3988,669,2513,117,3303,663,2276,142,3082,244,1116,89,1448,47,524,52,613,4586,21237,1426,27248,416,1208,72,1697,542,1664,120,2331,798,5114,344,6250,962,3822,244,5031,1031,3136,143,4308,784,2642,125,3550,762,2483,167,3416,270,1380,111,1763,52,966,113,1141,5624,22413,1434,29478,708,2489,126,3323,954,3321,274,4551,1497,10071,753,12322,1693,7754,482,9926,1879,6106,311,8297,1454,5155,241,6851,1432,4757,303,6493,509,2506,200,3213,99,1488,165,1750,10209,43651,2863,56728
SED22005,138,1611,71,1823,325,2819,220,3359,521,6645,592,7750,442,4710,266,5418,433,3757,187,4376,285,3300,146,3737,277,2555,157,2991,144,1669,144,1958,32,772,96,905,2603,27841,1882,32321,187,1446,88,1726,442,2097,172,2709,509,5454,403,6368,553,4442,231,5224,441,3928,173,4545,409,3505,157,4070,347,3012,171,3529,194,2098,155,2450,34,1216,166,1419,3117,27213,1717,32045,328,3061,163,3549,770,4915,390,6074,1031,12098,991,14124,996,9151,496,10642,873,7686,361,8922,698,6810,298,7805,624,5570,329,6521,340,3773,300,4410,66,1993,264,2321,5718,55049,3597,64367
SED22105,227,3359,216,3802,312,3571,265,4143,595,8759,651,10004,899,10018,585,11499,638,6336,332,7308,325,4456,235,5010,305,2621,142,3068,114,1272,98,1483,17,365,41,428,3433,40760,2568,46754,330,3251,187,3768,392,3412,218,4025,757,9762,672,11194,1042,9678,505,11224,633,6240,330,7204,398,4437,233,5070,356,3028,170,3555,168,1496,111,1774,16,650,86,748,4099,41950,2517,48561,552,6613,407,7571,703,6979,479,8169,1353,18517,1331,21200,1941,19698,1087,22726,1268,12575,664,14512,723,8888,465,10081,664,5645,313,6619,281,2771,209,3257,31,1017,128,1176,7530,82706,5085,95316
SED22201,170,1479,55,1702,165,1536,66,1769,399,3450,173,4023,521,3616,134,4272,536,3012,113,3656,468,2827,110,3405,464,2177,84,2727,291,1311,78,1681,52,456,65,578,3066,19862,887,23812,208,1320,52,1573,260,1378,63,1705,466,3753,178,4400,728,3649,132,4516,717,3275,112,4106,553,3194,125,3862,605,2695,105,3403,321,1767,144,2231,46,822,146,1018,3898,21855,1056,26807,378,2794,108,3277,428,2918,133,3473,862,7204,349,8420,1252,7264,268,8789,1251,6281,227,7762,1015,6016,236,7265,1067,4875,187,6132,616,3073,225,3914,101,1279,206,1585,6971,41709,1940,50618
SED22305,140,1786,160,2088,198,2249,269,2716,478,6254,802,7528,408,5138,563,6110,298,3911,389,4599,260,3345,310,3916,208,2602,187,2997,127,1472,147,1742,22,503,52,577,2140,27264,2868,32277,154,1679,174,1999,263,2000,177,2446,498,5243,519,6260,455,4391,415,5259,296,3387,316,3996,302,3395,242,3938,274,2750,224,3248,133,1664,152,1953,30,819,81,930,2409,25323,2301,30033,295,3465,334,4094,469,4250,445,5158,979,11496,1318,13787,868,9528,977,11366,597,7296,697,8594,562,6738,547,7847,480,5352,415,6252,259,3136,302,3696,56,1321,139,1513,4556,52582,5175,62313
SED22404,200,1499,181,1877,132,1249,135,1508,302,2529,226,3066,491,2547,278,3314,745,3164,355,4268,880,3642,355,4879,969,2990,319,4281,411,1549,192,2160,60,451,47,551,4194,19619,2095,25903,232,1290,170,1698,163,1070,111,1345,385,2511,219,3116,771,2512,257,3540,928,3083,331,4349,1080,3612,327,5022,1073,2898,307,4279,462,1412,167,2047,67,608,83,761,5172,19001,1986,26158,435,2799,353,3577,287,2313,245,2853,691,5039,452,6184,1263,5054,538,6857,1674,6248,688,8612,1961,7252,681,9900,2043,5892,626,8564,882,2962,363,4203,123,1061,130,1315,9365,38620,4077,52053
SED22501,227,1690,50,1966,222,1336,40,1590,246,2312,61,2620,520,3161,101,3784,807,3309,116,4228,544,3223,94,3862,626,2563,109,3299,324,1184,78,1590,28,335,43,406,3540,19110,700,23346,276,1487,37,1797,256,1186,40,1480,313,2338,73,2726,813,3281,107,4197,938,3520,105,4568,642,3612,104,4361,684,2866,103,3652,312,1346,91,1751,34,519,84,632,4258,20153,734,25149,500,3178,86,3765,472,2522,81,3073,554,4650,135,5349,1328,6441,202,7976,1747,6822,221,8792,1189,6840,195,8222,1310,5428,214,6946,634,2531,177,3341,63,853,123,1039,7799,39268,1435,48500
SED22607,162,1601,73,1844,293,1950,117,2362,668,5030,310,6017,637,4199,240,5079,727,3699,212,4642,522,3188,182,3899,454,2238,117,2809,179,1042,79,1302,24,450,47,523,3668,23404,1385,28459,225,1422,65,1711,393,2024,110,2529,790,5268,372,6425,868,4290,237,5393,833,3952,191,4979,584,3451,157,4195,523,2381,118,3021,169,1338,94,1600,27,831,75,935,4404,24949,1425,30791,390,3022,138,3554,685,3976,228,4887,1456,10299,684,12442,1498,8489,481,10475,1563,7651,406,9619,1114,6636,339,8087,976,4622,231,5834,342,2379,177,2896,50,1281,122,1454,8077,48356,2812,59245
SED22704,218,1534,237,1986,156,1502,154,1813,352,2809,386,3537,517,2537,373,3431,687,3246,403,4326,887,3852,480,5220,1163,3466,424,5046,565,1849,263,2684,77,599,87,763,4621,21393,2799,28810,235,1247,182,1665,142,1195,116,1447,414,2787,286,3485,717,2605,325,3650,832,3365,360,4550,1010,3938,405,5346,1196,3236,330,4766,572,1807,284,2662,98,902,178,1180,5205,21088,2466,28760,448,2782,420,3649,295,2697,263,3265,766,5593,667,7028,1230,5149,701,7076,1512,6605,758,8883,1901,7789,883,10570,2361,6704,753,9819,1134,3659,545,5343,177,1501,262,1940,9832,42482,5260,57571
SED22802,219,1679,66,1958,190,1641,61,1892,377,3517,155,4052,551,3288,144,3981,563,3137,147,3847,476,2975,116,3568,475,2185,85,2750,285,1243,78,1609,36,321,28,386,3161,19987,890,24043,274,1513,59,1844,254,1463,53,1773,462,3489,132,4085,732,3232,120,4083,651,3422,130,4204,539,3160,111,3813,571,2491,91,3157,267,1391,74,1735,24,506,41,573,3794,20673,811,25271,491,3194,127,3810,443,3108,113,3664,842,7009,285,8136,1285,6518,267,8064,1216,6559,276,8045,1013,6138,225,7379,1045,4680,185,5906,555,2640,153,3341,64,827,70,964,6958,40658,1700,49311
SED22901,225,1518,56,1799,265,1456,61,1781,346,3203,162,3706,528,3489,141,4155,568,3005,129,3698,486,2883,92,3461,448,2615,90,3154,242,1264,86,1599,48,476,65,579,3154,19901,879,23938,247,1342,54,1647,292,1291,64,1642,392,3154,130,3678,762,3521,138,4421,639,3183,112,3929,539,3370,102,4009,487,2988,98,3575,250,1626,135,2004,56,820,153,1027,3665,21296,975,25931,470,2861,112,3441,554,2745,118,3420,741,6357,292,7388,1292,7012,277,8577,1205,6184,241,7628,1023,6252,191,7470,936,5604,192,6731,492,2892,222,3606,102,1292,213,1608,6819,41201,1856,49873
SED23007,130,1547,125,1800,282,2542,248,3077,756,8308,844,9904,642,6008,494,7147,514,4155,345,5018,359,3445,268,4067,233,2408,188,2825,84,1310,124,1520,17,464,69,547,3015,30198,2711,35918,168,1533,112,1818,349,2345,195,2893,977,7476,643,9097,775,5529,402,6712,583,4151,278,5015,484,3393,210,4087,322,2619,192,3133,94,1544,159,1796,9,748,150,908,3766,29342,2342,35453,305,3086,238,3624,630,4892,448,5968,1727,15783,1487,19000,1420,11533,901,13860,1097,8310,620,10025,845,6836,478,8154,557,5033,375,5960,176,2855,285,3323,28,1214,217,1455,6786,59534,5048,71367
SED23101,242,1627,59,1925,278,1712,86,2074,312,2860,173,3349,456,3347,121,3928,642,3213,125,3986,497,2790,69,3358,504,2268,105,2877,398,1694,115,2201,79,740,87,906,3414,20245,945,24599,318,1383,27,1733,367,1323,60,1750,368,2777,112,3264,654,3452,122,4225,794,3470,99,4366,544,3045,93,3680,619,2816,140,3573,402,2231,159,2790,84,1072,205,1355,4139,21573,1016,26726,561,3007,89,3657,644,3030,144,3819,685,5640,284,6610,1106,6801,243,8147,1438,6685,235,8352,1042,5832,159,7037,1120,5091,243,6446,797,3927,275,4991,158,1814,291,2256,7547,41818,1960,51325
SED23205,126,1589,123,1841,155,1504,122,1778,311,3609,368,4284,388,3378,289,4055,447,3295,311,4055,374,3075,274,3728,393,2415,175,2983,217,1389,148,1755,44,497,116,652,2458,20746,1922,25125,181,1319,144,1648,230,1389,120,1735,410,3613,326,4356,619,3471,281,4365,613,3401,258,4269,490,3219,203,3903,527,2663,179,3369,279,1684,204,2169,56,833,234,1126,3402,21588,1947,26936,313,2909,268,3489,387,2892,241,3514,722,7221,697,8640,1007,6845,567,8418,1055,6695,572,8325,859,6295,474,7627,924,5075,350,6352,495,3074,351,3922,105,1329,347,1776,5861,42330,3872,52067
SED23308,242,1429,92,1760,266,1893,155,2306,508,4456,294,5259,567,3422,234,4215,649,3103,211,3961,551,3071,184,3806,569,2376,151,3097,249,1245,109,1603,49,491,80,612,3642,21481,1502,26627,276,1281,63,1618,369,1811,120,2300,643,4495,255,5396,773,3515,207,4499,777,3405,183,4364,652,3491,169,4309,669,2793,187,3650,307,1741,174,2223,50,864,159,1068,4524,23397,1513,29434,517,2708,156,3381,637,3699,270,4608,1153,8948,550,10653,1336,6940,439,8718,1425,6509,394,8322,1197,6562,361,8118,1236,5172,337,6745,561,2986,284,3832,101,1350,235,1688,8163,44870,3017,56060
SED23402,254,2323,150,2731,240,2275,132,2655,414,5111,323,5845,659,4967,300,5922,769,4238,238,5245,561,3662,194,4412,508,2458,148,3111,267,1345,100,1712,44,422,45,512,3706,26790,1642,32139,333,2050,134,2513,318,2061,118,2505,529,5524,302,6352,896,5020,295,6214,854,4549,258,5659,643,3824,194,4660,615,2744,167,3523,288,1546,151,1986,58,636,93,790,4535,27947,1717,34204,582,4370,291,5244,562,4341,254,5153,941,10628,621,12192,1552,9992,595,12138,1630,8778,499,10902,1208,7482,388,9074,1119,5200,317,6636,557,2886,255,3701,101,1059,143,1303,8242,54739,3357,66337
SED23502,216,1260,188,1665,131,1057,125,1316,347,2318,258,2921,493,2174,266,2934,646,2515,294,3451,903,3531,372,4805,1278,3844,423,5544,626,2046,268,2944,83,568,118,766,4717,19311,2317,26344,202,1150,173,1532,146,959,101,1211,428,2448,260,3139,688,2295,263,3243,811,2765,307,3887,1093,3722,346,5163,1475,3436,385,5297,688,1980,270,2938,121,757,180,1055,5669,19515,2280,27463,420,2413,362,3198,281,2015,230,2521,774,4767,517,6056,1181,4466,528,6177,1458,5279,596,7336,1997,7256,721,9968,2757,7276,802,10844,1318,4022,540,5880,199,1329,294,1826,10390,38823,4594,53811
SED23602,209,1326,141,1679,143,1101,146,1391,301,2270,552,3133,537,2227,521,3280,705,2619,348,3673,878,3284,327,4487,1143,3035,310,4484,462,1563,197,2221,64,478,94,645,4451,17911,2629,24988,248,1205,144,1595,154,927,89,1167,394,2300,219,2903,772,2207,273,3249,906,2855,236,3996,1028,3407,249,4682,1203,2951,308,4459,505,1577,219,2306,81,728,119,931,5286,18147,1853,25288,456,2531,279,3271,297,2028,229,2555,698,4570,772,6031,1311,4431,796,6534,1607,5475,586,7669,1905,6693,575,9169,2345,5986,616,8946,974,3135,416,4528,153,1209,214,1574,9739,36057,4478,50279
SED23702,185,2124,104,2412,170,2039,104,2313,297,4023,218,4543,477,3648,259,4387,540,3736,225,4501,509,3798,221,4533,507,2940,183,3627,243,1487,135,1867,47,455,55,555,2966,24251,1516,28731,249,1727,131,2106,212,1635,93,1937,396,4075,185,4651,678,3719,219,4607,714,4021,226,4963,584,4166,196,4942,638,3099,172,3906,292,1715,163,2174,43,597,99,744,3800,24750,1484,30030,434,3850,233,4515,382,3671,192,4245,696,8096,403,9194,1151,7368,483,8995,1252,7752,457,9468,1092,7968,420,9472,1142,6036,356,7533,528,3205,302,4036,89,1054,150,1298,6764,49000,2999,58759
SED23806,366,1617,60,2049,421,2058,92,2567,624,4394,229,5246,581,3269,163,4011,872,2875,143,3891,793,2480,108,3373,679,1892,91,2663,386,1110,72,1567,64,480,34,576,4777,20175,987,25940,435,1489,66,1994,550,1999,110,2661,765,4524,227,5514,821,3496,163,4473,1196,3127,131,4449,846,2813,117,3775,754,2311,111,3176,421,1475,87,1983,78,825,60,962,5863,22057,1073,28990,800,3108,130,4036,973,4056,200,5227,1389,8914,457,10758,1404,6762,323,8485,2064,6004,276,8343,1636,5293,219,7146,1430,4206,200,5835,802,2585,161,3547,141,1300,95,1543,10640,42233,2055,54928
SED23901,231,1626,67,1922,235,1683,109,2027,467,3945,211,4621,586,3966,214,4771,745,3405,161,4309,599,3116,135,3849,521,2308,119,2953,273,1336,80,1688,54,643,63,762,3713,22031,1162,26906,291,1408,55,1752,340,1567,79,1988,585,4011,199,4792,856,3948,181,4990,847,3618,136,4603,630,3454,123,4207,637,2576,148,3358,339,1704,97,2141,69,1125,78,1264,4599,23401,1092,29097,518,3032,128,3677,580,3252,189,4017,1055,7951,408,9412,1443,7911,400,9754,1593,7025,300,8915,1228,6574,256,8053,1162,4883,267,6312,616,3043,180,3835,121,1764,137,2023,8310,45438,2253,56001
SED24006,438,2086,68,2591,383,1904,74,2362,349,2907,140,3400,434,2726,107,3267,858,3312,152,4316,764,3218,136,4116,596,2214,100,2910,366,1325,75,1763,76,636,51,759,4263,20330,894,25488,484,1837,70,2384,455,1613,75,2150,449,2766,124,3337,728,3158,117,3997,1139,3793,152,5084,824,3470,113,4406,716,2458,111,3284,370,1640,111,2126,70,1071,121,1263,5238,21804,984,28030,921,3924,135,4975,841,3519,150,4509,800,5673,261,6737,1160,5884,219,7266,1995,7101,305,9401,1586,6688,245,8524,1310,4672,207,6196,742,2963,183,3884,148,1705,176,2027,9501,42137,1881,53517
SED24105,167,2125,94,2388,244,2424,144,2810,331,5078,340,5747,367,4694,248,5306,382,4138,168,4690,321,3749,175,4240,343,2765,132,3242,179,1557,107,1842,35,508,37,581,2368,27044,1446,30850,194,1995,80,2273,313,2093,107,2515,347,4818,287,5447,455,4921,258,5634,430,4411,165,5006,380,3669,154,4209,379,3029,154,3566,168,1715,124,2009,24,802,80,903,2690,27453,1409,31547,356,4119,178,4657,558,4513,246,5326,681,9899,626,11199,820,9617,507,10941,815,8554,333,9696,701,7421,328,8444,725,5798,287,6809,350,3270,233,3846,57,1308,116,1479,5052,54495,2857,62404
SED24207,209,2774,245,3226,231,2788,488,3510,415,6500,1296,8214,560,7299,1055,8916,463,5439,566,6471,313,3956,290,4561,203,2878,187,3269,86,1199,118,1403,7,248,45,297,2492,33084,4292,39860,219,2724,165,3117,340,2429,217,2992,517,6730,712,7956,644,7381,560,8586,487,5606,380,6472,334,4048,241,4624,231,3162,166,3561,64,1244,101,1402,15,372,52,436,2849,33694,2600,39148,425,5502,414,6337,574,5222,711,6501,933,13231,2008,16173,1204,14678,1611,17500,954,11044,945,12948,641,8004,531,9186,434,6036,355,6827,145,2438,225,2812,20,620,96,735,5338,66779,6892,79009
SED24308,215,1838,156,2208,203,1902,229,2335,385,4447,791,5634,427,3397,607,4435,482,3540,430,4446,403,3382,286,4073,450,2613,193,3254,223,1403,142,1769,29,558,65,645,2807,23085,2904,28794,278,1667,146,2092,243,1778,145,2169,468,4338,354,5153,620,3552,305,4480,553,3697,254,4507,418,3542,174,4138,524,2947,205,3673,194,1742,174,2118,32,875,89,992,3333,24140,1838,29316,495,3509,299,4298,444,3688,370,4503,855,8781,1151,10785,1050,6950,916,8915,1032,7240,681,8954,826,6923,461,8210,966,5561,398,6927,417,3150,318,3887,55,1427,156,1635,6143,47224,4741,58107
SED24408,317,1239,149,1701,241,1076,92,1411,552,2390,218,3159,806,1863,195,2869,999,2187,204,3388,1232,2889,258,4379,1227,2457,293,3970,620,1361,218,2197,125,567,100,793,6110,16039,1725,23874,353,995,140,1485,200,1006,86,1295,597,2328,185,3105,949,1957,188,3087,1100,2323,223,3652,1152,3010,239,4407,1229,2404,263,3894,706,1539,260,2507,107,991,174,1281,6394,16561,1749,24707,663,2237,282,3190,441,2080,175,2706,1149,4714,399,6260,1754,3822,382,5959,2096,4511,426,7038,2384,5906,493,8784,2449,4863,555,7869,1324,2900,480,4705,233,1564,274,2075,12510,32601,3475,48584
SED24504,239,1646,155,2045,142,1124,90,1353,275,2230,178,2688,650,2992,201,3840,1009,3507,276,4792,955,3417,283,4660,977,2840,229,4048,441,1424,166,2038,60,354,74,481,4750,19544,1645,25942,293,1412,141,1850,171,949,78,1198,353,2302,159,2816,978,3118,219,4310,1254,3646,271,5180,1069,3520,251,4843,1056,2872,257,4195,445,1340,158,1947,56,540,126,715,5680,19690,1675,27045,533,3062,298,3892,312,2071,170,2551,627,4534,340,5500,1628,6111,423,8155,2263,7154,550,9964,2029,6938,536,9502,2039,5714,490,8241,892,2766,330,3984,115,893,192,1202,10434,39233,3321,52988
SED24606,276,1330,68,1675,323,1712,81,2116,505,3713,239,4454,483,2985,158,3629,827,2788,130,3749,647,2448,117,3209,576,1992,118,2682,375,1349,101,1825,74,558,76,712,4093,18879,1083,24055,319,1418,59,1796,450,1736,85,2269,579,3944,186,4711,647,3136,161,3943,1056,3149,132,4341,768,2800,120,3689,734,2435,131,3297,389,1705,130,2223,77,960,142,1177,5018,21283,1148,27447,598,2745,131,3468,778,3445,159,4380,1080,7660,425,9166,1125,6124,318,7567,1884,5945,267,8091,1421,5248,233,6899,1304,4431,244,5983,769,3054,232,4053,158,1523,217,1891,9113,40160,2227,51505
SED24703,368,1996,192,2551,1606,8044,839,10487,2353,17343,1857,21557,1020,7730,911,9656,699,3669,469,4842,647,2766,322,3736,525,1894,182,2604,225,880,114,1219,31,289,29,352,7480,44603,4923,57000,658,2276,237,3173,2461,8612,890,11961,2763,16963,1733,21468,1220,6780,682,8682,823,3619,376,4818,690,2869,278,3841,591,1961,213,2763,217,960,94,1272,30,459,49,535,9459,44495,4554,58507,1020,4267,426,5722,4066,16651,1731,22444,5118,34305,3595,43021,2241,14509,1596,18338,1523,7290,851,9660,1336,5631,604,7578,1117,3853,399,5368,448,1838,205,2489,67,747,76,890,16932,89097,9481,115506
SED24808,204,2459,213,2881,185,2514,226,2927,410,6280,584,7269,673,6250,506,7426,464,4708,367,5536,363,3704,251,4320,415,3025,192,3627,167,1304,119,1591,26,301,33,360,2894,30547,2487,35934,278,2333,234,2844,253,2356,216,2832,556,6895,587,8042,784,6229,523,7537,606,4701,353,5657,457,4002,243,4702,516,3305,204,4033,187,1410,136,1735,35,563,55,661,3679,31806,2557,38042,483,4795,449,5727,440,4880,443,5756,968,13180,1170,15318,1456,12476,1026,14965,1067,9411,717,11193,821,7708,496,9022,929,6334,394,7657,354,2710,262,3321,61,869,87,1020,6577,62360,5045,73975
SED24904,253,1479,226,1951,188,1538,170,1890,439,3558,441,4441,522,2960,393,3876,669,2973,384,4029,732,3330,381,4437,716,2676,328,3719,349,1426,208,1974,62,525,92,675,3922,20457,2613,26999,270,1358,172,1803,193,1358,147,1705,492,3549,406,4446,695,2954,375,4023,775,3109,301,4183,802,3350,312,4471,738,2645,295,3680,372,1550,213,2139,49,941,157,1151,4393,20822,2388,27601,524,2831,400,3753,379,2897,315,3592,932,7102,848,8886,1216,5909,763,7895,1443,6081,687,8212,1533,6682,694,8908,1453,5330,619,7397,719,2973,419,4111,116,1464,251,1833,8315,41285,5000,54597
SED25003,165,2077,124,2371,181,2214,120,2509,312,4628,286,5226,385,4549,253,5186,329,4050,182,4563,254,3725,160,4144,234,2352,117,2703,64,975,139,1178,7,281,99,387,1936,24865,1482,28277,177,1862,87,2128,255,1915,85,2260,381,4605,248,5235,511,4522,230,5264,399,4468,166,5030,283,4108,155,4546,234,2474,158,2865,85,1094,207,1383,8,496,240,739,2327,25546,1581,29450,343,3942,209,4497,430,4134,206,4770,694,9238,534,10462,896,9078,487,10458,728,8514,351,9600,538,7833,313,8690,471,4824,280,5574,151,2070,347,2568,15,774,335,1128,4262,50408,3067,57732
SED25102,220,1618,58,1895,202,1353,54,1607,326,2635,141,3094,652,2964,132,3751,831,3268,162,4257,662,3083,127,3870,634,2344,105,3075,252,1064,76,1392,21,303,29,352,3788,18631,875,23300,269,1412,59,1737,285,1181,34,1499,446,2568,124,3140,904,3074,119,4099,962,3305,123,4389,750,3189,139,4074,753,2316,103,3176,275,1090,70,1431,37,484,29,554,4666,18612,807,24085,484,3033,118,3634,480,2531,90,3103,767,5199,264,6231,1554,6036,254,7852,1790,6572,284,8643,1411,6267,263,7942,1391,4655,204,6255,526,2157,144,2821,56,787,56,900,8462,37241,1680,47384
SED25205,190,1719,62,1977,175,1435,48,1659,268,2981,161,3406,564,3840,166,4560,794,3878,159,4826,556,3242,131,3921,432,2208,96,2737,211,1280,86,1576,47,541,43,634,3229,21125,944,25300,281,1626,57,1963,266,1326,39,1635,374,3187,156,3714,833,4013,157,5003,880,4274,154,5317,568,3575,117,4255,493,2586,118,3197,300,1663,119,2080,45,982,79,1104,4036,23226,997,28262,470,3349,118,3939,446,2758,84,3288,639,6166,313,7118,1397,7852,320,9567,1668,8159,313,10143,1125,6816,246,8183,927,4787,217,5936,512,2940,205,3655,92,1523,122,1736,7274,44354,1942,53566
SED25302,173,1916,93,2185,118,1294,45,1452,189,1820,88,2100,464,2686,136,3283,781,3551,192,4522,591,3246,140,3973,769,2844,156,3774,553,2056,165,2768,88,790,134,1009,3719,20207,1142,25071,247,1730,90,2069,185,1163,46,1390,211,1837,89,2133,666,3079,135,3873,893,4084,188,5164,693,3517,135,4349,1006,3470,203,4685,580,2559,234,3370,92,1140,266,1497,4565,22579,1379,28525,423,3647,181,4252,299,2450,91,2840,400,3655,178,4230,1128,5767,263,7160,1671,7638,380,9688,1277,6767,278,8324,1775,6315,366,8456,1128,4611,395,6138,178,1930,398,2509,8289,42782,2526,53599
SED25402,151,1641,180,1973,171,1586,150,1907,394,3474,340,4205,517,3021,313,3849,566,3109,310,3984,631,3526,306,4458,704,2969,274,3942,352,1495,184,2033,51,493,98,643,3526,21316,2154,27000,176,1577,162,1919,187,1565,180,1936,453,3695,351,4501,669,3119,326,4116,588,3376,270,4239,781,3805,301,4894,784,2998,261,4046,378,1676,221,2277,59,825,161,1049,4073,22647,2241,28965,335,3218,340,3898,358,3150,329,3845,846,7174,686,8706,1181,6141,633,7961,1148,6487,578,8216,1411,7329,607,9346,1487,5966,535,7990,727,3172,406,4307,106,1319,268,1690,7602,43961,4391,55962
SED25501,279,1871,77,2232,372,2004,139,2506,402,3523,221,4137,428,3620,192,4241,624,3408,160,4194,528,3051,122,3699,454,2169,79,2702,349,1514,85,1949,94,797,84,969,3515,21954,1155,26632,340,1638,75,2055,444,1549,93,2086,366,3070,203,3641,613,4034,170,4822,740,3689,154,4590,602,3188,119,3909,488,2505,86,3083,411,1985,106,2512,102,1037,126,1264,4105,22709,1147,27959,615,3511,155,4287,814,3548,234,4596,762,6595,423,7779,1045,7655,368,9066,1360,7103,324,8785,1124,6241,242,7606,948,4675,165,5784,758,3503,191,4457,195,1836,209,2230,7620,44666,2300,54589
