SED_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
SED10091,0,3,3,42,19,43,121,96,20,349,0,0,0,3,4,20,42,18,5,99,0,12,3,15,14,19,8,3,0,73,0,21,26,249,40,19,21,18,10,420,0,0,5,19,7,7,11,5,0,54,0,0,0,19,7,6,7,8,0,41,0,4,9,22,7,15,5,0,0,63,0,3,4,49,46,45,54,37,5,241,0,3,0,16,28,62,99,67,33,310,0,0,0,12,4,7,7,0,0,31,0,0,6,22,7,7,3,0,0,43,0,0,0,29,49,37,31,11,0,151,0,4,0,17,17,17,15,6,0,84,0,0,0,11,12,40,107,53,6,225,0,0,0,3,5,12,15,0,4,48,0,0,0,4,0,3,4,4,0,14,6,9,24,271,7,4,0,0,0,318,0,0,0,16,14,33,89,58,23,240,0,29,45,197,208,198,182,95,11,967,0,0,0,11,4,23,8,6,0,45
SED10092,6,0,7,48,29,57,139,88,41,412,0,0,5,5,7,41,113,143,94,405,0,4,13,43,14,18,15,0,0,115,11,43,180,776,64,56,36,19,6,1190,0,7,28,50,30,13,8,3,0,136,0,6,18,102,13,20,6,0,0,173,4,43,49,98,47,41,16,3,0,297,0,9,16,38,22,13,20,15,11,141,0,11,12,57,42,138,313,347,286,1198,0,0,12,37,13,6,14,5,0,89,0,4,14,90,25,27,10,0,0,177,0,3,21,141,100,93,67,38,7,470,7,13,34,78,24,20,12,6,0,188,0,0,0,5,6,25,66,65,29,209,0,0,0,9,0,4,0,0,0,18,0,12,19,117,31,8,20,11,0,221,0,0,45,221,3,3,0,0,0,278,0,0,4,17,6,17,58,76,31,218,4,32,85,280,161,164,110,58,18,909,0,8,17,172,289,502,688,484,134,2302
SED10093,0,0,6,25,15,26,64,63,19,216,0,0,0,4,5,6,20,24,0,62,0,0,9,14,5,13,15,0,0,62,0,47,45,428,86,44,19,18,8,694,0,4,13,48,31,11,13,0,0,123,0,0,0,14,9,10,4,3,0,45,0,0,0,5,4,3,0,0,0,12,0,30,10,32,30,32,56,51,12,247,0,3,0,14,11,35,72,52,30,212,0,9,3,16,14,5,5,3,0,60,0,5,11,65,27,28,21,7,0,172,0,0,0,11,16,20,4,3,0,52,0,0,9,33,17,28,20,4,0,103,0,0,4,3,8,15,83,72,11,196,0,6,0,11,9,3,12,7,3,47,0,0,0,0,4,0,0,0,0,8,0,0,13,96,5,0,0,0,0,123,0,4,3,8,15,25,68,65,25,214,9,55,81,357,275,282,194,82,20,1344,0,0,0,5,0,8,0,0,0,10
SED19494,0,0,3,14,0,3,4,3,0,30,0,0,0,3,0,0,0,3,0,10,0,3,6,19,3,8,0,0,0,32,0,0,7,55,4,7,0,0,0,78,0,0,3,28,5,3,0,0,0,32,0,0,7,11,7,5,0,0,0,28,0,0,3,8,0,0,0,0,0,10,0,0,0,17,7,5,0,4,0,29,0,0,0,17,0,6,9,0,0,31,3,0,4,8,0,0,0,0,0,14,0,0,3,11,3,0,0,0,0,21,0,0,0,5,4,3,5,0,0,20,0,0,11,37,8,6,3,0,0,67,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,17,0,0,0,13,0,8,8,5,0,37,0,7,10,60,38,48,34,3,0,194,0,0,0,0,3,0,0,0,0,4
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,7,8,24,239,62,52,73,28,6,510,0,0,15,56,45,132,165,333,140,885,0,20,79,278,40,45,42,3,3,523,38,114,354,2278,143,86,49,25,4,3093,5,12,181,500,62,23,26,4,0,814,3,8,23,366,48,19,18,6,0,487,0,0,0,31,10,6,0,0,0,51,9,8,30,644,63,48,27,12,4,848,0,8,28,330,50,83,112,76,31,718,0,16,32,203,68,37,20,0,0,378,0,16,33,514,50,17,0,3,0,638,0,0,8,22,19,15,9,3,0,77,5,13,179,823,107,113,92,21,7,1347,0,0,0,6,8,8,29,22,4,80,0,0,20,76,10,14,8,4,4,128,0,0,17,23,4,0,3,0,0,51,0,0,42,88,4,0,0,0,0,142,0,9,17,85,33,17,30,26,9,221,3,39,157,1066,436,285,139,52,9,2185,0,4,5,40,18,12,15,4,0,95
SED20207,4,6,18,72,63,37,79,57,27,366,0,12,17,34,43,109,124,105,44,492,6,40,28,189,57,54,29,3,0,412,143,1229,742,7988,908,363,309,88,16,11788,6,32,63,640,156,47,77,11,0,1043,4,26,23,308,64,25,15,0,0,472,0,13,15,62,35,19,11,3,0,153,4,20,20,179,55,32,33,22,4,368,0,10,12,98,63,138,201,105,74,709,0,15,10,98,48,8,3,4,0,180,6,41,45,279,92,28,9,9,0,512,3,0,8,119,88,70,48,8,0,353,13,111,141,696,199,141,119,29,9,1452,0,0,7,14,41,151,357,246,86,902,0,8,21,169,41,36,36,8,4,336,0,7,24,85,46,35,16,9,4,227,0,4,63,205,18,4,14,0,0,311,0,13,10,40,20,17,29,30,8,160,73,554,540,1276,523,275,111,36,7,3401,0,8,3,104,120,155,151,59,7,613
SED20302,0,10,9,61,14,67,124,99,32,419,0,4,8,10,19,17,33,49,8,155,0,0,9,39,8,23,16,0,0,100,49,480,672,6042,617,332,230,61,16,8489,0,15,13,91,33,16,18,3,0,192,0,11,18,75,21,11,4,0,0,139,0,7,8,40,14,6,0,0,0,75,0,35,10,64,25,40,43,33,13,248,0,8,10,52,25,67,152,119,56,492,0,10,6,23,17,10,3,0,0,69,0,4,11,65,20,9,0,4,0,112,0,4,6,31,15,14,0,0,0,76,5,67,44,151,73,46,20,13,0,418,0,0,0,3,4,23,53,32,4,123,3,14,58,244,85,104,63,30,3,597,0,15,29,179,40,7,8,0,0,283,0,4,14,129,11,8,0,0,0,166,0,0,7,21,27,53,227,145,51,529,30,252,294,656,292,292,189,86,19,2115,0,0,0,12,10,7,7,0,0,31
SED20401,0,6,13,39,37,38,103,165,139,544,0,3,0,7,12,18,32,28,10,107,3,19,31,237,89,94,48,0,0,526,17,106,140,1139,213,130,86,38,18,1886,0,7,9,111,34,20,11,8,0,208,0,19,13,189,44,34,19,5,0,338,0,5,3,0,11,5,0,0,0,19,0,21,10,32,23,24,36,21,13,177,0,5,0,22,15,36,75,64,33,244,0,8,9,31,20,10,5,3,0,83,0,12,20,121,43,43,14,5,0,257,0,0,0,11,4,11,4,0,0,35,10,57,71,383,141,90,91,43,3,886,0,0,0,5,0,9,15,12,4,39,0,0,4,29,11,22,20,5,0,91,0,11,37,129,37,13,8,3,4,239,0,3,12,80,16,9,6,0,0,122,0,0,5,8,27,27,114,101,45,319,9,33,59,245,148,121,76,37,9,750,0,0,0,7,3,3,5,6,0,26
SED20508,0,0,0,35,26,42,136,81,51,370,0,0,0,5,12,29,60,66,14,190,0,3,0,9,0,3,5,0,0,32,4,9,21,146,33,27,24,10,8,282,3,0,5,21,13,5,5,3,5,54,0,0,0,7,11,5,0,4,0,21,0,4,0,11,0,0,0,0,0,13,3,5,12,35,42,29,36,17,13,193,0,0,0,29,21,50,160,71,41,366,0,4,0,15,14,5,5,3,0,38,0,3,0,5,3,0,0,0,0,11,0,0,0,0,6,7,3,0,0,14,0,4,0,14,21,13,8,0,0,71,0,0,0,0,9,49,105,72,9,243,0,3,4,8,10,13,0,0,0,49,0,0,0,0,0,0,0,0,0,4,0,0,4,16,0,0,0,0,0,19,4,3,3,20,24,29,161,116,31,385,6,34,33,207,138,150,156,64,16,797,0,0,0,0,0,8,7,4,4,24
SED20604,4,5,9,21,31,60,196,100,36,450,0,0,0,0,3,4,8,5,0,23,0,0,3,16,6,7,0,0,0,36,7,32,42,307,40,21,16,12,0,474,0,0,4,16,13,5,3,0,0,51,0,0,0,16,4,8,0,0,0,27,0,0,0,4,0,0,0,0,0,12,0,4,0,19,9,16,11,8,3,74,0,3,0,7,8,14,39,35,17,126,0,3,0,9,8,0,6,0,0,25,0,0,4,15,3,0,0,0,0,27,0,7,0,3,3,5,0,0,0,13,0,12,9,28,13,13,13,5,0,89,0,0,0,0,0,3,11,3,0,19,0,0,3,14,6,0,0,0,0,24,0,0,0,3,3,0,4,0,0,19,0,25,32,58,3,0,0,0,0,115,0,3,4,10,17,29,113,71,22,267,0,30,41,153,151,153,101,34,10,676,0,0,0,0,0,0,5,0,0,10
SED20704,0,4,7,11,11,25,41,28,9,138,0,0,0,5,0,3,5,4,4,19,0,8,0,12,3,0,4,0,0,27,5,49,86,445,54,28,28,15,3,708,0,0,3,16,15,9,5,4,0,52,0,6,7,9,4,0,0,0,0,23,0,0,0,5,0,4,5,3,0,20,0,0,5,23,13,14,13,5,8,76,0,0,0,6,3,18,46,19,15,105,0,3,0,9,0,4,0,0,0,22,0,7,3,41,0,5,0,0,0,51,0,0,0,3,3,0,0,0,0,11,0,8,15,70,28,11,21,5,0,156,0,0,0,0,0,0,15,5,3,27,0,0,4,10,5,0,0,3,0,27,0,9,37,230,75,45,23,11,4,425,0,0,4,60,3,0,0,0,0,70,0,0,0,4,3,8,56,41,10,123,4,36,40,141,105,91,63,28,0,509,0,0,0,0,0,0,4,0,0,4
SED20804,0,0,0,21,18,28,59,35,6,163,0,0,0,0,7,14,10,12,3,49,0,6,9,10,7,3,7,0,0,43,6,47,41,402,44,18,10,3,0,584,0,0,6,21,13,10,0,0,0,54,0,10,0,16,3,0,0,0,0,37,0,0,0,11,0,0,0,0,0,12,0,0,3,21,10,16,22,5,8,91,0,0,0,6,4,14,25,17,5,70,0,6,8,14,6,0,4,0,0,36,5,0,0,12,0,4,0,0,0,22,0,0,4,12,3,4,3,0,0,19,0,7,13,75,27,30,17,3,0,164,0,0,0,3,0,7,12,5,0,29,0,0,0,8,4,3,0,0,0,18,0,0,28,187,66,34,32,14,0,365,0,0,6,51,0,0,0,0,0,59,0,0,4,6,13,24,76,56,7,193,3,18,30,145,115,147,77,29,7,570,0,0,0,0,0,0,0,0,0,3
SED20906,0,8,13,52,55,21,64,50,22,283,0,16,18,39,59,137,258,412,147,1092,5,36,28,93,36,37,33,16,6,294,9,175,190,1239,300,181,110,85,21,2316,0,15,14,129,35,14,7,3,4,221,0,0,6,95,29,13,9,3,0,156,0,0,0,7,0,0,0,0,0,21,3,7,17,190,42,46,23,24,9,364,0,5,8,63,38,77,126,164,121,604,4,51,19,89,81,22,16,8,0,296,0,46,54,155,86,19,9,0,0,376,0,0,0,14,28,20,33,19,6,124,5,25,51,264,98,75,58,18,5,604,0,0,0,6,0,8,13,16,9,49,0,0,0,38,14,12,14,9,5,102,0,0,3,9,7,4,7,3,3,31,0,0,28,40,4,0,0,0,0,72,0,3,4,18,18,18,16,11,0,94,10,68,91,320,213,157,66,26,4,956,0,0,0,17,10,10,5,4,0,42
SED21001,5,3,7,39,19,39,63,61,16,240,0,0,4,16,13,55,89,171,63,425,10,72,102,483,154,156,165,31,11,1182,22,176,323,1396,232,110,108,58,16,2437,0,10,42,195,69,38,36,25,11,423,3,29,47,245,84,30,24,15,3,479,0,3,0,5,4,0,0,0,0,18,0,6,6,30,20,19,20,12,16,125,0,4,11,39,24,64,102,149,104,490,3,15,32,80,46,8,13,3,0,211,7,26,49,283,98,29,15,6,7,516,0,0,0,8,10,11,4,3,3,43,5,69,320,1157,428,278,271,120,32,2676,0,0,0,0,0,10,10,10,3,38,0,0,14,32,13,12,5,3,0,84,0,0,0,14,14,7,5,5,0,49,0,3,62,127,5,0,0,0,0,193,0,5,9,5,6,9,35,27,30,127,6,68,105,221,141,137,88,41,22,826,0,0,0,0,5,13,13,3,6,36
SED21106,3,11,7,104,64,54,98,71,32,454,0,0,4,10,23,56,80,122,60,364,10,58,26,45,33,29,20,12,7,236,0,22,26,256,72,70,58,37,11,551,3,6,15,37,27,12,9,0,0,111,0,0,0,65,15,8,7,0,0,98,0,0,0,3,4,5,0,0,0,12,0,13,16,257,64,46,38,19,14,460,0,12,11,92,42,49,101,100,95,497,3,25,17,58,44,20,8,3,0,188,0,3,22,38,21,9,0,0,0,98,0,0,0,10,20,12,11,0,0,56,4,8,10,72,63,49,53,19,8,285,0,0,0,0,4,7,19,9,3,32,0,0,0,20,7,15,10,5,3,64,0,0,0,3,5,7,0,0,0,18,0,0,6,24,3,3,0,0,0,36,7,17,17,38,30,22,32,19,7,188,5,43,60,347,239,222,116,51,22,1107,0,0,0,13,20,10,3,3,0,49
SED21203,0,0,3,24,17,8,29,24,11,123,0,9,22,31,27,93,163,205,101,646,0,0,3,35,7,4,0,0,0,45,32,155,263,1341,175,98,57,30,10,2152,0,11,13,97,24,20,9,0,0,174,4,29,32,205,36,31,13,3,0,347,5,307,376,1273,790,560,311,144,50,3808,0,3,4,12,5,7,4,10,10,52,0,4,13,50,46,233,467,658,401,1873,0,0,3,16,12,4,0,0,0,41,0,0,4,22,7,4,0,0,0,40,19,111,135,1135,685,533,320,96,26,3059,4,14,14,94,22,11,16,3,0,183,0,0,0,7,8,39,149,154,74,428,0,0,5,8,5,12,10,3,3,41,0,5,3,17,11,7,7,3,3,62,7,39,445,1181,37,19,7,0,0,1736,0,0,3,3,0,5,20,8,3,52,6,88,158,305,73,69,24,12,6,739,0,0,9,18,18,22,21,11,6,100
SED21303,0,6,23,195,66,24,27,22,9,373,0,4,6,46,60,140,326,683,272,1539,0,0,30,124,26,18,6,3,0,206,8,23,87,670,49,48,26,10,5,922,8,26,52,196,25,9,13,7,0,330,0,0,0,155,13,16,5,0,0,193,0,0,0,29,11,13,17,5,0,75,0,7,12,217,49,23,8,10,6,335,0,5,25,247,70,261,524,693,573,2390,0,3,21,157,39,12,9,4,0,242,0,11,12,123,11,5,3,0,0,166,0,0,11,83,116,201,203,91,22,725,0,12,80,398,78,60,58,17,6,706,0,0,0,6,8,27,32,47,22,136,0,0,6,38,5,13,3,9,0,69,0,0,3,8,0,7,3,0,0,20,0,3,191,310,12,0,0,0,0,515,4,0,13,70,16,18,12,9,0,138,8,13,117,1252,245,100,67,22,0,1828,0,0,0,17,9,8,11,8,4,58
SED21401,0,6,5,23,17,19,48,80,25,222,0,25,44,47,83,258,541,827,340,2159,13,110,116,528,275,349,306,88,16,1802,3,56,105,622,177,128,127,65,14,1305,0,5,22,158,52,35,37,32,3,346,15,117,153,832,302,197,89,40,14,1765,0,0,0,31,16,16,12,0,0,77,0,0,8,20,12,9,11,5,10,78,0,12,9,53,45,164,578,705,453,2028,3,6,12,40,21,5,20,3,0,114,0,35,55,211,117,63,39,7,5,528,0,0,5,32,45,101,91,34,14,317,6,87,246,895,346,381,400,172,29,2555,0,0,0,0,5,8,31,46,12,100,0,0,0,21,12,8,14,3,4,58,0,0,0,8,0,3,5,0,0,20,0,0,11,27,4,0,0,0,0,39,0,4,7,8,20,10,22,33,17,117,13,39,75,184,88,86,54,41,13,598,0,0,0,14,23,41,45,42,21,185
SED21503,4,0,6,36,25,20,43,35,20,180,0,13,27,30,51,149,270,270,102,913,0,9,36,112,32,31,43,3,4,279,10,71,338,1145,172,143,72,27,16,1983,0,10,25,81,33,16,18,17,3,197,4,27,36,324,65,15,16,4,0,484,0,3,7,43,33,21,6,5,0,125,0,11,15,69,32,16,23,11,17,186,0,5,4,65,51,164,382,304,168,1141,0,3,6,30,24,8,0,0,0,72,0,6,13,67,31,9,4,0,0,132,0,3,0,58,52,54,46,21,0,250,6,26,80,339,78,94,113,25,6,766,0,0,0,3,6,14,45,45,21,131,0,0,5,35,3,15,17,5,6,89,0,0,0,10,0,4,4,0,0,21,0,0,10,90,6,3,0,0,0,112,0,0,5,16,3,8,25,12,16,84,4,39,72,192,114,88,40,15,6,579,4,0,4,74,108,184,201,88,34,691
SED21608,0,0,0,22,24,35,110,52,9,259,0,0,0,3,0,7,13,10,0,32,0,0,0,7,3,0,4,0,0,18,14,47,144,622,32,29,27,7,4,908,0,0,10,21,8,0,6,0,0,47,0,0,7,17,9,0,5,0,0,35,0,0,0,6,6,0,0,0,0,8,0,0,11,25,22,15,22,12,5,124,0,4,0,16,14,26,45,18,9,130,0,7,5,14,6,10,0,0,0,36,0,0,6,17,0,4,0,0,0,27,0,0,0,6,3,3,0,0,0,12,0,3,10,36,15,21,6,5,0,98,0,0,3,0,5,33,55,17,0,120,0,0,0,10,0,3,0,0,0,18,0,0,0,5,0,0,0,0,0,10,0,0,28,70,0,0,0,0,0,95,0,0,10,10,22,32,113,116,28,333,5,32,43,197,139,142,98,22,11,681,0,0,0,4,4,4,0,3,0,18
SED21706,0,6,10,26,48,23,51,41,25,234,0,3,9,31,31,91,165,303,128,764,7,84,73,286,104,109,80,19,6,768,12,80,393,1332,236,159,115,72,23,2421,0,17,60,230,75,41,58,15,5,496,0,14,22,171,44,21,25,9,3,314,0,3,6,14,8,0,0,0,0,39,0,0,9,54,22,27,14,16,14,156,0,0,9,42,24,51,85,121,102,433,0,7,20,53,36,21,14,13,0,163,3,19,46,210,100,44,15,0,3,433,0,5,3,10,12,10,12,3,0,56,3,46,152,599,267,247,192,86,20,1616,0,0,0,4,0,6,11,14,5,42,0,0,12,37,16,23,24,10,8,128,0,0,21,16,4,8,6,0,4,57,0,0,34,47,5,3,0,0,0,95,0,9,15,14,16,3,25,26,15,117,6,58,95,225,192,141,90,35,19,857,0,0,0,5,8,8,10,0,3,30
SED21805,0,0,6,62,40,53,100,76,23,360,0,4,9,24,37,63,66,44,18,270,0,6,9,34,18,17,23,4,0,98,6,49,71,596,161,152,105,45,19,1196,0,4,10,38,24,19,7,0,0,104,0,0,3,45,9,0,0,0,0,71,0,0,3,10,11,4,0,0,0,28,0,7,10,120,35,50,33,29,16,288,0,3,8,33,32,69,90,76,30,338,0,0,0,17,20,3,6,0,0,43,0,0,5,36,7,5,5,0,0,62,0,5,0,28,18,16,16,4,0,89,0,4,14,63,42,38,38,7,5,218,0,0,0,0,4,12,35,20,6,83,0,0,9,80,28,59,61,18,5,268,0,0,0,12,4,12,0,3,0,32,0,5,4,22,3,4,0,0,0,37,0,3,0,19,15,30,75,68,89,296,6,90,144,599,323,286,148,63,6,1661,0,0,0,8,11,7,10,3,5,41
SED21906,0,3,11,96,41,37,181,69,60,492,0,0,3,20,14,60,104,219,104,527,7,20,23,91,29,25,24,3,0,224,35,153,258,1585,114,65,66,41,11,2336,0,3,21,123,25,11,18,6,0,206,0,0,0,61,5,10,4,0,0,89,0,0,0,4,3,0,9,4,5,24,4,3,30,454,40,38,16,10,3,597,0,3,15,132,23,35,66,57,48,387,6,32,15,170,65,24,12,3,0,335,0,5,13,91,18,5,8,0,0,134,0,0,0,9,5,13,11,8,0,42,0,6,51,214,65,56,47,20,4,464,0,0,0,0,9,0,10,3,3,27,0,0,10,60,5,9,3,7,0,99,0,0,0,5,3,3,3,0,5,22,0,0,119,180,0,0,0,0,0,305,0,7,7,36,9,8,19,18,4,99,3,30,83,524,180,168,117,40,16,1160,0,0,3,9,9,6,0,0,0,23
SED22005,0,4,3,40,27,21,33,47,27,198,0,44,98,198,178,326,618,974,383,2815,9,14,49,217,38,60,37,7,4,434,61,280,1223,4321,543,396,235,150,60,7272,3,16,51,295,91,32,21,3,3,527,0,3,13,85,12,9,3,3,0,131,0,4,7,29,17,10,11,3,0,71,0,17,5,65,26,10,27,11,9,164,0,7,15,56,32,69,258,351,216,1007,6,25,25,102,60,18,9,0,0,248,3,29,39,357,76,36,17,9,0,567,0,0,3,29,26,47,44,30,11,185,11,60,228,880,128,124,112,34,8,1584,0,0,0,3,0,9,22,47,14,98,0,0,21,105,47,83,74,69,29,424,0,9,29,243,69,42,17,12,3,430,0,4,155,241,16,9,0,0,0,422,0,0,8,7,8,9,23,21,12,92,5,47,103,286,116,115,56,21,5,754,0,0,0,3,8,7,18,7,4,44
SED22105,0,0,12,55,29,36,63,64,19,281,0,6,14,39,36,55,45,39,11,250,0,3,9,76,19,14,5,0,0,135,67,942,1522,9977,1765,802,480,143,38,15738,0,10,26,124,58,14,12,4,4,251,0,62,140,192,18,10,4,0,0,427,0,14,24,62,27,32,7,4,4,177,3,54,3,51,16,24,28,20,6,219,0,11,6,41,18,67,95,83,45,371,6,5,9,45,15,3,0,0,0,78,0,4,13,75,47,3,0,0,0,141,0,3,10,51,41,37,13,0,0,161,0,38,72,232,96,73,43,11,0,570,0,0,0,8,4,22,34,31,3,97,0,16,90,424,173,181,154,44,25,1107,0,0,0,45,24,10,9,4,0,97,3,16,58,313,41,16,3,0,0,452,0,3,0,20,17,33,102,96,39,321,63,488,659,1250,418,292,132,55,12,3384,0,0,5,50,28,34,27,4,0,151
SED22201,0,0,11,27,29,39,73,107,33,318,0,0,0,6,4,21,29,16,8,80,4,15,14,104,39,48,31,0,4,259,5,98,74,659,147,67,59,30,5,1138,0,6,7,60,26,7,19,5,4,138,0,20,23,221,39,36,8,3,8,358,0,0,0,0,8,4,0,0,0,17,0,0,4,34,22,17,36,23,9,152,0,4,3,26,15,42,77,66,42,273,0,3,6,18,8,0,7,0,0,51,0,10,17,63,28,8,3,3,0,132,0,0,5,13,9,7,13,4,4,53,19,134,44,159,77,62,49,16,7,564,0,0,4,0,8,4,17,23,8,62,0,5,3,26,11,11,14,0,0,69,8,80,287,758,184,61,34,8,0,1419,0,0,12,43,3,0,0,0,0,62,0,5,0,16,11,30,107,130,47,350,8,32,36,204,139,141,75,35,10,677,0,0,0,0,0,3,8,3,0,23
SED22305,0,0,21,40,23,17,53,72,25,251,0,15,23,45,51,88,184,216,73,705,0,0,3,69,18,22,21,0,0,140,49,278,874,3207,599,328,227,103,51,5704,8,24,21,134,49,38,33,10,3,319,6,114,189,336,60,33,14,0,0,751,0,19,19,92,51,40,20,10,0,246,0,8,0,25,5,14,24,13,3,95,0,5,6,38,16,84,216,279,135,776,0,8,7,18,3,4,0,0,0,43,0,5,22,81,50,26,5,0,0,195,4,6,21,96,86,101,101,52,7,470,9,68,86,411,99,84,66,17,9,848,0,0,0,4,0,5,30,17,14,82,0,0,24,117,42,111,145,102,45,594,0,0,16,110,49,28,9,4,0,216,0,0,34,69,6,0,0,0,0,105,0,0,8,8,11,10,64,90,56,247,11,138,195,410,135,117,67,21,4,1095,0,0,15,232,211,208,141,91,24,929
