SED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED70008,88,12,138,1516,2071,807,533,2069,657,7653
SED70009,4,7,30,1261,1650,921,867,1747,1222,7670
SED70010,22,4,44,1175,1656,596,455,1713,984,6570
SED70011,41,40,111,1646,2027,696,358,1470,552,6748
SED70012,19,3,36,1657,1969,627,357,1569,627,6817
SED70013,17,9,42,1423,2182,986,658,1385,988,7633
SED70014,12,0,23,1769,1639,608,147,1118,764,6047
SED70015,24,8,56,1373,1874,731,510,1853,618,6962
SED70016,25,3,45,1235,1515,707,451,1939,703,6550
SED70017,23,6,43,1372,1661,661,420,1439,1156,6707
SED70018,8,0,15,1605,1923,786,537,1364,856,7067
SED70019,56,23,91,1929,1710,608,438,2082,1387,8163
SED70020,27,6,50,1535,2054,847,640,1528,1757,8364
SED70021,22,9,55,1590,2195,741,428,1740,546,7245
SED70022,22,6,35,2302,2412,678,338,2917,1299,9945
SED70023,21,6,54,1282,1731,725,517,1630,553,6436
SED70024,13,4,21,1658,2554,865,618,2068,603,8375
SED70025,26,8,53,1449,2234,901,580,1778,611,7562
SED79494,4,0,7,480,399,152,120,687,1217,3052
SED79797,0,0,0,9,14,6,4,47,25,94
SED80001,489,180,1202,14976,22086,8976,5137,13372,2454,67000
SED80002,642,117,1511,17444,25415,9982,5363,16430,3210,77845
SED80003,708,242,1696,20158,26830,8401,3481,13041,5746,77651
SED80004,925,175,2236,15970,24393,10223,5282,13171,3053,72089
SED80005,224,30,535,16953,24082,9396,5330,17653,2998,76406
SED89494,0,0,4,123,123,39,17,138,126,560
SED89797,0,0,0,0,0,0,0,0,0,0
SED99191,25,4,62,624,958,436,320,810,806,3953
SED99494,0,0,0,6,3,0,0,0,8,11
SED99797,0,0,0,0,0,0,0,0,0,0
