SED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED10067,391,29,63,3,4,480,83,10,16,0,0,102,63,13,13,0,0,94,92,15,24,0,0,134,127,18,31,0,0,179,359,43,96,4,0,500,316,41,128,3,0,494,666,86,271,5,0,1023,582,68,226,0,0,875,1273,108,289,4,4,1671,2765,165,167,7,3,3113,556,59,74,0,0,690,7274,649,1400,31,14,9364
SED10068,384,43,20,0,5,450,170,31,6,0,0,204,135,22,14,0,0,173,249,41,15,0,0,310,375,30,21,3,0,428,908,105,71,0,0,1087,1270,129,59,0,0,1466,1874,88,40,4,0,2008,847,18,17,3,0,882,571,20,7,0,0,600,306,10,11,0,0,323,346,25,13,0,0,384,7429,565,291,13,9,8314
SED10069,404,30,4,6,0,449,162,17,3,0,0,190,129,28,5,0,0,162,293,28,13,0,0,328,352,49,5,0,0,405,1175,129,21,3,0,1320,1406,106,18,0,0,1535,1798,133,20,3,0,1953,873,28,6,3,0,911,649,21,5,0,0,672,322,14,3,3,0,341,487,38,5,0,0,533,8052,608,110,19,11,8796
SED10070,351,51,28,0,0,429,85,17,5,0,0,98,75,14,6,0,0,99,135,26,6,0,0,169,193,36,25,0,0,262,564,125,62,0,0,756,724,230,149,0,0,1103,1355,482,309,0,0,2151,1156,317,103,0,0,1579,1331,170,47,0,4,1548,718,90,21,0,6,832,568,123,52,0,0,739,7255,1689,818,3,5,9770
SED10071,579,60,10,0,0,644,131,4,6,0,0,142,100,15,7,0,0,121,164,20,3,0,0,191,259,30,4,0,0,293,767,97,33,0,3,900,1011,172,125,0,0,1312,2602,490,314,0,10,3413,3393,432,89,3,34,3942,4408,304,30,9,13,4764,2201,123,28,0,0,2361,1160,100,32,0,4,1295,16764,1852,688,14,70,19384
SED10072,258,66,162,0,0,486,55,19,32,0,0,111,44,12,45,0,0,101,73,23,81,0,0,168,92,38,105,0,0,236,298,78,329,0,0,709,262,97,508,0,0,872,546,170,1317,8,0,2035,423,156,909,0,0,1486,784,288,528,0,0,1606,1235,246,256,0,0,1735,415,87,261,4,0,767,4487,1269,4532,21,12,10318
SED10073,375,106,174,0,0,657,60,21,39,0,0,119,62,11,27,0,0,97,89,24,64,0,0,178,114,34,85,0,0,230,296,91,284,0,0,677,261,119,411,0,0,794,607,283,1047,4,0,1947,434,255,689,0,0,1376,814,334,535,4,0,1684,1616,309,270,0,0,2193,433,97,228,0,0,754,5160,1674,3857,13,4,10704
SED10074,399,38,37,0,0,475,94,22,8,0,0,130,92,14,17,0,0,125,146,21,11,0,0,177,188,23,30,0,0,234,612,106,93,0,0,812,777,138,237,0,4,1155,1411,306,393,3,5,2118,1276,245,156,0,0,1685,1665,178,61,0,0,1900,1035,80,48,0,0,1160,499,76,62,0,0,638,8193,1245,1150,0,8,10603
SED10075,407,46,11,0,0,458,159,21,8,0,0,181,123,18,6,0,0,150,244,37,3,0,0,285,366,45,14,0,0,426,1076,117,38,4,0,1237,1461,174,40,0,0,1685,2603,284,35,0,4,2926,1594,113,18,0,0,1724,1195,55,9,0,0,1262,591,23,5,0,0,623,555,42,15,0,0,610,10386,975,196,12,7,11571
SED10076,460,24,11,0,0,490,209,3,0,0,0,213,157,22,0,5,0,175,295,11,5,3,0,321,450,13,7,0,0,468,1197,32,9,0,0,1242,1316,35,5,0,0,1357,1647,31,14,0,0,1693,721,9,0,3,7,735,472,3,0,3,0,477,291,0,0,0,5,298,471,18,0,4,0,486,7674,189,63,17,11,7953
SED10077,306,66,159,0,0,534,45,16,35,0,0,92,46,15,32,0,0,85,52,16,65,0,0,131,87,30,81,0,0,195,220,67,319,0,0,615,207,75,478,0,0,766,416,176,1382,3,0,1990,296,142,761,5,4,1208,602,253,479,0,0,1344,1367,218,227,3,0,1818,372,88,249,4,0,709,4019,1169,4267,25,7,9485
SED10078,206,66,136,4,0,411,52,16,36,0,0,104,44,17,32,0,0,92,43,27,75,0,0,144,68,28,96,0,0,196,194,77,294,3,0,578,212,92,423,8,0,734,387,183,895,9,4,1471,289,160,700,10,0,1145,541,325,581,7,0,1450,1220,447,293,6,0,1963,199,69,157,3,0,435,3461,1490,3719,55,6,8732
SED10079,441,25,5,3,0,471,172,8,3,0,0,187,155,12,15,0,0,173,275,15,5,0,0,296,354,12,14,0,0,379,1101,28,28,3,0,1166,1580,59,37,4,0,1680,2269,64,22,0,0,2354,1160,17,11,0,0,1188,764,7,7,0,0,786,428,4,3,0,0,443,572,13,8,4,3,602,9284,254,153,15,6,9709
SED10080,16,112,339,5,0,472,0,16,45,0,0,56,0,17,50,0,0,64,3,15,89,0,0,110,0,27,116,0,0,146,4,73,367,0,0,447,6,71,388,0,0,465,19,154,764,6,5,943,9,112,595,0,0,720,16,260,879,0,6,1160,132,901,1234,10,4,2291,13,114,321,0,0,449,221,1878,5182,23,16,7326
SED10081,374,12,0,0,0,391,198,0,0,0,0,200,204,4,0,0,0,212,441,15,0,0,0,453,719,13,4,0,0,735,1974,39,8,3,0,2026,1843,31,3,0,3,1877,1621,8,0,0,0,1635,613,5,0,0,0,616,401,4,0,0,0,412,280,0,4,0,3,287,500,9,3,0,0,512,9166,144,23,13,15,9362
SED10082,427,23,29,5,0,482,152,8,9,0,0,163,114,17,6,0,0,137,210,16,10,0,0,241,282,29,11,0,0,327,804,27,45,3,0,881,987,52,51,0,0,1093,1906,81,73,0,0,2060,1527,51,33,0,4,1614,1550,31,42,0,0,1617,1190,22,34,0,4,1250,590,26,23,0,0,635,9725,383,365,10,5,10490
SED10083,397,29,25,0,0,450,130,28,7,0,0,167,144,22,3,0,0,169,221,34,13,0,0,270,340,42,24,3,0,405,972,117,47,0,0,1140,1334,156,59,0,0,1544,2372,175,51,0,0,2604,1444,57,20,0,0,1516,939,47,8,0,0,991,477,14,0,0,0,504,523,50,7,0,0,587,9282,766,263,15,3,10335
SED10084,385,89,46,0,0,512,136,46,14,0,0,195,91,33,13,0,0,137,201,64,22,0,0,290,271,77,56,9,0,409,744,247,146,5,0,1145,926,334,120,0,0,1386,1784,307,102,7,9,2199,1066,105,32,0,0,1198,812,60,34,0,0,914,498,18,29,0,0,546,439,105,45,3,0,595,7350,1487,657,20,9,9522
SED10085,400,10,0,0,3,413,167,0,3,0,0,175,183,3,0,0,0,188,354,8,0,0,0,362,522,21,5,4,0,553,1641,39,11,3,0,1695,1841,34,4,5,0,1887,1938,22,4,0,0,1974,905,6,0,0,0,913,742,7,0,0,0,754,423,0,0,0,0,422,566,14,6,0,0,584,9678,176,40,15,10,9923
SED10086,226,81,252,4,0,556,14,19,33,0,0,65,8,13,32,0,0,58,6,9,47,0,0,64,32,16,56,0,0,102,63,48,196,0,0,310,42,49,237,0,0,330,116,86,438,6,0,641,64,69,467,5,0,608,172,158,754,6,0,1083,1395,711,1114,16,4,3236,267,111,267,4,0,656,2405,1369,3893,43,10,7712
SED10087,370,10,9,0,4,397,197,7,3,0,0,205,187,5,6,0,0,196,414,5,16,0,0,437,661,15,28,3,0,704,2241,29,37,5,3,2316,2064,21,19,0,0,2102,1787,5,8,0,5,1805,558,3,3,0,0,562,460,4,0,0,0,468,325,4,0,0,8,335,540,3,3,0,0,549,9809,119,125,13,12,10076
SED10088,357,22,79,0,0,463,91,8,23,0,0,118,66,5,38,0,0,106,88,7,50,0,0,151,142,7,75,0,0,222,365,19,192,0,0,575,392,25,254,5,0,667,752,51,515,0,3,1326,706,52,457,0,0,1218,1445,110,458,0,0,2007,2916,108,251,3,5,3280,480,27,146,0,0,656,7799,446,2534,6,7,10793
SED10089,418,35,4,0,0,464,158,14,5,0,0,180,130,13,5,0,0,150,258,23,7,0,0,289,399,24,15,0,0,438,1218,111,48,0,0,1379,1829,202,29,0,0,2060,2786,152,20,6,0,2956,1279,44,3,4,0,1331,758,27,5,0,0,793,433,4,4,0,0,450,510,39,0,7,0,559,10182,702,150,6,4,11049
SED10090,347,78,163,0,0,591,36,6,24,0,0,63,41,6,11,0,0,64,55,8,38,0,0,104,69,12,68,0,0,154,204,57,181,0,0,438,175,48,192,0,0,411,367,104,458,0,0,933,250,103,394,0,0,750,551,193,556,0,4,1303,2435,531,521,0,0,3484,321,61,188,0,0,565,4854,1204,2787,3,6,8862
SED10091,430,12,6,0,0,450,157,5,0,0,0,161,125,4,0,0,0,129,219,12,0,0,0,231,291,4,0,0,0,305,956,26,13,0,3,998,1286,36,10,0,0,1329,2578,28,8,0,5,2618,1987,17,8,0,4,2019,1773,9,8,3,0,1786,1263,0,5,5,0,1268,737,8,3,0,0,754,11799,160,59,13,16,12044
SED10092,265,26,74,0,0,372,121,4,35,0,0,159,79,11,23,4,0,120,164,18,41,0,0,222,227,30,66,4,0,316,666,66,240,5,0,978,849,101,309,4,0,1269,1422,175,399,18,0,2015,894,85,158,10,0,1142,733,48,119,3,0,901,401,27,83,0,3,511,347,36,85,0,0,465,6159,631,1623,47,10,8463
SED10093,354,18,9,0,0,382,137,12,7,0,0,156,128,11,5,0,0,146,248,15,7,0,0,266,377,17,11,0,0,408,1105,55,50,0,0,1208,1748,96,31,0,0,1880,2693,50,29,0,3,2774,1355,16,7,0,0,1372,739,10,6,0,4,755,389,3,3,0,4,399,562,22,13,0,0,594,9838,319,179,5,7,10355
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,53,164,233,0,0,455,3,29,56,0,0,95,3,25,44,0,0,70,3,36,97,0,0,142,10,58,157,3,0,226,21,130,632,13,0,797,20,117,981,16,7,1146,48,282,1389,24,0,1742,37,196,618,9,5,861,86,393,553,13,0,1046,298,997,465,12,0,1773,53,177,318,5,0,557,635,2615,5539,93,15,8900
SED20207,587,51,11,0,0,649,146,34,8,0,0,193,139,22,5,0,0,168,272,21,5,0,0,298,340,51,9,0,0,394,1196,172,58,0,0,1428,1803,300,95,0,0,2188,3822,439,48,0,0,4313,2052,208,17,0,0,2273,1451,162,6,0,0,1615,822,88,5,0,0,914,897,89,14,0,0,1002,13524,1641,277,0,0,15449
SED20302,515,25,3,0,0,542,252,19,0,0,0,269,229,16,3,0,0,245,401,24,0,0,0,431,592,26,4,0,0,618,2030,102,11,0,6,2151,3184,112,15,0,0,3324,5297,108,14,0,9,5429,2219,30,0,0,0,2258,1148,16,3,0,3,1167,618,12,0,0,0,633,1033,44,0,0,0,1073,17509,529,65,5,17,18128
SED20401,385,76,11,0,0,469,141,17,0,0,0,162,133,22,4,0,0,159,216,48,8,0,0,267,296,65,16,0,0,379,908,197,60,0,0,1157,1198,352,84,0,0,1634,1999,478,54,0,0,2538,1234,177,17,0,0,1431,782,100,3,0,3,881,364,50,0,0,0,413,438,73,9,0,0,528,8102,1654,271,0,7,10030
SED20508,407,17,3,0,0,433,217,11,0,0,0,232,141,5,0,0,0,147,334,15,0,0,0,349,370,10,0,0,0,381,1264,51,5,0,0,1321,1647,41,3,5,0,1696,2135,33,0,0,5,2178,902,17,0,0,0,917,703,12,0,0,0,714,487,10,0,0,0,496,517,20,0,0,0,535,9136,247,14,9,3,9408
SED20604,393,10,0,3,0,410,230,5,0,0,0,236,198,3,3,0,0,206,424,27,0,0,0,451,711,40,10,0,0,763,2035,48,8,3,0,2089,1995,18,0,3,4,2021,1522,5,5,3,3,1534,478,4,0,4,5,489,397,0,0,0,0,398,226,0,0,0,0,229,464,11,0,4,0,479,9069,169,30,21,19,9311
SED20704,410,11,0,0,0,427,258,5,0,0,0,263,209,0,0,0,0,218,443,18,0,0,0,461,665,32,5,0,0,698,2171,65,4,0,4,2249,2284,38,7,3,8,2336,1718,28,0,0,0,1755,531,7,0,0,0,540,390,8,0,0,0,402,246,0,0,0,0,250,519,12,0,0,0,533,9837,224,17,11,16,10107
SED20804,416,8,0,0,0,424,255,14,3,0,0,268,214,7,0,0,0,231,432,15,4,0,0,452,655,29,0,0,0,683,1992,46,8,0,3,2053,1786,31,4,0,0,1819,1220,15,0,0,0,1237,420,3,0,0,0,428,279,3,0,0,0,286,163,5,0,0,4,171,460,7,0,0,0,469,8298,170,26,10,11,8515
SED20906,367,84,42,0,0,491,88,16,18,0,0,126,84,17,14,0,0,114,118,11,16,0,0,149,152,40,21,0,0,214,403,106,136,5,0,642,405,116,239,0,0,759,791,263,370,7,0,1430,662,206,158,0,4,1030,1208,337,133,4,0,1677,1342,331,82,0,3,1766,411,103,74,0,0,586,6024,1627,1304,16,9,8980
SED21001,426,123,38,0,0,595,79,34,12,0,0,126,75,17,7,0,0,99,96,51,16,0,0,165,124,43,34,0,0,202,343,157,176,0,0,678,350,168,228,0,0,748,646,329,214,0,0,1191,506,243,63,0,0,816,924,293,51,0,0,1267,1406,229,34,0,0,1675,376,94,59,0,0,529,5354,1777,942,8,3,8083
SED21106,303,80,63,0,0,441,53,19,25,0,0,102,50,12,25,0,0,90,41,18,22,0,0,88,80,29,39,0,0,150,188,85,166,3,0,443,147,55,237,0,0,441,365,159,365,5,0,889,260,129,226,0,0,623,545,238,200,3,0,987,1943,445,136,3,0,2530,373,88,103,4,0,569,4352,1366,1609,20,0,7340
SED21203,396,38,14,0,0,448,169,23,7,0,0,207,122,17,3,0,0,134,219,33,12,0,0,263,298,65,15,0,0,370,1005,221,48,0,0,1278,1257,270,63,0,4,1601,1293,249,29,0,0,1571,424,63,6,0,0,498,322,30,0,0,0,352,199,21,4,0,0,220,520,77,11,0,0,609,6223,1113,204,0,6,7551
SED21303,241,103,76,0,0,421,59,32,23,0,0,112,49,22,32,0,0,102,84,39,54,0,0,173,115,63,105,0,0,285,263,163,446,0,0,868,320,191,654,3,0,1168,548,422,724,13,0,1700,488,303,209,9,0,1014,785,379,148,3,5,1319,758,275,85,0,0,1117,241,110,94,4,0,450,3945,2102,2648,34,4,8737
SED21401,393,85,45,0,0,521,73,20,10,0,0,95,64,11,11,0,0,84,103,23,24,0,0,144,127,33,23,0,0,181,346,94,121,0,0,564,347,139,176,0,0,658,730,250,224,0,0,1204,516,222,76,0,0,816,936,283,55,0,3,1271,1204,212,25,0,0,1439,420,93,45,0,0,561,5243,1469,832,0,4,7546
SED21503,378,49,18,0,0,439,127,14,0,0,0,137,105,7,0,0,0,121,176,26,7,0,0,209,216,36,10,0,0,269,636,112,73,0,0,822,820,177,73,0,0,1075,1362,275,45,0,0,1684,957,102,15,0,0,1074,809,74,11,0,0,887,467,25,7,0,0,504,463,56,16,0,0,523,6514,963,266,0,0,7745
SED21608,364,11,0,3,0,382,250,17,0,0,0,272,216,18,0,0,0,233,459,44,0,0,0,506,651,55,9,0,0,721,1881,122,10,3,0,2021,2061,57,0,4,3,2117,1899,36,4,3,6,1937,627,4,0,0,0,632,442,4,0,3,0,452,232,4,0,0,0,232,533,18,0,0,0,546,9612,389,26,15,9,10053
SED21706,432,84,23,0,0,539,109,21,10,0,0,144,54,9,10,0,0,77,101,20,9,0,0,131,108,37,15,0,0,156,331,108,99,0,0,540,337,121,130,0,0,588,668,268,177,3,0,1123,540,256,88,0,0,876,966,303,84,0,0,1355,1745,249,51,0,0,2039,406,93,44,0,0,542,5786,1578,746,6,8,8120
SED21805,354,83,19,0,0,459,135,33,5,0,0,175,137,49,10,0,0,196,280,64,6,0,0,347,360,91,10,0,0,460,1188,307,37,0,0,1539,1516,418,68,0,0,2014,2386,513,75,0,0,2969,1187,232,32,0,0,1454,792,158,21,4,0,979,445,94,4,0,0,541,604,128,13,0,0,751,9395,2166,309,9,4,11887
SED21906,263,119,77,5,0,457,57,29,29,0,0,116,35,32,31,0,0,100,54,36,38,0,0,130,54,35,63,0,0,153,184,134,280,5,0,614,164,171,473,11,0,817,363,287,632,3,0,1284,254,290,254,5,0,801,474,415,176,0,0,1069,1272,410,103,0,0,1781,331,163,109,5,0,619,3501,2124,2272,28,0,7935
SED22005,366,72,20,0,0,457,89,24,5,0,0,121,80,24,4,0,0,107,158,47,9,0,0,221,182,48,20,0,0,247,480,149,113,3,0,741,538,244,145,0,0,928,1051,454,128,0,0,1630,746,271,45,0,0,1065,889,181,25,0,0,1097,529,80,19,0,0,620,393,120,30,0,0,539,5494,1720,554,3,0,7773
SED22105,544,39,4,0,0,585,211,25,0,0,0,234,177,24,6,0,0,212,349,32,3,0,0,382,529,55,8,0,0,590,1985,220,28,0,0,2240,3751,400,13,0,4,4166,6850,362,3,0,4,7221,2657,92,0,0,0,2748,1273,41,0,0,0,1313,666,24,0,0,0,697,1205,70,4,0,0,1277,20190,1388,72,0,13,21655
SED22201,413,34,6,0,0,455,158,8,3,0,0,173,136,14,0,0,0,146,221,18,8,0,0,241,299,27,10,0,0,334,908,93,58,0,0,1061,1149,150,74,0,3,1369,2087,209,28,0,4,2328,1365,106,9,0,0,1484,993,40,4,0,0,1035,482,10,8,0,0,504,465,32,3,0,0,502,8675,740,214,0,9,9638
SED22305,337,44,17,0,0,395,119,29,6,0,0,161,126,24,8,0,0,159,213,52,25,0,0,293,241,66,61,0,0,375,768,310,145,0,0,1226,992,387,82,3,0,1462,1429,285,45,0,0,1757,547,63,16,0,0,623,353,58,8,0,0,414,184,34,14,0,0,230,462,95,39,0,0,591,5760,1456,460,8,3,7687
SED22404,420,4,3,0,7,436,208,5,0,0,0,216,220,3,0,0,0,224,356,5,0,3,5,370,515,11,0,0,0,532,1462,28,3,4,0,1506,1577,23,3,0,0,1609,1954,16,0,0,0,1968,813,3,0,0,0,818,648,5,0,0,0,656,437,5,0,0,4,444,609,6,3,0,0,624,9230,116,22,19,11,9399
SED22501,425,16,13,0,0,455,132,10,3,0,0,147,122,11,5,0,0,135,195,11,4,0,0,212,253,20,7,0,0,271,720,71,27,0,0,828,860,102,50,0,0,1016,1567,154,56,0,0,1774,1356,83,32,0,0,1473,1463,41,11,0,0,1517,858,21,7,0,0,880,505,34,10,0,0,552,8463,579,219,0,3,9257
SED22607,291,71,57,0,0,421,70,15,29,0,0,106,51,15,29,0,0,101,84,39,36,0,0,160,117,48,92,0,0,254,306,170,377,0,0,854,319,166,484,3,0,975,572,288,519,6,0,1386,491,220,163,0,0,877,889,326,114,0,0,1334,1231,223,61,0,0,1516,363,114,90,0,0,565,4782,1695,2056,15,0,8552
SED22704,432,12,0,0,3,446,288,14,0,0,0,304,268,6,0,0,0,284,540,20,0,4,0,568,734,12,0,6,0,753,1804,26,0,6,0,1835,1667,20,4,4,6,1691,1393,3,0,5,0,1406,519,10,0,0,0,524,380,0,0,0,0,382,258,0,0,0,0,263,557,4,0,0,0,558,8845,132,12,21,10,9015
SED22802,425,11,0,0,0,435,165,15,0,0,0,178,141,9,0,0,0,147,254,13,0,0,0,262,334,22,0,0,0,357,990,54,0,0,5,1048,1414,97,4,0,0,1513,2503,92,0,0,3,2607,1615,24,0,0,0,1649,1012,6,0,0,0,1018,477,4,0,0,0,485,635,16,0,0,0,649,9971,364,7,8,7,10354
SED22901,408,36,5,0,0,454,124,17,5,0,0,147,124,17,4,0,0,147,196,19,4,0,0,213,250,27,3,0,0,277,799,96,30,0,0,930,936,146,35,0,0,1122,1596,217,32,4,0,1845,1078,129,4,0,0,1220,955,74,0,0,0,1039,505,37,0,0,0,550,419,45,3,0,0,467,7396,863,136,8,0,8405
SED23007,363,130,43,0,0,533,91,36,13,0,0,136,87,29,18,0,0,137,125,48,47,0,0,224,182,65,104,0,0,350,567,273,439,4,0,1277,616,416,457,0,3,1489,1124,753,406,7,0,2294,687,375,129,3,0,1194,673,260,76,0,0,1015,427,148,46,3,0,627,376,133,88,6,0,593,5316,2667,1862,18,7,9874
SED23101,442,58,7,0,0,508,83,13,0,0,0,93,96,12,0,0,0,113,146,27,10,0,0,169,166,33,11,0,0,204,465,70,57,0,0,588,503,99,66,0,0,670,980,184,53,0,0,1216,775,163,26,0,0,958,1167,124,8,0,0,1292,911,70,3,0,0,979,411,62,11,0,0,477,6136,911,235,0,0,7283
SED23205,345,51,8,0,0,404,168,19,0,0,0,195,122,16,0,0,0,143,251,46,10,0,0,300,303,56,8,0,0,369,901,199,43,0,0,1140,1168,216,34,0,0,1420,1808,159,13,0,0,1984,894,62,3,0,0,957,685,29,5,0,0,721,366,18,3,0,0,387,480,41,4,0,0,523,7484,912,143,0,5,8544
SED23308,366,39,3,0,0,410,177,10,5,0,0,193,145,12,3,0,0,166,280,39,16,3,0,334,335,65,23,0,0,420,1163,148,57,3,3,1369,1332,142,32,0,4,1505,1676,97,49,0,0,1820,698,42,13,0,0,749,600,24,10,0,0,634,406,19,0,0,0,433,399,40,12,5,0,450,7569,670,231,9,8,8494
SED23402,462,23,0,0,0,491,172,13,0,0,0,188,152,10,0,0,0,161,258,14,0,0,0,272,432,21,0,0,0,458,1512,107,0,0,0,1623,2331,133,0,0,3,2464,3804,146,4,0,4,3953,1651,46,0,0,0,1698,1143,30,0,0,0,1174,754,14,0,0,0,771,811,26,0,0,3,843,13481,593,5,7,7,14092
SED23502,384,17,0,0,3,415,267,9,3,4,0,277,248,3,0,0,0,253,493,14,3,0,0,510,745,12,4,0,0,765,1817,21,4,0,9,1842,1407,7,4,4,0,1426,927,10,0,0,0,942,271,0,0,0,0,270,227,0,0,0,0,227,150,4,0,0,0,154,428,6,0,0,0,433,7362,109,25,8,14,7518
SED23602,412,15,0,0,0,426,260,0,0,0,0,265,261,0,4,0,0,264,466,14,5,4,0,487,647,15,7,0,0,666,1609,26,10,0,0,1643,1343,12,0,0,3,1368,1040,12,0,0,0,1056,371,0,0,0,0,371,266,4,0,0,0,274,218,0,0,0,0,222,450,13,3,0,0,464,7336,113,28,18,10,7502
SED23702,498,47,0,0,0,541,202,35,0,0,0,238,153,23,0,0,0,177,317,38,0,0,0,360,469,69,0,0,0,536,1340,214,13,0,0,1572,1854,271,3,0,0,2132,2704,190,6,0,0,2906,1260,35,4,0,0,1300,925,12,3,0,0,941,509,15,3,0,0,522,718,53,0,0,0,769,10947,999,37,5,5,11995
SED23806,295,82,81,0,0,454,40,16,20,0,0,82,35,12,20,0,0,65,45,15,43,0,0,106,56,26,60,0,0,141,166,75,276,0,0,524,130,61,456,0,0,652,283,155,570,0,0,1003,201,136,248,0,0,590,403,200,202,0,0,800,1652,455,126,4,0,2240,314,88,91,0,5,498,3619,1326,2191,5,6,7149
SED23901,392,56,18,0,0,474,123,11,5,0,0,139,71,24,4,0,0,99,125,26,14,0,0,162,166,34,29,0,0,234,458,142,89,0,0,692,528,184,134,0,0,848,939,393,155,4,0,1488,775,243,62,0,0,1079,1038,165,50,0,0,1249,1111,117,24,0,0,1247,381,98,25,0,0,507,6105,1491,612,9,0,8209
SED24006,422,92,32,0,0,546,57,20,6,0,0,84,45,10,8,0,0,66,58,21,15,0,0,92,60,24,23,0,0,114,230,85,50,0,0,364,206,61,94,0,0,360,425,138,187,0,0,751,272,120,96,0,0,490,621,191,78,0,0,895,2147,272,63,0,0,2483,486,77,32,0,0,596,5034,1121,689,7,5,6848
SED24105,519,50,15,0,0,585,122,20,11,0,0,155,116,19,6,0,0,141,184,32,15,0,0,233,278,36,14,0,0,328,782,108,60,0,0,954,969,202,58,0,0,1225,1650,293,52,0,0,1996,1068,152,8,0,0,1231,1075,68,6,0,0,1148,582,43,4,0,0,631,590,68,15,0,0,673,7936,1082,270,3,3,9298
SED24207,637,17,3,0,3,669,209,10,0,0,0,216,194,17,0,0,0,205,303,14,3,0,0,320,432,22,7,0,0,458,1565,108,35,0,0,1707,2352,163,40,0,0,2568,3965,209,10,0,3,4190,1608,50,4,0,0,1666,1049,33,0,0,4,1091,565,26,0,0,0,595,996,49,8,0,0,1046,13865,718,120,0,14,14711
SED24308,346,25,6,0,0,377,175,11,7,0,0,182,175,6,5,0,0,182,300,27,0,0,0,337,476,32,4,0,0,521,1502,100,24,0,0,1629,1670,95,16,0,0,1780,1731,62,14,0,0,1802,564,10,3,0,0,580,359,14,0,0,4,373,200,6,0,0,0,203,494,21,8,0,0,521,7990,409,82,9,4,8493
SED24408,503,8,0,0,0,509,401,4,5,0,0,411,412,0,0,0,0,420,751,6,0,4,0,768,835,4,6,4,0,852,1542,9,4,0,0,1558,782,9,0,0,0,789,548,3,0,0,0,562,183,3,0,0,0,181,154,0,0,0,0,156,114,0,0,0,0,120,394,4,0,0,0,393,6628,45,19,9,3,6717
SED24504,444,5,3,0,0,451,188,3,0,0,0,193,163,4,0,0,0,167,300,6,0,3,0,307,413,11,0,3,0,422,1220,31,0,3,0,1262,1491,40,8,5,0,1548,2245,32,3,12,3,2293,1164,8,0,7,0,1177,1013,11,0,0,0,1020,723,3,0,0,0,729,562,14,0,0,0,580,9924,163,19,41,4,10154
