LGA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA55040,3,0,3,175,224,80,61,317,458,1324
LGA55110,1252,432,2707,13185,19008,9138,7993,20170,5123,74628
LGA55180,105,23,221,1384,2041,979,834,1706,673,7617
LGA55250,0,0,0,214,149,71,56,247,290,1028
LGA55320,1489,368,3336,19748,25312,11255,7570,18002,3734,85614
LGA55390,0,0,0,55,79,25,16,162,160,492
LGA55460,32,6,65,490,630,284,275,526,331,2528
LGA55530,6,4,9,46,73,42,27,76,60,331
LGA55600,25,11,57,342,480,193,158,443,237,1851
LGA55670,9,8,18,77,121,48,48,113,101,506
LGA55740,94,36,211,1834,2148,1003,613,1564,459,7622
LGA55810,0,0,9,47,66,29,43,92,249,531
LGA55880,13,0,16,80,103,36,51,76,40,385
LGA55950,3,4,11,93,112,46,62,88,51,459
LGA56090,294,153,775,6281,9046,4353,3375,6018,3554,32630
LGA56160,0,0,0,15,18,19,7,10,11,72
LGA56230,155,74,409,2452,3734,1947,1779,3603,1282,14791
LGA56300,8,0,30,192,342,208,195,220,181,1330
LGA56370,12,14,41,120,163,66,64,122,110,641
LGA56460,51,55,159,802,1037,460,322,869,459,3953
LGA56580,259,73,650,4377,5467,2626,1693,3089,682,17937
LGA56620,0,0,3,231,336,198,19,111,178,1065
LGA56730,109,37,237,1520,2172,1122,970,2249,1263,9299
LGA56790,36,8,86,406,618,344,404,574,398,2744
LGA56860,0,0,4,46,34,24,29,31,51,217
LGA56930,15,5,41,332,343,176,132,279,64,1326
LGA57000,7,4,11,81,96,37,38,117,167,541
LGA57080,142,23,268,6338,6687,1619,1044,8012,2763,26472
LGA57140,11,7,23,142,196,93,137,236,64,866
LGA57210,30,36,117,764,1119,649,594,814,557,4488
LGA57280,14,7,33,2184,2834,955,799,3017,2017,11803
LGA57350,17,7,39,106,146,92,73,183,207,812
LGA57420,6,0,32,268,452,193,183,391,199,1688
LGA57490,919,388,2083,20833,27961,12048,9987,28055,7364,106248
LGA57630,0,0,0,19,21,10,6,22,38,113
LGA57700,130,26,249,4782,6527,2782,2634,5762,1666,24159
LGA57770,0,5,8,141,202,88,96,197,137,860
LGA57840,560,251,1233,8983,11177,4110,2572,8202,2128,37180
LGA57910,2926,554,5894,42460,52416,20238,13698,48741,10550,188101
LGA57980,172,78,439,3679,4850,1798,925,2456,833,14538
LGA58050,882,244,1767,24506,30995,12448,10435,34087,7283,119743
LGA58190,4,0,6,73,66,21,32,74,46,315
LGA58260,4,0,6,67,121,46,50,100,74,455
LGA58330,19,3,72,585,1042,535,512,832,468,3977
LGA58400,0,0,0,40,68,23,34,73,32,266
LGA58470,0,0,0,25,32,12,15,27,13,129
LGA58510,395,327,1022,7370,9197,2994,1819,7692,2653,31730
LGA58540,0,0,12,130,175,52,62,158,89,670
LGA58570,366,60,667,8181,10071,2986,1782,6345,1931,31291
LGA58610,24,5,47,298,352,187,150,330,169,1479
LGA58680,0,0,9,75,102,54,69,75,89,463
LGA58760,1299,417,2623,34403,42889,17522,13637,45756,8788,162994
LGA58820,27,30,106,574,859,465,488,793,347,3533
LGA58890,6,4,24,133,165,70,74,112,80,636
LGA59030,0,3,6,34,59,30,30,25,25,203
LGA59100,4,6,18,98,127,71,63,111,87,552
LGA59170,6,3,17,159,196,98,105,149,95,803
LGA59250,0,0,0,73,76,19,14,115,153,452
LGA59310,18,0,20,202,254,114,120,263,100,1058
LGA59320,5,0,3,71,75,47,51,71,42,357
LGA59330,3,4,9,67,98,49,33,112,45,409
LGA59340,8,8,25,1103,1531,511,327,1200,1086,5761
LGA59350,0,0,4,25,30,15,11,79,147,313
LGA59360,4,7,21,151,201,103,81,307,216,1055
LGA59370,48,17,108,484,715,425,409,646,284,2964
LGA59499,10,23,30,870,963,339,278,1476,3362,7285
LGA59799,0,0,0,33,21,10,15,214,222,516
LGA60210,84,22,155,810,1475,896,775,1467,477,5892
LGA60410,87,17,176,2753,3733,1649,1310,4346,895,14683
LGA60610,253,32,450,2980,4457,2017,1628,4311,921,16319
LGA60810,357,62,646,3416,5283,2676,2019,4642,1144,19182
LGA61010,15,6,32,315,540,245,255,564,216,2139
LGA61210,92,23,170,1151,1571,901,708,1631,607,6572
LGA61410,829,186,1673,10431,15445,6763,4113,11365,2840,50955
LGA61510,101,21,197,1563,2231,1123,908,2508,664,8993
LGA61610,351,112,717,3947,5629,2692,1925,6295,1236,21720
LGA61810,78,74,217,1034,1439,773,631,1341,503,5718
LGA62010,11,0,20,146,203,140,90,159,55,799
LGA62210,91,17,163,921,1437,806,669,1661,420,5912
LGA62410,73,14,134,735,1178,677,514,1053,358,4516
LGA62610,643,126,1238,8177,11195,4442,3199,12804,2291,42106
LGA62810,659,113,1331,11439,15224,5781,2778,10113,2386,47720
LGA63010,145,81,333,2642,4461,2375,1678,2831,1137,15127
LGA63210,45,10,105,934,1464,822,644,1240,489,5599
LGA63410,22,0,33,239,360,183,126,285,144,1341
LGA63610,354,57,810,7336,10432,4901,2884,6100,1234,32899
LGA63810,194,34,339,1887,2753,1436,1114,2685,623,10491
LGA64010,957,201,1793,11282,15887,6883,4747,15962,3425,58186
LGA64210,261,36,503,3358,4768,2292,1807,4163,901,17293
LGA64610,164,35,311,2057,3092,1538,1156,2905,693,11450
LGA64810,155,34,300,2715,4055,1927,1301,2949,869,13814
LGA65010,52,15,86,991,1474,743,601,1244,470,5520
LGA65210,21,9,58,342,664,301,337,452,231,2329
LGA65410,178,45,364,2057,3106,1719,1354,2857,783,11870
LGA65610,24,17,59,547,850,418,418,971,379,3590
LGA65810,231,92,575,4026,6220,2945,2151,4476,1112,20931
LGA69499,0,0,3,216,217,80,47,353,324,1248
LGA69799,0,0,0,0,0,0,0,13,8,19
LGA70200,95,30,176,4542,5572,2018,1316,5368,1689,20512
LGA70420,10,0,10,1027,1126,750,218,1038,591,4749
LGA70540,0,0,0,30,9,6,0,55,24,126
LGA70620,7,0,18,858,703,207,110,435,314,2627
LGA70700,6,0,6,150,231,96,100,225,274,1070
LGA71000,269,102,578,13986,17945,6589,4067,16894,6157,65639
LGA71150,0,0,0,68,85,25,13,68,18,273
LGA71300,8,0,12,1606,1779,907,536,1396,522,6743
LGA72200,28,6,46,1508,1871,738,461,1629,1260,7477
LGA72300,40,15,97,3175,4668,2043,1459,3196,2986,17530
LGA72330,5,0,14,1092,897,475,119,836,1023,4439
LGA72800,96,20,159,5487,8002,2778,1933,6828,2805,27843
LGA73600,4,0,12,1094,1009,598,732,898,653,4991
LGA74050,0,0,0,581,236,66,42,744,143,1813
LGA74550,4,0,13,682,460,167,114,397,305,2129
LGA74560,0,0,0,64,113,47,41,60,45,362
LGA74660,0,0,4,1296,1760,556,258,467,416,4758
LGA74680,5,0,7,293,406,325,357,618,149,2144
LGA79399,0,5,12,924,1377,519,333,984,1199,5341
LGA79499,4,0,7,480,399,152,120,687,1217,3052
LGA79799,0,0,0,9,14,6,4,47,25,94
LGA89399,2982,742,7180,85498,122804,46976,24590,73668,17459,370996
LGA89499,0,0,4,123,123,39,17,138,126,560
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA99399,15,7,54,352,600,297,218,328,289,2082
LGA99499,0,0,0,6,3,0,0,0,8,11
LGA99799,0,0,0,0,0,0,0,0,0,0
