LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA40430,426,835,0,11,28,107,0,22,110,453,140,592,7,32,19,64,45,139,73,237,214,825,0,5,0,0,0,0,34,87,36,92,0,10,3,10,26,55,34,70,74,161,4,4,714,1830
LGA40520,1334,2636,25,131,91,396,29,138,475,1846,611,2518,37,143,69,227,211,669,318,1030,928,3545,14,63,30,92,32,119,214,586,288,865,22,71,26,57,230,490,277,624,560,1485,34,82,2856,7752
LGA40700,5001,9947,42,212,811,3611,53,200,2999,11665,3895,15688,368,1555,971,3421,885,2776,2221,7748,6114,23438,10,45,129,433,16,41,457,1090,611,1612,77,250,276,613,480,1017,841,1885,1453,3491,141,292,12710,37168
LGA40910,5662,11334,60,312,653,2919,92,402,3666,13806,4464,17439,361,1542,725,2555,1380,4582,2468,8676,6934,26119,19,80,176,577,49,158,712,1773,956,2583,137,424,306,702,951,2072,1391,3197,2349,5785,258,541,15194,43777
LGA41010,406,803,9,36,26,133,13,78,203,802,254,1042,7,24,22,60,62,205,87,287,345,1331,0,6,17,50,3,18,79,223,100,299,8,21,3,17,43,97,59,134,152,436,18,33,926,2602
LGA41060,13228,26524,160,959,1127,5127,216,952,7126,26927,8632,33969,852,3608,1255,4398,2790,9080,4895,17087,13525,51055,62,266,335,1077,146,492,1747,4429,2288,6261,239,779,595,1324,2448,5362,3288,7460,5578,13721,703,1468,33030,92768
LGA41140,1328,2629,13,72,111,489,34,150,461,1868,615,2579,26,103,64,176,168,508,253,786,876,3357,3,13,24,88,11,33,126,347,164,479,14,33,42,79,101,216,152,328,319,811,15,32,2537,6836
LGA41190,224,448,3,16,21,90,3,24,115,457,135,581,7,21,15,36,24,74,46,130,186,710,0,0,0,10,0,0,17,48,21,60,0,4,4,10,13,30,24,44,44,106,5,4,452,1268
LGA41330,137,274,0,10,11,52,6,23,51,186,65,276,0,5,0,9,15,43,19,55,86,328,0,9,5,17,6,18,11,46,21,85,0,0,4,12,21,51,27,62,49,152,11,25,289,776
LGA41560,2384,4727,23,127,115,514,45,190,582,2249,762,3087,39,144,69,214,261,812,363,1172,1128,4253,15,56,43,160,28,100,280,773,361,1088,20,68,42,90,227,484,292,635,656,1726,60,121,4225,10828
LGA41750,127,242,0,14,10,41,4,11,63,266,79,325,4,4,9,14,12,30,16,50,95,380,0,0,0,0,0,0,14,40,14,40,0,0,0,4,6,10,6,16,21,53,3,12,246,687
LGA41830,218,433,8,26,3,32,0,8,67,275,83,341,6,24,4,13,27,73,38,106,120,451,0,0,0,7,5,9,30,80,32,86,4,15,7,9,20,44,33,68,62,163,3,13,416,1059
LGA41960,206,406,0,0,18,60,5,21,47,210,70,292,0,5,11,31,22,62,35,96,101,386,0,0,5,6,0,0,18,56,23,63,0,0,3,4,8,15,12,18,31,86,5,6,345,886
LGA42030,2819,5617,43,244,235,1053,79,357,1314,5022,1675,6674,130,557,183,611,514,1639,830,2800,2502,9481,18,85,120,376,51,185,595,1593,779,2238,62,209,145,319,536,1167,746,1688,1524,3928,100,196,6944,19217
LGA42110,559,1089,6,31,44,210,18,77,187,766,257,1091,17,63,25,72,75,232,121,362,375,1454,0,8,14,42,0,0,48,121,64,165,0,4,7,18,61,122,73,150,129,311,15,29,1078,2885
LGA42250,1060,2105,20,112,108,492,38,164,471,1904,634,2670,60,247,62,189,186,592,308,1029,943,3702,5,16,11,37,3,18,77,185,97,263,6,23,15,33,88,173,113,237,209,499,16,40,2234,6345
LGA42600,4900,9751,43,230,397,1764,53,235,1919,7243,2412,9467,236,965,458,1574,655,2018,1341,4555,3755,14024,5,11,88,272,22,71,480,1090,587,1435,56,158,167,373,505,1062,730,1598,1324,3032,135,278,10115,27085
LGA42750,717,1413,9,30,50,222,14,52,241,962,309,1272,4,21,23,56,57,177,82,257,395,1529,0,0,6,23,5,29,57,152,69,199,6,11,4,5,51,95,56,111,122,307,16,30,1256,3280
LGA43080,119,235,5,17,6,40,6,21,48,210,67,289,0,3,5,24,22,69,29,94,99,383,0,0,0,0,0,9,4,11,7,9,0,12,0,3,14,34,20,49,24,59,6,14,247,699
LGA43220,143,266,5,17,13,51,0,0,73,303,86,365,0,0,19,37,5,15,22,54,106,421,0,0,0,4,0,7,6,19,10,32,0,0,0,0,3,7,5,10,13,37,5,3,263,733
LGA43360,373,728,5,15,21,100,4,28,108,412,139,562,8,20,14,44,38,111,57,173,196,734,0,0,4,15,0,10,25,62,31,83,0,7,6,5,26,54,28,64,62,151,10,13,636,1624
LGA43650,1723,3435,46,248,241,1136,62,291,991,3968,1340,5648,145,589,165,559,425,1325,730,2471,2073,8117,9,44,50,173,30,105,214,586,299,902,26,85,41,91,198,409,263,592,563,1496,33,75,4397,13115
LGA43710,754,1469,10,54,88,397,13,74,397,1565,507,2085,31,114,36,102,96,302,160,515,672,2606,0,5,11,35,8,8,63,170,82,219,0,14,12,24,52,102,68,139,149,361,5,17,1584,4443
LGA43790,1616,3192,24,119,119,537,36,168,588,2379,754,3202,41,163,62,203,214,655,321,1018,1075,4222,3,13,35,127,18,64,176,478,232,684,7,26,32,82,147,314,188,420,420,1105,43,82,3154,8600
LGA44000,10,21,0,0,0,0,0,5,9,23,6,34,0,0,0,0,0,3,0,3,8,32,0,0,0,0,0,0,5,3,5,3,0,0,0,0,0,3,0,3,5,8,0,0,19,56
LGA44060,10314,20641,127,692,922,4168,185,811,6124,22970,7356,28642,550,2305,978,3343,1933,6117,3456,11771,10818,40411,38,156,273,902,100,336,1475,3545,1886,4939,189,586,490,1079,1693,3664,2367,5328,4258,10267,494,1029,25878,72345
LGA44210,1358,2660,12,57,79,358,23,110,343,1345,457,1868,25,95,43,142,168,519,235,754,690,2615,3,10,13,55,12,43,120,332,153,447,6,25,25,52,162,333,196,406,343,857,26,53,2415,6176
LGA44340,7189,14318,89,478,1028,4568,91,389,4675,18006,5881,23439,567,2357,1089,3826,1468,4711,3124,10893,9005,34334,16,56,183,547,40,126,694,1636,933,2362,123,366,368,823,865,1865,1356,3056,2283,5418,236,489,18715,54556
LGA44550,4421,8741,81,426,506,2292,107,454,2761,10634,3450,13806,256,1057,412,1410,796,2538,1464,5006,4912,18808,25,96,130,426,53,180,620,1585,830,2287,75,213,202,442,577,1226,848,1886,1678,4170,102,207,11113,31929
LGA44620,3049,6078,58,324,267,1234,90,399,1408,5545,1816,7504,115,469,164,525,466,1481,746,2479,2563,9985,25,110,89,286,75,250,618,1601,806,2243,53,162,111,236,406,865,566,1262,1366,3507,106,217,7078,19780
LGA44830,477,921,4,38,22,105,3,15,123,494,159,650,11,38,16,44,60,186,91,277,248,926,0,4,7,28,8,16,24,61,39,104,7,12,10,15,28,55,37,78,78,183,9,16,809,2049
LGA45040,2517,5010,44,247,195,928,83,382,1006,3899,1329,5460,86,354,122,390,441,1400,646,2149,1973,7601,23,91,72,261,33,104,463,1329,590,1785,26,90,77,169,399,837,501,1101,1091,2886,94,196,5674,15691
LGA45090,1092,2172,16,68,101,438,20,92,563,2240,699,2835,34,128,57,167,141,430,232,728,929,3560,5,26,12,44,4,26,108,280,135,386,9,26,22,54,63,130,96,204,231,589,20,44,2279,6357
LGA45120,631,1252,9,47,47,202,16,62,250,1036,319,1344,9,37,23,61,79,240,111,347,429,1685,0,0,8,30,4,30,52,136,63,200,5,13,16,33,55,116,73,155,142,353,15,27,1218,3321
LGA45290,4165,8288,32,168,402,1791,41,179,2188,8189,2669,10326,194,821,509,1772,582,1893,1292,4489,3959,14808,5,33,93,281,14,32,444,1051,558,1400,59,185,229,481,517,1112,808,1785,1358,3181,191,396,9669,26677
LGA45340,19682,39326,345,1902,1846,8264,549,2447,10285,39267,13029,51885,1089,4521,1524,5148,4280,13607,6898,23279,19928,75167,138,584,685,2298,350,1175,3621,9313,4792,13375,368,1137,817,1770,3397,7335,4580,10242,9374,23618,649,1339,49633,139451
LGA45400,121,231,3,20,5,29,0,3,47,197,58,249,5,10,11,26,9,37,22,76,76,326,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,18,13,22,18,24,0,5,216,582
LGA45540,209,411,0,5,5,39,3,14,34,133,45,194,3,6,4,18,17,57,31,83,75,276,0,11,5,17,5,14,41,106,51,152,3,13,3,4,30,63,36,79,79,229,11,17,377,931
LGA45680,7959,15982,292,1834,1027,5289,431,2073,5747,22928,7496,32124,458,1961,556,1874,1927,6238,2941,10076,10436,42203,138,719,463,1789,334,1235,3099,8719,4032,12466,220,739,457,1022,2150,4773,2821,6528,6849,18998,493,1047,25743,78228
LGA45890,12223,24636,221,1352,1330,6133,260,1205,8597,32471,10411,41155,672,2934,1259,4366,2442,7967,4373,15262,14779,56421,87,413,403,1388,191,686,2119,5525,2801,8019,263,867,623,1421,2702,5913,3590,8198,6385,16217,858,1798,34251,99065
LGA46090,1421,2773,33,187,119,563,48,206,618,2340,819,3294,22,98,74,222,224,679,318,992,1136,4285,16,71,43,174,41,145,355,1073,454,1475,7,20,32,72,237,509,279,607,730,2076,71,152,3362,9286
LGA46300,1661,3258,25,110,134,611,53,220,753,2890,955,3823,46,179,87,264,217,661,352,1105,1307,4929,7,28,61,203,29,86,332,899,417,1217,14,48,52,119,239,498,307,662,724,1880,58,127,3752,10195
LGA46450,1965,3915,36,211,163,734,68,291,801,3170,1060,4406,60,237,87,270,351,1079,492,1582,1556,5989,17,69,70,266,58,195,366,963,509,1499,24,64,70,140,354,768,443,977,953,2476,80,169,4551,12547
LGA46510,2216,4424,29,161,282,1266,34,147,1586,6074,1933,7648,141,608,316,1108,411,1321,862,3033,2803,10688,10,40,46,151,12,51,278,674,347,912,24,91,92,204,281,594,400,885,745,1801,122,263,5884,17166
LGA46670,1235,2467,27,114,89,418,32,153,502,1918,649,2608,43,183,67,219,194,613,306,1009,958,3615,5,30,25,97,21,80,168,454,220,661,23,67,30,66,152,318,202,455,421,1108,41,82,2647,7276
LGA46860,263,511,4,16,15,68,0,3,78,299,95,386,3,13,12,32,23,64,38,113,136,499,0,0,4,12,0,0,18,48,26,65,0,0,0,0,11,20,11,28,35,88,7,12,439,1103
LGA46970,275,536,0,8,40,178,10,61,354,1416,411,1662,10,33,23,65,41,125,71,216,483,1882,0,0,5,20,3,9,49,141,63,167,3,10,10,19,20,35,29,64,90,232,10,19,858,2674
LGA47140,12718,25694,461,2855,1734,8552,491,2319,8972,35146,11659,48870,870,3888,1176,4056,3324,10937,5369,18886,17027,67756,139,681,554,2052,390,1404,2933,7929,4009,12072,351,1197,705,1586,3019,6780,4075,9556,8085,21627,730,1564,38565,116637
LGA47290,272,539,6,29,22,98,7,28,104,432,140,586,9,36,13,40,24,62,42,141,187,728,0,0,0,3,0,0,12,43,20,48,0,0,5,3,24,50,28,55,45,104,7,11,513,1377
LGA47490,305,586,0,6,22,102,4,19,140,560,168,682,0,18,10,21,29,74,39,109,205,793,0,7,5,6,0,0,15,52,19,65,0,6,3,12,15,28,24,47,45,112,3,10,560,1502
LGA47630,843,1681,16,78,68,308,19,77,407,1629,510,2091,22,97,55,165,134,417,215,677,723,2769,3,9,11,40,9,18,93,258,110,320,8,28,8,20,61,121,81,174,193,491,18,46,1778,4987
LGA47700,11516,23037,205,1115,1209,5448,274,1248,6518,25090,8213,32903,791,3334,1155,4014,2650,8496,4598,15846,12809,48746,50,213,315,1036,151,521,1443,3680,1958,5447,235,735,483,1087,1864,4056,2581,5878,4541,11326,338,703,29197,83816
LGA47800,751,1483,9,31,43,211,13,45,252,1031,320,1319,17,62,33,117,90,270,137,450,455,1766,0,3,18,57,8,16,81,214,103,296,4,9,19,33,70,158,90,206,194,495,23,51,1422,3797
LGA47910,448,883,3,18,29,130,3,25,147,601,185,777,12,44,24,61,30,88,65,190,247,971,0,0,5,21,0,7,25,76,34,105,5,8,6,10,25,45,30,65,63,169,3,11,764,2028
LGA47980,4288,8539,35,182,469,2078,42,193,2422,9235,2976,11683,259,1094,609,2156,629,2007,1503,5251,4472,16939,7,19,107,323,15,53,470,1100,598,1497,62,195,242,533,414,869,723,1600,1320,3093,189,376,10269,28954
LGA48050,2837,5613,17,87,110,514,42,191,596,2339,768,3121,45,170,94,298,271,822,404,1290,1174,4416,6,16,45,153,35,103,252,677,335,944,22,70,59,135,250,533,332,732,665,1680,56,116,4733,11824
LGA48130,825,1624,20,96,80,398,30,138,356,1427,486,2056,25,93,44,147,122,392,195,633,676,2687,4,15,21,86,18,47,134,371,164,517,3,20,24,51,96,197,124,268,292,785,22,43,1811,5130
LGA48260,968,1932,4,35,96,422,5,23,471,1806,573,2283,53,211,135,479,141,441,319,1133,895,3417,0,7,11,40,0,6,79,201,91,249,13,46,46,104,86,174,141,325,239,575,32,74,2137,5997
LGA48340,1595,3173,24,135,122,560,32,154,576,2295,755,3141,64,248,69,209,220,690,357,1150,1109,4290,3,13,33,111,12,43,174,495,221,657,17,52,42,95,161,351,224,492,440,1153,35,90,3182,8700
LGA48410,6482,12998,63,368,588,2594,91,379,3839,14279,4580,17625,346,1420,627,2165,1114,3666,2084,7248,6665,24876,15,83,131,406,46,156,726,1745,919,2390,113,371,276,601,1066,2303,1452,3280,2368,5674,424,896,15939,44442
LGA48540,2328,4617,34,188,200,884,66,289,1052,4074,1356,5437,72,295,124,381,395,1229,593,1901,1942,7336,21,98,87,299,53,201,535,1384,697,1980,26,80,98,198,387,827,508,1103,1201,3080,81,176,5559,15213
LGA48640,132,262,8,30,18,79,3,10,77,297,101,416,4,12,4,11,15,38,21,64,122,478,0,0,0,5,0,0,11,23,12,28,0,6,0,3,5,9,12,20,20,49,4,6,273,793
LGA48750,1001,1980,20,108,54,239,12,38,246,962,318,1345,22,75,30,107,110,331,161,512,480,1862,3,5,20,64,4,26,62,176,91,273,0,11,21,40,58,113,80,161,173,436,8,22,1664,4291
LGA48830,1986,3902,6,52,96,447,18,92,456,1858,581,2451,28,108,58,164,180,558,265,825,847,3270,3,18,15,48,12,42,114,332,146,446,11,25,22,41,128,258,159,328,305,779,37,75,3166,8025
LGA49399,254,506,3,27,14,67,14,42,120,485,157,621,6,12,4,14,40,114,50,137,199,757,0,0,6,29,10,41,34,126,47,192,4,7,0,0,35,78,39,87,87,278,13,28,557,1573
LGA49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,4786,9460,105,564,380,1741,142,639,2055,8061,2680,11009,144,576,257,821,667,2064,1076,3465,3757,14472,16,64,132,459,77,281,642,1751,869,2552,52,178,121,255,530,1141,708,1575,1578,4120,122,253,10242,28309
LGA50210,8311,16506,234,1378,1158,5378,392,1804,7727,29806,9511,38360,485,2008,739,2503,1768,5568,2989,10075,12495,48435,66,304,285,1031,164,651,1849,5048,2369,7030,174,551,328,734,1453,3164,1952,4454,4319,11485,405,852,25532,77273
LGA50250,419,804,3,24,42,184,19,82,483,1922,549,2219,6,25,32,86,40,125,78,232,627,2449,0,0,8,28,7,35,58,140,72,204,0,0,14,25,27,59,40,83,111,284,16,27,1175,3579
LGA50280,1856,3601,23,113,177,760,40,171,1220,4565,1469,5609,56,206,108,328,198,567,359,1103,1825,6709,3,19,45,142,26,83,276,669,354,910,23,65,45,87,174,358,241,507,590,1419,29,61,4304,11787
LGA50350,1672,3293,29,147,142,648,33,139,1059,3950,1255,4877,84,346,136,459,324,1004,538,1802,1797,6682,4,41,44,153,25,88,277,682,355,964,25,78,57,124,283,619,369,829,718,1788,93,195,4283,11956
LGA50420,7754,15310,84,490,652,2950,123,545,4512,16599,5366,20581,376,1571,661,2272,1317,4206,2357,8054,7722,28634,27,143,172,575,75,269,997,2480,1275,3466,118,361,295,670,1126,2418,1545,3451,2814,6913,397,825,18686,51681
LGA50490,4455,8731,67,427,310,1468,91,401,2562,9581,3033,11875,172,703,280,947,563,1780,1016,3436,4047,15309,25,108,92,317,52,170,630,1623,796,2226,73,229,148,343,705,1539,927,2110,1720,4338,350,733,10572,29109
LGA50560,257,499,3,17,8,39,6,24,67,269,82,348,5,19,23,51,32,105,65,171,150,519,0,0,0,0,0,0,18,43,20,49,0,0,4,10,23,47,26,53,47,103,8,17,458,1139
LGA50630,197,382,0,3,22,83,5,30,113,447,142,570,4,13,7,25,23,69,42,112,186,681,0,0,3,22,6,4,29,87,35,109,0,5,0,3,24,40,21,51,57,164,7,15,447,1234
LGA50770,254,495,0,4,9,44,6,22,113,459,134,532,4,25,12,26,27,73,40,126,172,653,0,0,3,17,0,0,29,68,30,90,0,3,5,11,19,38,29,57,60,143,4,8,489,1302
LGA50840,798,1562,5,40,51,240,23,88,280,1127,357,1489,22,80,24,75,74,231,123,386,486,1874,0,3,11,34,13,41,50,127,72,203,4,8,17,31,62,120,76,158,152,362,12,28,1448,3828
LGA50910,125,236,0,7,8,20,5,11,53,195,59,235,6,7,3,9,18,52,23,72,84,310,0,5,4,16,0,0,10,21,7,40,0,0,0,5,10,24,15,25,19,73,6,9,230,630
LGA50980,1298,2507,20,123,141,596,74,372,1103,4336,1341,5426,46,164,68,197,183,579,290,947,1634,6366,15,76,61,217,50,172,396,1173,523,1640,8,18,56,115,208,474,271,607,798,2248,74,170,3805,11286
LGA51080,128,251,0,0,8,20,0,9,69,280,75,305,3,10,11,22,21,57,28,91,107,398,0,6,3,21,3,12,13,39,22,77,3,10,6,8,13,33,26,50,44,127,4,7,277,775
LGA51120,112,216,0,5,11,37,7,21,55,224,74,282,8,11,0,7,11,36,22,61,94,347,6,12,5,13,0,0,9,32,18,58,0,0,0,0,5,11,5,11,22,74,5,5,229,637
LGA51190,3736,7346,40,214,270,1191,92,405,1619,6158,2021,7976,117,456,204,646,493,1523,812,2623,2834,10605,20,87,117,380,75,258,781,2042,993,2776,35,116,126,254,599,1249,765,1619,1760,4387,138,290,8470,22633
LGA51260,5171,10101,63,352,467,2052,168,732,2503,9626,3212,12772,153,571,304,925,658,1975,1108,3473,4315,16240,21,96,150,486,59,204,649,1694,883,2472,39,108,122,265,452,928,612,1304,1497,3776,82,171,11067,30286
LGA51310,2851,5602,39,221,542,2457,37,142,2189,8608,2806,11430,227,947,565,2021,485,1533,1278,4504,4088,15935,3,17,62,188,8,29,259,601,334,838,34,105,118,298,256,528,407,930,740,1767,99,203,7774,23506
LGA51330,8669,17332,154,919,1529,6942,231,1046,6664,25578,8572,34482,685,2900,1318,4620,2023,6432,4024,13954,12600,48437,44,228,290,993,91,332,1074,2862,1503,4419,190,599,394,952,1218,2633,1807,4185,3307,8602,557,1193,25130,75567
LGA51400,1903,3711,54,263,282,1235,93,421,1259,4915,1691,6835,129,510,194,594,387,1162,703,2266,2395,9103,15,56,62,218,34,135,346,979,459,1393,38,108,65,131,204,421,305,666,761,2055,36,75,5093,14940
LGA51470,83,155,0,0,4,14,0,0,19,90,28,106,5,4,8,11,3,15,9,36,45,142,0,0,0,0,0,0,3,13,3,13,0,0,0,0,8,14,8,14,13,24,0,3,135,321
LGA51540,511,1000,8,41,29,118,13,83,255,985,304,1225,14,47,18,41,74,232,100,319,408,1542,0,8,12,32,13,49,99,280,118,361,4,16,14,29,81,177,100,218,219,579,22,44,1151,3172
LGA51610,213,411,4,23,27,99,0,9,92,370,127,499,3,10,16,48,39,108,53,172,179,670,0,0,8,27,0,0,11,33,20,63,0,0,0,0,11,25,13,21,37,90,5,13,426,1179
LGA51680,760,1490,22,124,71,316,39,159,330,1330,464,1926,42,160,49,154,188,562,278,880,738,2806,5,22,10,36,6,19,68,177,84,253,7,14,14,28,59,133,81,176,165,431,6,12,1669,4739
LGA51710,116,223,3,10,15,64,0,5,102,390,118,468,6,23,0,13,22,68,33,105,149,575,0,0,4,9,0,5,9,28,14,41,5,8,6,7,11,17,18,33,34,76,0,4,295,882
LGA51750,1186,2330,4,23,151,677,11,40,598,2325,767,3065,90,359,200,711,149,461,445,1532,1210,4599,5,9,33,105,0,4,139,328,174,439,11,33,84,196,125,268,224,498,399,940,45,97,2839,7965
LGA51820,11831,23347,215,1146,1334,5927,380,1651,8863,33300,10784,42029,793,3314,1243,4211,2639,8449,4675,15973,15467,58003,46,208,356,1188,180,628,2001,5054,2591,7076,260,817,446,987,1729,3810,2436,5611,5028,12692,484,1009,32804,95043
LGA51860,69,145,4,13,8,22,3,16,40,180,54,225,0,0,4,5,17,56,22,64,77,291,0,0,0,0,0,8,6,10,0,9,0,0,0,0,3,3,3,3,7,12,0,0,154,450
LGA51890,1047,2079,11,50,79,359,48,213,418,1662,557,2277,34,138,59,176,179,537,268,858,831,3140,5,39,29,93,25,82,155,451,219,668,8,43,21,47,141,292,172,380,390,1046,32,61,2292,6325
LGA51960,318,618,4,26,22,100,13,71,178,693,222,891,3,21,13,44,37,124,60,189,286,1081,0,3,7,23,10,34,68,178,84,247,6,19,9,21,30,60,50,102,130,342,15,32,753,2077
LGA52030,188,363,0,4,9,46,5,7,42,159,54,213,0,5,4,8,9,36,16,45,69,257,0,0,0,0,0,6,7,26,12,29,0,3,0,4,6,16,12,24,21,50,3,4,279,675
LGA52100,148,289,0,9,8,24,4,9,63,248,72,295,8,15,6,8,18,54,22,81,99,370,0,4,0,3,4,5,9,14,12,31,0,0,4,7,3,8,7,14,17,40,3,6,269,704
LGA52170,915,1784,13,64,129,592,4,22,451,1773,600,2456,72,297,166,566,112,335,348,1200,942,3654,0,0,22,76,0,5,71,167,98,252,9,33,45,100,66,144,118,275,217,526,25,58,2102,6019
LGA52240,134,266,4,7,8,43,3,23,67,259,82,331,3,6,5,11,21,55,26,76,113,407,0,0,0,5,3,8,11,38,17,50,0,0,0,3,8,9,8,11,21,68,7,8,272,742
LGA52310,143,275,0,3,13,51,0,12,36,145,55,211,0,9,6,9,20,55,25,74,82,286,0,0,0,7,0,10,6,19,10,42,0,4,0,0,12,22,13,28,29,73,3,8,249,636
LGA52380,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,3,9,0,0,24,47
LGA52450,123,246,3,18,21,82,3,12,85,337,114,451,5,15,5,19,24,64,35,99,145,548,0,9,9,10,0,0,9,30,19,47,0,3,0,3,11,25,15,29,27,75,3,7,305,884
LGA52520,140,272,4,16,18,66,3,12,93,377,122,471,6,18,6,16,17,61,31,100,150,569,0,7,0,3,0,3,8,24,10,38,0,0,0,0,10,33,14,31,26,72,3,6,314,914
LGA52590,528,1037,0,4,22,88,9,24,162,614,191,724,12,33,14,35,50,141,74,206,266,934,0,3,9,24,4,8,33,93,50,135,4,11,4,9,26,61,37,77,81,212,7,7,883,2188
LGA52660,1719,3368,32,179,171,755,80,351,1006,3872,1291,5153,62,251,90,285,312,962,463,1495,1754,6654,12,59,44,134,27,101,256,664,338,953,23,58,42,94,166,363,229,524,573,1475,37,80,4080,11570
LGA52730,837,1606,11,44,68,293,20,81,335,1289,428,1711,16,61,40,124,73,224,138,410,561,2119,0,6,17,54,3,13,95,242,115,314,12,24,33,68,54,112,94,209,214,516,4,9,1613,4251
LGA52800,450,905,11,73,35,157,56,344,340,1372,440,1948,7,28,11,23,72,249,92,302,527,2250,0,12,19,78,52,258,180,561,252,912,5,21,7,19,101,257,118,300,373,1208,69,178,1424,4540
LGA52870,917,1795,9,61,66,300,23,102,327,1307,432,1768,26,113,33,92,106,332,172,537,603,2303,0,0,13,42,5,19,72,209,90,266,8,17,13,26,81,166,99,208,195,475,18,35,1726,4610
LGA52940,92,172,4,14,10,35,0,0,38,162,51,213,4,4,5,13,7,27,16,46,70,260,0,3,0,3,0,5,10,39,13,52,0,0,0,0,4,9,4,10,23,61,0,0,178,494
LGA53010,88,166,0,0,9,30,0,0,48,186,55,215,0,0,5,7,3,12,12,23,65,237,0,0,0,0,0,0,0,7,0,7,0,0,4,3,0,7,6,9,5,23,0,3,161,429
LGA53080,63,126,0,4,0,8,4,11,16,59,23,89,0,4,0,0,3,19,7,17,27,108,0,0,0,7,5,8,10,24,17,40,0,0,0,0,17,35,17,35,29,73,5,11,127,318
LGA53150,812,1603,10,59,122,551,9,40,505,1949,647,2602,51,223,142,474,146,458,342,1155,987,3753,3,10,29,80,4,12,86,223,126,330,13,24,45,94,79,171,132,294,259,622,19,40,2075,6022
LGA53220,405,834,19,84,40,189,26,137,477,1930,562,2337,8,23,23,64,52,176,83,260,643,2603,9,35,17,44,19,75,98,277,132,434,5,11,6,10,51,118,59,139,195,574,24,54,1264,4063
LGA53290,1550,3011,26,146,172,718,37,156,780,3077,1016,4094,38,153,79,215,229,694,353,1064,1364,5157,8,42,42,168,17,73,190,531,261,817,14,40,36,75,173,350,222,467,482,1277,50,98,3441,9545
LGA53360,365,697,7,18,27,102,3,21,204,777,243,916,9,37,23,67,33,107,73,210,311,1133,0,0,3,11,0,0,29,82,33,96,3,4,8,16,28,56,36,79,71,172,5,10,758,2014
LGA53430,3665,7152,31,149,255,1148,52,200,1829,6733,2161,8229,142,592,303,1027,466,1424,913,3037,3076,11268,9,55,76,244,34,102,438,1030,562,1431,50,138,166,354,500,1042,719,1537,1276,2969,112,238,8131,21631
LGA53570,812,1579,10,63,51,227,22,76,237,911,314,1276,20,82,42,120,105,315,168,521,482,1799,4,7,6,20,0,4,64,189,71,226,7,28,4,14,54,118,70,160,149,383,22,39,1459,3801
LGA53640,137,280,4,27,13,40,4,19,90,358,107,446,5,6,9,23,23,71,30,99,145,550,0,0,3,8,0,4,13,22,14,40,0,0,0,0,10,23,12,24,25,60,3,12,319,900
LGA53710,129,247,0,0,9,45,3,16,54,218,69,280,3,11,0,3,20,58,23,71,93,350,0,0,0,5,0,0,14,37,16,40,0,0,0,5,11,18,11,22,30,66,6,10,253,674
