LGA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA21010,22,320,49,396,18,274,31,320,57,564,72,693,69,513,62,637,117,616,70,805,188,840,90,1118,152,909,98,1157,84,514,66,662,15,177,27,219,724,4717,558,5999,20,280,43,343,20,241,25,287,97,531,63,694,134,514,65,712,216,636,68,925,305,839,94,1237,212,903,77,1189,89,541,96,728,18,279,54,345,1102,4767,591,6459,44,604,89,739,40,513,55,608,156,1095,142,1389,200,1025,131,1350,325,1258,142,1725,496,1675,182,2350,362,1810,176,2342,173,1054,160,1392,30,448,80,566,1823,9486,1152,12460
LGA21110,279,5637,181,6100,361,5665,202,6229,607,9342,474,10424,927,8203,345,9469,1832,8794,384,11016,2119,7496,301,9915,1213,5966,241,7420,551,3587,205,4347,204,1483,134,1820,8091,56176,2466,66732,275,5391,184,5853,414,5452,202,6075,805,9399,416,10620,1471,9104,362,10937,3105,9316,377,12800,3257,7286,293,10831,1840,6349,309,8499,765,4422,293,5479,163,2676,304,3143,12102,59396,2735,74237,555,11026,364,11950,773,11123,409,12306,1410,18742,889,21044,2395,17308,705,20408,4936,18111,764,23812,5373,14784,593,20747,3059,12309,550,15917,1314,8013,502,9829,366,4160,431,4961,20199,115566,5201,140967
LGA21180,220,4974,443,5640,372,6071,611,7056,1013,13372,1565,15946,1355,10729,1158,13239,1649,9340,855,11849,1587,9129,681,11396,1062,7222,548,8831,513,3740,396,4643,157,1079,154,1391,7940,65655,6398,79991,292,4797,396,5489,452,5398,496,6349,1403,11912,1293,14610,2042,10156,987,13179,2666,9263,776,12708,2550,8543,621,11706,1623,7314,541,9475,609,4060,403,5071,104,1862,311,2271,11737,63307,5816,80858,517,9777,837,11131,829,11471,1101,13406,2412,25278,2860,30553,3396,20880,2144,26419,4318,18609,1628,24555,4137,17664,1306,23114,2683,14536,1088,18308,1126,7800,794,9714,260,2942,464,3664,19677,128961,12214,160852
LGA21270,8,151,33,194,13,120,11,143,23,212,26,272,32,185,29,253,67,300,40,408,90,399,47,533,76,404,51,531,29,200,35,267,5,79,22,106,345,2059,302,2699,4,118,12,133,12,89,4,103,40,213,29,276,48,168,18,237,111,249,35,397,128,346,40,516,81,308,32,416,34,200,44,285,8,130,43,182,464,1820,258,2543,13,272,46,328,20,204,18,246,64,429,54,550,82,357,48,490,178,550,83,805,215,752,85,1051,158,708,83,945,66,403,80,547,10,203,67,286,807,3872,561,5241
LGA21370,61,1016,105,1187,74,801,67,947,125,1605,171,1894,198,1492,145,1834,340,1851,192,2384,427,2210,190,2822,325,2047,212,2585,177,1222,175,1573,40,393,78,507,1766,12643,1330,15740,63,863,108,1033,67,798,61,927,233,1621,147,2005,385,1518,143,2050,619,1751,157,2532,686,2027,177,2891,460,1913,183,2552,189,1247,195,1629,36,561,170,766,2741,12307,1331,16383,119,1883,212,2215,143,1603,131,1876,356,3226,313,3902,587,3008,292,3885,966,3604,350,4918,1115,4236,366,5716,790,3965,394,5143,372,2465,366,3201,69,954,252,1273,4508,24945,2662,32122
LGA21450,150,3384,266,3797,187,3187,210,3577,526,7816,578,8915,865,7304,504,8672,928,5735,402,7063,819,4537,262,5618,539,3329,234,4103,242,1793,173,2210,62,449,88,591,4311,37537,2705,44553,183,3073,236,3493,238,3072,179,3482,1012,8112,564,9685,1484,6891,459,8841,1615,5407,377,7396,1439,4290,319,6045,784,3555,261,4599,265,1934,232,2430,29,706,159,902,7040,37045,2782,46867,327,6459,503,7280,423,6254,389,7063,1533,15932,1136,18597,2346,14201,966,17514,2541,11141,775,14459,2256,8821,579,11663,1324,6887,496,8701,509,3729,401,4640,93,1163,248,1494,11357,74581,5491,91426
LGA21610,509,10704,672,11878,678,11101,788,12563,1815,23353,1959,27135,2778,24632,1681,29092,2734,18524,1129,22386,2393,14654,877,17923,1406,9389,545,11340,624,4463,383,5468,165,1241,157,1567,13109,118061,8193,139362,579,10087,616,11278,928,10136,676,11746,2988,23766,1801,28552,4254,23184,1471,28909,4457,17322,1087,22866,3808,13650,821,18281,2027,9639,649,12320,679,5115,451,6242,97,2259,295,2646,19817,115153,7871,142834,1088,20786,1287,23162,1607,21230,1469,24309,4805,47119,3761,55683,7036,47820,3149,58004,7189,35846,2220,45253,6204,28304,1697,36204,3436,19025,1193,23658,1299,9575,836,11711,259,3502,451,4207,32926,233210,16059,282197
LGA21670,17,303,33,356,24,247,22,293,52,472,49,574,70,400,49,526,145,600,94,843,171,758,82,1006,148,883,86,1115,76,562,76,714,20,163,28,210,723,4397,522,5645,24,272,36,327,23,216,20,258,96,474,38,608,116,422,52,590,206,567,63,836,269,757,72,1098,180,878,81,1138,75,565,71,716,8,248,40,294,994,4404,475,5867,40,573,74,686,46,469,39,553,146,949,90,1185,185,827,100,1108,354,1166,156,1678,440,1515,152,2111,329,1763,171,2260,149,1135,148,1433,30,409,62,501,1716,8796,1001,11511
LGA21750,31,577,51,653,36,479,36,548,93,1105,101,1305,137,1006,84,1230,193,1088,98,1380,291,1212,108,1612,184,1207,103,1497,83,652,72,806,18,184,36,240,1071,7508,692,9276,34,486,39,564,39,414,23,477,142,1054,77,1271,226,932,78,1238,332,1013,88,1435,415,1087,106,1613,261,1195,118,1573,108,649,91,842,16,347,54,415,1569,7178,668,9412,61,1060,89,1214,75,894,57,1025,240,2161,180,2573,364,1941,157,2463,528,2105,189,2814,709,2299,216,3223,448,2400,224,3071,193,1298,162,1651,28,530,87,651,2640,14686,1361,18690
LGA21830,19,399,78,495,31,350,34,408,70,669,76,818,68,644,62,774,148,783,86,1024,181,993,87,1257,129,926,84,1130,66,494,56,610,20,155,40,214,719,5403,603,6731,23,346,66,438,35,268,28,333,93,600,56,757,137,606,66,815,239,746,65,1041,321,881,77,1275,173,780,69,1023,78,557,72,709,12,250,50,307,1128,5038,542,6705,46,745,142,935,61,615,63,743,162,1271,134,1571,207,1254,130,1591,384,1528,153,2065,505,1870,159,2536,301,1699,148,2154,146,1055,122,1322,25,407,85,517,1844,10445,1149,13433
LGA21890,163,3059,156,3376,269,4184,315,4769,830,12283,786,13897,1111,9976,588,11681,1620,7875,450,9948,1414,5591,354,7361,639,3951,310,4900,360,2592,260,3216,140,1171,222,1543,6563,50682,3442,60688,152,3019,181,3353,369,4054,233,4657,1156,12828,706,14685,1690,9997,521,12205,2594,7446,403,10441,2201,5442,320,7959,1049,4279,333,5666,525,3293,323,4143,132,1914,368,2406,9865,52266,3398,65528,318,6075,335,6729,635,8234,552,9424,1987,25109,1495,28587,2810,19978,1108,23888,4212,15328,853,20391,3616,11032,672,15323,1692,8230,642,10566,891,5883,582,7356,271,3085,591,3949,16425,102951,6840,126214
LGA22110,70,990,148,1209,56,803,81,937,180,1731,184,2099,252,1670,203,2122,412,1981,229,2620,584,2840,300,3725,520,3560,331,4408,275,1953,239,2464,70,468,104,640,2424,16001,1816,20241,96,875,127,1099,81,718,80,874,284,1807,195,2284,447,1717,205,2372,720,2044,232,2992,954,2797,279,4027,701,3237,316,4258,292,1875,236,2408,44,657,177,877,3621,15718,1844,21189,174,1866,271,2307,140,1519,161,1816,470,3535,379,4378,701,3389,407,4496,1135,4021,457,5618,1533,5633,582,7752,1219,6800,651,8664,563,3830,476,4873,115,1120,283,1516,6040,31720,3660,41422
LGA22170,167,3723,244,4132,207,3457,228,3893,628,8065,614,9306,1047,7929,579,9551,1302,7441,581,9322,1315,6405,459,8179,845,4883,335,6062,348,2649,275,3272,112,817,177,1106,5971,45373,3479,54823,193,3241,257,3696,298,3340,218,3863,1077,8103,591,9767,1778,7817,548,10147,2195,6999,472,9666,2105,6273,377,8752,1224,5300,335,6858,420,3163,380,3965,84,1460,363,1913,9371,45702,3543,58620,361,6962,497,7827,504,6804,449,7760,1708,16168,1204,19076,2827,15746,1128,19695,3498,14437,1047,18983,3421,12678,831,16928,2067,10189,664,12919,769,5812,658,7236,195,2281,540,3017,15342,91069,7023,113444
LGA22250,11,222,20,242,15,187,34,242,34,372,32,440,60,380,57,495,87,493,49,633,124,633,62,826,127,686,85,898,56,425,46,524,18,132,27,179,526,3542,418,4484,17,197,33,243,20,173,10,198,72,336,33,440,88,374,50,512,146,458,61,662,202,586,60,846,156,615,76,848,62,418,62,543,10,188,31,234,777,3336,419,4526,22,412,53,494,40,356,42,438,106,713,67,884,149,753,108,1013,238,947,107,1293,326,1224,118,1670,281,1306,160,1744,121,842,109,1068,27,320,56,409,1306,6876,833,9007
LGA22310,178,3964,132,4276,324,4217,232,4766,631,9795,618,11037,1025,9110,448,10579,1592,7835,324,9747,1556,5958,249,7756,900,4988,244,6133,376,2586,177,3136,169,1124,109,1396,6740,49575,2520,58836,202,3711,152,4062,354,4149,190,4695,771,10066,562,11399,1426,9469,421,11322,2566,7739,327,10630,2419,5682,241,8338,1359,5214,328,6896,526,3289,276,4084,115,2168,295,2577,9726,51478,2792,64003,381,7678,284,8338,672,8371,421,9462,1403,19853,1180,22436,2454,18579,867,21899,4158,15571,648,20378,3969,11630,490,16099,2252,10201,574,13025,900,5878,448,7220,280,3295,398,3979,16468,101053,5310,122840
LGA22410,28,494,56,578,22,408,37,471,78,753,74,910,122,790,80,990,196,994,99,1288,256,1297,111,1668,189,1282,110,1587,80,612,78,762,18,175,31,222,990,6808,679,8470,23,452,41,519,35,321,29,386,128,763,62,959,209,763,95,1066,317,985,73,1377,393,1171,93,1659,235,1137,105,1480,80,633,71,781,12,316,40,375,1438,6546,608,8590,55,947,99,1091,56,731,65,852,206,1520,137,1865,330,1553,172,2050,514,1975,180,2667,652,2471,203,3330,428,2422,209,3059,154,1240,146,1545,30,493,72,594,2423,13350,1287,17065
LGA22490,40,782,57,875,39,547,37,614,92,1133,72,1290,182,1328,91,1603,290,1479,106,1875,275,1263,77,1617,191,1090,90,1379,58,446,42,545,9,82,3,96,1176,8141,573,9891,52,701,52,802,47,439,33,516,143,1054,59,1258,330,1342,80,1750,440,1285,91,1818,446,1095,86,1626,249,890,60,1197,66,360,38,462,7,141,14,161,1765,7302,517,9589,84,1488,110,1681,82,982,62,1129,234,2179,132,2547,517,2663,170,3348,729,2769,199,3693,719,2355,163,3234,441,1980,151,2568,124,800,82,1007,16,218,23,258,2944,15443,1090,19477
LGA22620,153,3121,251,3525,208,3166,223,3601,544,6496,509,7547,799,5726,453,6981,1046,5548,478,7072,1252,5484,461,7199,915,5192,408,6518,421,2799,308,3527,129,912,172,1212,5465,38437,3267,47166,221,3060,216,3492,288,3177,181,3650,985,6670,483,8147,1441,5789,463,7693,1821,5368,413,7605,2121,5549,430,8098,1366,5284,379,7032,535,3072,364,3970,84,1498,303,1886,8869,39465,3235,51561,374,6175,462,7017,493,6341,407,7245,1532,13169,992,15687,2243,11516,915,14674,2867,10918,891,14673,3375,11031,898,15299,2279,10474,788,13545,952,5873,670,7499,219,2405,473,3097,14333,77903,6496,98733
LGA22670,165,3962,283,4412,299,5238,475,6008,879,12502,1406,14783,1105,9813,925,11844,1073,7648,617,9338,924,6846,572,8340,682,5291,382,6356,411,3108,294,3811,119,1103,117,1346,5661,55515,5062,66239,195,3692,296,4188,382,4630,365,5378,1210,10769,1013,12996,1505,8930,766,11202,1540,7051,541,9133,1451,6378,477,8304,1084,5498,431,7013,426,3535,324,4288,88,1783,184,2061,7881,52281,4403,64563,365,7656,577,8601,683,9871,841,11392,2090,23273,2419,27782,2612,18743,1685,23041,2611,14698,1159,18472,2373,13220,1049,16646,1767,10794,809,13369,838,6643,622,8102,204,2889,306,3400,13542,107796,9463,130795
LGA22750,319,6937,451,7711,456,7659,637,8754,1181,16469,1518,19168,1674,13807,1179,16663,2381,12502,976,15855,2548,11718,809,15080,1862,11295,759,13910,940,6074,579,7589,246,2049,325,2619,11597,88508,7233,107346,396,6578,408,7379,604,7387,462,8452,1906,16178,955,19032,2929,13944,874,17750,4123,12271,732,17127,4525,11873,685,17086,2779,12152,845,15775,1100,7230,786,9113,157,3466,614,4228,18516,91066,6361,115941,716,13516,861,15088,1056,15048,1106,17203,3084,32645,2465,38200,4601,27754,2053,34409,6508,24775,1706,32985,7071,23587,1503,32161,4637,23442,1600,29684,2042,13300,1366,16706,400,5513,934,6844,30115,179579,13592,223284
LGA22830,87,1872,227,2187,124,1639,196,1961,290,3595,466,4353,417,3155,397,3967,603,3305,380,4288,638,3174,349,4157,450,2793,280,3524,240,1600,204,2044,64,497,86,645,2911,21626,2588,27123,125,1638,174,1933,160,1562,155,1881,524,3633,385,4540,747,3102,361,4207,1033,2916,295,4245,1052,2982,311,4344,683,2756,260,3694,242,1708,270,2217,47,826,132,1004,4607,21119,2340,28064,211,3506,401,4124,284,3205,351,3838,819,7223,855,8899,1167,6256,750,8176,1634,6217,676,8527,1682,6154,659,8503,1128,5553,541,7214,480,3305,473,4255,107,1323,221,1649,7514,42746,4924,55188
LGA22910,22,315,33,379,21,203,18,244,55,530,48,635,96,684,62,844,175,919,93,1188,219,1085,104,1397,168,1148,106,1426,72,507,70,651,20,119,47,183,848,5511,583,6943,16,305,31,353,20,180,15,219,85,516,64,661,164,663,78,901,260,899,87,1242,384,1042,102,1529,266,1066,119,1451,84,486,87,656,9,217,62,284,1288,5381,633,7309,41,621,63,724,41,383,39,462,139,1050,111,1297,260,1346,141,1748,437,1818,176,2432,598,2128,204,2927,432,2224,222,2881,154,988,158,1311,27,341,103,467,2128,10898,1222,14251
LGA22980,15,149,17,178,19,95,10,119,27,259,9,298,28,211,26,270,52,239,19,303,84,372,23,474,49,345,36,418,20,193,30,248,10,80,21,115,309,1941,181,2435,15,103,11,131,14,82,0,101,23,265,15,309,53,189,17,259,76,259,17,355,111,306,18,438,77,265,25,360,34,213,36,290,6,122,40,165,420,1814,187,2417,26,257,30,303,29,181,8,214,55,528,32,610,87,406,40,533,126,499,32,664,204,670,45,918,118,609,52,784,62,410,66,537,20,207,62,282,727,3756,365,4851
LGA23110,86,2078,119,2278,171,2058,151,2378,376,5304,448,6136,690,5844,434,6963,946,4961,313,6215,919,4262,237,5420,484,3157,168,3815,228,1678,135,2040,94,646,51,790,3986,29991,2051,36029,111,1988,105,2202,162,1902,111,2180,559,5314,420,6293,1058,5883,345,7283,1526,4867,292,6685,1467,3974,202,5651,765,3279,194,4241,265,2095,147,2515,63,1138,118,1322,5977,30437,1940,38359,189,4065,219,4474,331,3960,262,4555,933,10624,868,12426,1745,11725,773,14248,2467,9831,603,12897,2391,8236,437,11063,1249,6437,367,8051,496,3767,287,4548,160,1780,175,2115,9963,60425,3998,74390
LGA23190,15,573,53,644,26,502,41,571,85,1090,96,1265,119,920,61,1098,176,925,51,1150,226,1050,80,1360,159,873,71,1101,74,520,54,641,23,203,27,251,901,6659,523,8090,30,481,44,549,47,486,49,575,141,1074,69,1287,211,899,57,1171,272,933,59,1266,388,954,53,1395,197,904,61,1166,89,622,78,782,16,354,38,401,1392,6706,505,8603,44,1047,96,1196,73,985,90,1149,227,2169,163,2557,331,1820,117,2267,449,1860,114,2421,615,2009,132,2759,359,1779,125,2266,160,1142,124,1425,36,557,62,656,2291,13365,1030,16691
LGA23270,323,6962,558,7839,477,7496,644,8621,1502,16758,1623,19882,1986,15337,1389,18708,1898,11223,913,14034,1711,9821,688,12222,974,6350,403,7727,439,3023,257,3715,84,805,100,989,9405,77764,6574,93744,453,6447,480,7385,726,6733,504,7961,2406,16466,1342,20214,3190,14113,1176,18474,3258,10568,857,14686,2905,8961,622,12498,1391,6715,425,8531,439,3395,338,4173,60,1271,153,1481,14824,74677,5903,95401,776,13407,1040,15225,1213,14225,1151,16584,3910,33218,2967,40097,5175,29443,2565,37187,5153,21795,1770,28715,4618,18783,1320,24719,2366,13064,830,16262,880,6417,597,7891,144,2078,252,2473,24233,152440,12475,189145
LGA23350,29,417,47,492,18,238,37,293,47,594,93,733,109,715,100,918,161,914,102,1180,197,1056,110,1366,165,1002,80,1239,72,534,54,660,13,122,15,146,811,5588,628,7022,31,407,48,493,36,248,19,294,85,601,47,730,180,781,61,1025,303,893,78,1276,335,1023,71,1430,227,942,60,1227,76,444,56,574,11,210,29,251,1284,5550,461,7297,62,827,94,985,54,479,57,592,129,1198,138,1463,287,1494,160,1945,468,1804,172,2453,540,2079,180,2796,385,1948,135,2468,145,978,110,1232,29,330,44,394,2096,11137,1090,14324
LGA23430,195,4008,160,4365,249,3882,215,4345,593,8792,553,9933,1074,9411,453,10934,1734,8857,390,10981,1608,7249,329,9188,961,5821,308,7082,516,3451,284,4253,163,1340,124,1629,7080,52816,2823,62717,192,3902,137,4234,309,3531,155,3998,818,8621,476,9916,1656,9725,434,11819,2758,8738,369,11867,2604,7086,318,10018,1535,6390,375,8305,651,4295,339,5287,127,2413,235,2773,10668,54710,2832,68202,387,7908,297,8594,557,7413,368,8339,1408,17417,1028,19848,2730,19139,886,22756,4494,17596,759,22848,4213,14341,648,19205,2496,12210,681,15387,1168,7752,622,9541,294,3752,360,4401,17747,107521,5651,130919
LGA23670,215,4461,166,4843,256,4586,189,5036,667,8889,470,10030,1104,9351,420,10879,1503,8491,360,10352,1573,7983,275,9838,1022,6243,249,7519,504,3307,241,4047,140,1045,148,1333,6994,54353,2534,63878,233,4080,161,4472,337,4105,187,4627,1014,8778,399,10190,1672,9335,396,11402,2450,8440,307,11196,2661,7735,295,10687,1502,6675,306,8477,556,3950,342,4851,78,1839,287,2203,10504,54927,2685,68114,450,8537,330,9314,596,8689,382,9661,1688,17666,872,20219,2778,18682,824,22280,3952,16926,667,21548,4234,15721,573,20530,2522,12923,553,15998,1065,7253,579,8898,216,2880,438,3540,17493,109283,5219,131987
LGA23810,86,1926,224,2234,141,1818,182,2141,338,4014,402,4756,491,3420,361,4277,660,3472,373,4501,796,3940,372,5111,601,3635,336,4572,321,1830,237,2389,76,560,120,752,3513,24620,2604,30738,132,1786,192,2110,180,1784,195,2157,631,4008,408,5052,884,3329,382,4592,1140,3349,326,4819,1338,3845,362,5544,794,3611,344,4750,350,2042,285,2678,39,962,190,1193,5474,24727,2686,32889,222,3717,411,4347,320,3598,376,4299,970,8028,810,9809,1373,6753,745,8868,1796,6825,692,9314,2140,7781,734,10657,1396,7249,680,9321,670,3877,523,5066,112,1521,313,1947,8990,49343,5287,63627
LGA23940,12,154,24,189,10,109,18,137,23,235,22,287,49,263,36,349,58,379,61,499,118,520,82,719,90,536,74,693,40,252,51,351,7,93,28,127,409,2543,398,3348,15,157,27,200,11,103,17,126,41,265,25,332,55,241,47,344,125,305,57,491,154,441,72,670,123,416,68,602,34,224,49,303,5,127,47,180,570,2277,401,3251,24,308,47,387,24,209,37,264,67,499,56,618,103,506,83,694,185,682,117,988,274,959,150,1388,209,952,143,1299,76,470,99,651,11,221,73,308,979,4818,808,6602
LGA24130,105,1474,124,1703,80,984,68,1131,159,1888,126,2166,361,2623,158,3142,504,3052,201,3763,511,2737,209,3463,370,2346,167,2881,165,1253,125,1532,32,285,47,365,2280,16641,1227,20143,91,1368,110,1566,90,837,78,1011,255,1926,115,2299,591,2770,175,3533,907,2962,211,4072,913,2464,173,3547,548,2336,170,3061,186,1157,119,1466,18,428,93,531,3598,16247,1242,21092,194,2842,237,3268,174,1825,141,2138,416,3811,238,4469,951,5393,334,6672,1411,6015,414,7838,1427,5197,382,7007,916,4683,337,5937,341,2408,242,2999,48,714,135,893,5878,32888,2467,41232
LGA24210,175,3583,123,3883,244,3527,129,3900,454,5910,289,6652,815,6487,302,7610,1389,6289,290,7963,1485,5816,205,7507,841,4908,191,5943,595,3808,215,4619,230,1549,155,1930,6234,41880,1901,50015,157,3225,102,3476,256,3076,108,3442,576,5874,288,6739,1267,6881,308,8454,2104,6375,271,8751,2236,5927,243,8406,1317,5562,239,7122,727,4527,271,5528,155,2239,231,2630,8797,43681,2062,54541,332,6805,221,7356,499,6606,235,7339,1033,11780,577,13388,2082,13369,606,16055,3494,12661,559,16718,3721,11740,454,15921,2156,10476,433,13063,1328,8334,487,10148,389,3787,384,4558,15028,85562,3967,104556
LGA24250,16,226,22,258,11,143,16,170,23,361,32,418,44,441,56,545,78,482,51,609,114,644,65,818,96,690,62,849,42,316,33,390,5,82,5,92,425,3378,350,4152,12,249,33,300,7,118,17,138,34,377,41,453,62,474,40,582,146,431,48,624,182,617,78,884,135,589,69,796,46,290,30,370,7,126,9,139,641,3276,363,4277,24,479,54,557,13,258,32,304,64,738,68,870,111,913,105,1127,218,910,104,1229,295,1268,138,1703,230,1280,129,1645,91,610,60,762,14,207,19,239,1071,6652,717,8430
LGA24330,66,1556,100,1723,148,2485,212,2853,493,8495,764,9751,722,6528,462,7715,743,4375,323,5444,619,3174,255,4048,289,2079,178,2551,133,955,109,1197,47,399,59,500,3260,30048,2464,35770,81,1535,88,1707,168,2374,190,2725,744,8154,613,9507,966,6204,377,7546,1118,4110,259,5489,911,3058,213,4179,427,2119,153,2702,142,1195,134,1476,34,659,154,846,4596,29404,2175,36173,150,3093,190,3426,316,4857,403,5577,1236,16643,1371,19257,1690,12725,839,15258,1866,8489,576,10931,1529,6232,463,8225,718,4202,336,5253,273,2153,245,2669,78,1059,215,1348,7849,59456,4639,71946
LGA24410,143,3160,107,3409,200,3022,118,3342,471,6486,324,7285,870,6968,326,8167,1157,5963,281,7398,1169,5098,215,6480,715,3982,181,4877,389,2299,190,2878,128,781,147,1055,5233,37766,1879,44880,156,2822,101,3074,238,2764,91,3102,828,6605,315,7750,1415,6977,312,8700,1873,5881,210,7964,1919,5003,209,7135,1117,4543,229,5890,436,2976,284,3699,81,1402,346,1829,8066,38976,2097,49138,296,5977,206,6483,433,5794,210,6438,1304,13092,640,15033,2279,13951,631,16863,3032,11843,487,15364,3089,10105,425,13610,1825,8521,413,10760,824,5273,476,6580,210,2183,490,2883,13301,76740,3980,94018
LGA24600,102,2489,230,2817,291,10579,923,11789,871,23447,2259,26571,733,10486,1129,12351,630,4765,558,5948,602,3560,398,4562,363,2586,259,3205,163,1239,149,1553,32,357,70,464,3782,59507,5972,69256,114,3125,256,3493,408,11965,1018,13392,989,23300,2101,26393,875,9082,861,10818,884,4449,462,5790,908,3428,342,4679,580,2528,277,3384,198,1243,140,1590,27,600,99,726,4985,59717,5552,70262,217,5611,485,6310,694,22541,1946,25180,1864,46743,4354,52962,1604,19571,1991,23170,1510,9215,1012,11740,1508,6988,742,9236,941,5116,533,6589,362,2487,295,3141,55,965,164,1188,8767,119223,11524,139515
LGA24650,260,5200,419,5878,290,4927,652,5868,883,11191,1684,13765,1542,12283,1477,15299,1409,9038,860,11301,948,5920,501,7369,639,4189,287,5121,270,1690,190,2153,35,345,59,441,6278,54790,6136,67200,326,4987,381,5685,424,4466,354,5252,1571,11856,1138,14564,2438,11805,995,15237,2361,8187,633,11187,1601,5726,415,7737,935,4410,283,5629,243,1754,174,2168,34,598,83,714,9923,53791,4451,68167,583,10183,800,11568,713,9395,1012,11121,2456,23046,2827,28329,3977,24090,2473,30533,3775,17225,1492,22490,2546,11645,915,15104,1575,8600,572,10748,515,3448,358,4321,69,946,140,1154,16201,108579,10588,135368
LGA24780,75,1424,180,1680,91,1424,145,1650,264,3136,369,3774,324,2583,321,3238,429,2683,324,3438,525,2772,325,3618,353,2394,269,3016,186,1314,179,1677,52,435,81,568,2298,18160,2196,22661,99,1342,158,1600,135,1263,130,1526,439,3057,354,3851,633,2526,324,3481,803,2570,267,3636,894,2594,280,3765,523,2344,258,3121,222,1415,200,1834,40,796,123,956,3785,17899,2080,23768,173,2762,340,3279,225,2684,269,3176,706,6192,723,7619,960,5113,648,6720,1232,5253,593,7076,1414,5364,599,7383,876,4737,525,6137,402,2723,381,3505,93,1232,198,1526,6083,36057,4277,46427
