LGA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA21890,14054,2606,796,46,8,17502,10828,4589,2138,52,4,17605,5476,6386,4850,165,15,16891,607,944,586,3,0,2136,104,125,130,0,0,367,1441,880,500,49,4,2877,183,83,55,13,0,334,34,41,22,0,0,104,7850,8454,6152,231,21,22711,427,285,100,9,3,831,479,238,105,9,9,842,33636,16180,9283,341,44,59488
LGA22110,9028,408,28,196,19,9685,5227,111,9,6,13,5363,1534,376,62,10,0,1985,276,147,22,0,0,442,103,62,9,0,4,178,911,80,12,11,10,1023,108,24,13,42,4,186,23,16,0,5,0,40,2955,702,122,65,26,3863,310,77,5,6,0,399,374,48,4,22,12,459,17897,1340,168,297,68,19771
LGA22170,12510,1865,127,60,14,14579,19217,2476,190,11,8,21907,7091,2978,642,17,18,10746,708,367,76,0,3,1154,112,116,33,3,3,273,1580,498,85,13,0,2179,167,67,20,181,0,435,40,29,15,7,0,83,9696,4061,867,214,26,14866,332,520,56,4,0,923,526,175,34,10,3,745,42288,9090,1284,307,50,53019
LGA22250,2150,59,0,22,3,2234,1067,6,0,6,5,1083,278,67,0,0,0,347,55,32,3,0,0,83,0,4,0,0,0,6,245,24,0,0,3,270,60,3,0,4,0,70,10,0,0,0,0,10,647,124,7,9,3,785,130,0,0,4,0,136,91,8,0,15,4,119,4083,196,7,55,19,4359
LGA22310,12075,3934,2216,24,13,18266,10201,4411,3962,39,8,18615,3603,3902,8258,101,22,15886,55,162,212,0,0,432,28,60,161,0,0,255,902,842,970,29,3,2750,63,46,79,0,0,183,21,26,35,0,0,84,4672,5037,9716,138,29,19594,318,240,305,3,6,874,261,156,198,5,0,627,27526,13778,16397,208,56,57971
LGA22410,3629,98,17,36,7,3792,2435,36,3,8,3,2483,530,140,43,7,0,724,155,79,4,0,0,241,21,7,3,0,0,32,423,38,4,3,0,472,64,12,7,20,0,99,9,5,0,0,0,15,1200,286,62,29,4,1582,182,3,7,3,0,189,128,14,0,6,0,152,7578,435,87,74,16,8190
LGA22490,3020,26,0,4,5,3057,4375,27,5,3,0,4409,280,35,5,0,0,316,0,0,0,0,0,0,7,0,0,0,0,7,204,7,0,0,0,215,54,0,0,0,0,52,0,0,0,0,0,0,544,43,5,3,0,593,128,0,0,0,0,126,104,0,0,0,0,102,8169,95,7,14,4,8287
LGA22620,15385,603,56,89,33,16172,16217,380,47,18,27,16683,6388,1399,163,18,10,7978,873,405,81,0,0,1365,225,117,24,0,0,364,2213,233,38,12,14,2508,184,21,8,15,6,232,53,11,3,0,0,66,9941,2189,312,41,34,12514,529,50,5,5,0,589,549,70,15,10,4,643,42612,3291,436,162,95,46599
LGA22670,13448,1353,657,36,4,15503,12620,2469,1044,7,7,16145,6129,3539,2479,13,23,12187,789,575,317,0,0,1682,91,92,98,0,4,283,1948,557,288,11,11,2810,589,176,82,129,7,978,71,32,25,3,0,131,9618,4971,3286,158,42,18071,523,171,194,6,0,895,709,194,149,10,3,1063,36911,9162,5323,215,61,51670
LGA22750,32200,2469,456,224,23,35370,33754,1708,348,23,29,35858,15137,3836,1283,43,33,20334,1583,880,114,0,0,2577,337,347,76,5,9,774,3561,711,169,24,17,4480,348,113,26,169,8,660,108,51,9,4,0,169,21072,5939,1676,239,70,28994,1214,521,30,57,3,1828,1168,230,50,12,4,1462,89397,10866,2558,556,132,103508
LGA22830,7861,411,9,233,6,8516,8074,157,3,19,13,8264,2856,1002,16,10,5,3896,606,226,10,4,0,843,119,64,25,14,0,224,1265,145,3,26,3,1441,262,59,0,88,4,412,58,24,0,5,0,84,5165,1515,53,146,18,6899,379,83,0,94,0,552,427,83,0,42,5,557,21909,2241,66,528,44,24795
LGA22910,3168,47,21,38,6,3276,2262,21,4,7,5,2299,383,33,20,8,0,441,29,24,35,0,0,88,7,22,4,0,0,34,354,14,3,10,4,389,30,0,0,9,0,42,4,3,0,0,0,6,814,99,57,32,4,1004,122,9,12,0,0,158,95,5,9,0,0,110,6470,177,100,80,20,6846
LGA22980,1194,22,5,10,8,1235,617,0,0,0,0,623,147,35,13,0,0,193,18,7,0,0,0,23,0,0,7,0,0,10,126,3,0,0,0,136,31,6,0,0,0,35,3,0,5,0,0,4,316,49,25,4,0,393,85,0,0,0,0,87,31,3,0,0,0,34,2241,74,30,14,7,2367
LGA23110,9547,1904,346,5,9,11808,8509,2840,480,13,8,11849,4017,2548,980,37,12,7592,234,293,253,0,0,781,60,65,67,0,0,193,899,321,122,10,3,1358,115,45,12,0,5,184,38,14,8,0,0,59,5364,3289,1444,48,20,10164,251,109,35,3,0,396,304,96,41,0,4,443,23967,8236,2350,69,43,34663
LGA23190,3097,71,50,14,0,3237,2598,17,13,0,3,2625,973,125,181,5,0,1284,178,65,45,0,0,288,12,5,18,0,0,36,323,19,28,0,0,368,30,4,12,5,0,52,6,4,5,0,0,14,1527,220,288,6,0,2036,130,29,11,0,0,171,119,15,13,0,0,146,7469,351,371,21,8,8216
LGA23270,17133,973,401,9,7,18528,33348,2101,457,0,16,35925,9758,2605,808,0,14,13189,1045,295,226,0,3,1561,126,45,68,0,0,241,2478,371,158,11,6,3027,674,106,36,93,6,909,112,21,5,5,5,140,14185,3443,1300,107,36,19067,691,146,32,0,0,874,1131,157,45,7,6,1343,66487,6828,2242,123,67,75740
LGA23350,2772,64,3,33,6,2879,2410,35,7,13,10,2470,437,60,17,5,0,517,57,24,4,0,0,80,11,12,0,0,0,24,303,19,5,5,6,335,34,4,0,3,0,37,4,4,0,0,0,6,838,126,20,9,7,1001,126,4,7,3,3,143,109,8,5,5,0,131,6253,236,37,68,22,6615
LGA23430,14678,4486,1815,98,5,21078,14887,5284,2630,37,10,22854,4045,4189,3355,57,15,11669,305,337,304,0,0,949,74,74,104,0,0,257,922,679,445,26,9,2076,89,71,32,74,5,266,38,15,18,0,0,72,5474,5366,4257,162,32,15286,400,222,316,7,0,942,421,216,139,5,0,776,35855,15576,9155,306,48,60940
LGA23670,17438,1957,257,10,7,19667,20687,2426,432,8,7,23561,6701,1949,429,15,0,9103,506,257,153,0,0,925,63,85,92,0,3,249,1378,267,87,6,3,1743,85,51,4,0,0,139,34,18,4,0,0,54,8771,2629,769,24,13,12210,465,777,42,6,5,1291,496,163,29,0,3,693,47854,7959,1531,47,37,57422
LGA23810,10578,404,370,67,13,11434,10039,165,103,8,10,10327,3322,590,745,4,6,4662,708,261,213,0,0,1185,147,60,46,0,0,253,1231,93,87,5,9,1427,116,23,26,25,0,192,35,19,12,0,0,71,5562,1044,1129,31,12,7784,240,121,40,3,0,407,514,64,58,9,0,655,26943,1802,1703,124,34,30610
LGA23940,1640,27,0,27,5,1698,747,3,0,5,0,756,66,7,0,0,0,73,13,21,0,0,0,32,4,3,0,0,0,11,175,7,0,3,0,186,49,4,0,9,0,60,4,0,0,0,0,4,307,42,0,13,0,365,136,0,0,5,3,145,81,0,0,3,0,90,2907,70,4,56,12,3049
LGA24130,6594,323,10,28,3,6962,7979,147,18,33,0,8182,1127,292,22,13,4,1456,106,53,5,0,0,165,36,49,4,0,0,88,545,87,0,9,5,643,52,5,0,11,0,73,8,0,0,0,0,6,1868,492,29,33,6,2432,234,18,0,6,0,258,200,15,0,5,4,219,16880,1000,56,102,17,18060
LGA24210,15692,2450,1154,3,6,19296,10898,2407,1336,4,13,14648,3760,1753,1724,8,11,7255,59,57,49,0,0,165,10,18,58,0,3,90,856,295,239,0,3,1391,70,30,20,0,3,126,21,6,5,0,0,30,4779,2154,2099,8,19,9064,451,319,296,0,6,1067,317,106,72,0,0,500,32131,7437,4958,11,35,44574
LGA24250,1746,35,0,17,3,1801,1181,21,3,9,3,1214,278,49,0,0,0,331,40,5,0,0,0,51,3,0,0,0,0,3,172,9,4,0,0,188,29,0,0,4,0,33,3,0,0,0,0,4,526,66,9,3,0,605,125,0,0,0,0,132,65,9,0,0,0,72,3649,127,13,30,9,3830
LGA24330,5216,1172,690,29,5,7110,6251,2797,2149,37,3,11243,3344,2489,4579,78,20,10506,404,820,307,0,4,1530,66,63,154,0,0,280,875,471,458,32,0,1829,83,58,64,20,3,228,27,16,22,0,0,68,4801,3912,5579,123,31,14440,233,117,72,5,0,421,235,117,125,4,3,485,16731,8118,8613,197,42,33695
LGA24410,13123,774,250,0,7,14161,15644,1188,540,0,12,17390,5951,1103,677,11,12,7748,487,217,79,0,0,786,104,112,45,0,4,258,1230,173,75,9,3,1496,85,17,7,0,0,117,22,13,8,0,0,35,7881,1641,890,15,18,10437,497,63,8,0,0,575,354,72,22,0,0,448,37499,3734,1711,23,40,43006
LGA24600,568,1992,7034,19,18,9627,485,1928,8914,14,17,11360,361,2778,36271,61,128,39601,14,316,1650,0,3,1978,3,85,440,8,0,533,98,699,3934,23,23,4784,5,47,494,9,7,563,0,10,106,0,4,116,486,3934,42895,99,169,47582,37,157,1195,4,7,1400,13,78,679,0,25,795,1576,8095,60718,131,238,70760
LGA24650,10911,922,81,40,5,11956,27457,1377,127,0,23,28982,8334,1265,149,0,12,9760,209,129,0,0,0,343,76,68,0,0,0,147,1544,184,33,4,0,1764,202,63,0,65,5,332,56,18,0,3,0,78,10421,1724,183,72,16,12424,398,217,9,4,5,631,790,118,4,8,0,914,49974,4353,409,122,56,54907
LGA24780,6433,351,141,136,16,7085,6612,162,59,4,0,6840,2419,622,470,8,7,3526,386,203,112,0,0,698,62,42,75,0,0,176,1199,150,94,13,10,1470,248,18,30,77,5,381,46,16,19,16,0,96,4357,1046,803,114,32,6347,378,47,63,9,8,511,389,52,41,11,0,495,18178,1662,1106,281,57,21283
LGA24850,4569,295,8,15,7,4896,7885,195,9,3,7,8100,1938,294,10,4,9,2251,216,91,3,0,0,303,23,19,0,0,0,43,558,66,0,0,0,626,278,17,0,14,5,310,14,6,0,0,0,20,3023,487,14,12,13,3550,178,79,0,5,0,255,292,33,0,9,4,338,15944,1094,36,43,23,17140
LGA24900,4925,239,6,99,9,5277,3489,81,4,9,5,3585,989,323,14,5,0,1330,153,102,0,0,0,254,16,29,0,0,0,44,586,62,4,5,0,660,121,11,0,32,0,160,10,8,0,0,0,21,1877,526,18,46,5,2467,279,13,0,6,4,296,234,40,0,10,0,290,10801,890,30,176,17,11917
LGA24970,20120,2143,1903,4,10,24180,14847,3046,2279,0,9,20185,7480,3771,4121,19,20,15420,456,233,388,0,0,1081,75,68,194,0,0,341,1748,647,509,6,5,2913,196,77,76,4,4,357,37,25,23,0,0,89,9992,4834,5323,21,34,20201,595,382,551,3,4,1532,578,156,138,0,3,876,46139,10558,10187,30,56,66979
LGA25060,12405,2626,1300,35,7,16375,9213,3333,2225,24,7,14800,3204,3202,4997,61,12,11472,97,247,1373,0,0,1713,36,34,140,0,0,212,756,445,581,23,4,1802,68,29,45,0,0,146,22,14,23,0,0,58,4181,3967,7153,88,15,15408,361,127,130,0,0,626,314,106,183,3,0,604,26470,10166,10994,145,35,47814
LGA25150,4091,197,10,23,3,4328,6240,139,0,7,3,6386,1094,312,4,8,4,1418,152,36,35,0,0,220,13,50,4,0,0,73,430,58,13,3,0,507,47,8,10,19,0,80,14,8,0,0,0,21,1751,468,68,30,3,2320,260,18,0,6,0,277,168,13,6,0,0,190,12518,829,85,58,14,13500
LGA25250,14834,3013,1131,46,19,19041,12227,5793,3040,49,18,21127,5785,7560,6844,142,21,20348,411,588,369,0,5,1361,39,70,106,0,0,217,1681,1078,774,47,4,3588,201,108,48,6,6,371,42,25,19,0,0,90,8158,9433,8162,189,30,25980,484,254,126,8,0,870,513,219,120,6,3,856,36218,18715,12575,295,74,67871
LGA25340,23554,2584,725,290,17,27174,20826,1362,298,11,7,22504,6118,1578,484,26,9,8216,529,213,115,0,0,858,55,49,0,0,0,108,1877,289,109,14,6,2299,343,49,9,80,3,485,61,13,3,3,0,81,8982,2198,722,124,18,12048,1041,724,96,13,3,1879,800,194,40,13,5,1048,55205,7055,1886,450,52,64650
LGA25430,3979,61,3,17,4,4068,2773,23,0,3,0,2805,543,52,5,3,0,606,60,82,3,0,0,146,28,6,0,0,0,36,411,13,5,5,3,432,28,0,0,7,0,29,8,0,0,0,0,6,1069,159,4,18,0,1259,129,3,0,0,0,137,118,12,0,0,0,125,8075,257,13,33,10,8396
LGA25490,2810,52,7,10,4,2884,2092,17,0,0,0,2114,347,42,0,0,0,394,26,28,0,0,0,47,3,4,0,0,0,10,380,21,3,4,5,409,124,5,0,7,0,130,6,0,0,0,0,5,883,96,3,9,6,999,307,4,0,0,0,309,128,0,0,0,0,134,6221,176,10,26,9,6439
LGA25620,2712,20,4,101,7,2849,2101,3,0,4,0,2108,358,46,0,3,3,413,29,16,0,0,0,45,10,3,0,0,0,13,252,10,0,3,0,270,56,0,0,7,0,65,7,0,0,0,0,11,714,81,0,17,6,808,119,3,0,8,5,128,97,4,0,5,4,107,5738,106,6,133,19,6006
LGA25710,8151,186,218,5,0,8552,9634,253,186,0,3,10079,921,183,132,0,0,1237,45,45,12,0,0,100,7,0,0,0,0,14,386,38,30,3,0,458,36,4,3,0,5,37,6,0,0,0,0,7,1402,268,181,7,5,1858,208,12,16,0,0,235,168,8,14,0,0,183,19557,726,609,9,9,20912
LGA25810,2302,22,16,13,4,2359,1314,4,3,0,3,1321,361,56,49,3,3,471,72,30,19,0,0,115,20,9,17,0,0,45,229,15,9,7,0,265,57,0,6,14,0,79,6,4,4,0,0,6,735,116,108,23,4,984,124,0,3,0,0,129,88,0,10,0,3,105,4569,145,139,41,8,4903
LGA25900,1838,3710,4599,71,10,10230,1496,3404,7242,123,11,12272,616,2779,15925,281,11,19614,3,546,1255,0,0,1811,5,63,513,4,9,590,176,604,1974,67,11,2831,13,21,103,8,7,141,7,4,60,0,0,76,817,4027,19832,354,37,25066,54,162,401,8,3,625,40,106,375,5,4,527,4239,11406,32443,564,81,48731
LGA25990,1491,4,0,18,4,1516,943,0,0,0,4,952,103,6,0,0,0,111,5,13,0,0,0,18,0,0,0,0,0,0,175,0,0,0,0,183,30,3,0,4,0,40,0,3,0,0,0,3,321,25,0,5,0,349,94,0,0,0,0,92,60,0,0,0,0,62,2908,27,3,29,10,2976
LGA26080,830,47,13,9,0,897,266,5,3,4,0,277,94,12,8,0,0,117,0,9,0,0,0,9,0,0,0,0,0,0,48,8,7,4,0,68,7,0,0,0,0,3,4,0,0,0,0,0,151,29,21,5,0,207,35,3,0,0,0,42,15,4,0,0,0,25,1300,92,32,10,4,1441
LGA26170,5514,104,13,35,9,5680,3932,29,5,7,9,3984,797,76,24,9,0,905,84,35,19,0,0,136,28,12,23,0,0,65,520,22,6,5,5,553,105,9,7,22,0,144,17,4,0,0,0,23,1559,156,80,35,6,1828,237,21,11,0,0,271,225,16,4,3,0,246,11464,331,111,78,18,12001
LGA26260,3057,60,13,14,0,3145,1938,23,3,3,0,1970,444,98,54,5,0,595,132,29,15,0,0,172,16,24,0,0,0,45,391,24,0,3,3,429,73,13,0,14,0,101,11,14,0,0,0,23,1066,196,72,19,0,1357,227,19,3,0,6,253,114,6,0,0,0,123,6400,304,96,38,11,6844
LGA26350,6319,3102,3679,69,19,13190,4377,2383,4760,39,11,11568,1420,2530,13105,141,16,17210,12,108,925,0,0,1043,5,26,215,0,0,250,365,528,1551,29,8,2487,36,11,95,6,0,152,7,13,43,0,0,62,1843,3220,15934,180,32,21204,144,160,407,44,0,747,124,101,281,14,5,522,12804,8964,25059,344,58,47229
LGA26430,2297,41,3,38,0,2381,1262,13,0,5,0,1286,354,68,8,0,0,432,40,24,0,0,0,61,29,0,0,0,0,28,208,9,0,3,0,218,54,3,0,9,0,70,6,0,0,0,0,9,683,110,9,18,0,822,121,3,0,0,0,133,106,4,0,3,0,118,4481,179,13,66,5,4734
LGA26490,4993,220,31,11,10,5259,4948,156,9,7,0,5118,1349,242,23,4,3,1619,31,11,0,0,0,46,5,10,10,0,0,24,553,50,10,5,6,628,55,0,5,9,0,76,9,0,0,0,0,15,2008,322,42,21,7,2403,260,43,3,3,4,319,151,14,0,5,0,170,12363,754,83,39,27,13270
LGA26610,2694,85,45,30,10,2866,2208,21,12,9,3,2252,547,145,204,4,0,903,203,42,78,0,0,324,49,7,20,0,5,75,507,48,25,10,4,591,189,19,0,65,17,293,19,6,4,0,0,28,1512,271,326,80,24,2214,183,7,3,9,4,203,137,12,10,10,3,180,6734,403,399,140,43,7718
LGA26670,1174,10,0,16,5,1200,723,0,0,3,0,725,106,12,5,0,0,128,7,10,0,0,0,19,5,6,0,0,0,9,166,6,5,0,0,175,28,0,0,0,0,26,0,0,0,0,0,0,311,25,10,3,0,349,86,0,0,0,0,84,43,4,0,0,0,47,2333,34,13,21,0,2406
LGA26700,4664,175,0,32,8,4873,3700,83,0,7,4,3789,1026,443,0,3,0,1477,252,116,4,0,0,371,20,49,0,0,0,69,522,83,0,3,0,614,53,15,0,15,0,86,11,10,0,0,0,14,1883,713,4,22,0,2631,175,29,0,0,0,208,215,133,0,3,0,352,10637,1128,10,57,14,11847
LGA26730,4635,392,69,45,9,5147,4199,199,63,20,4,4486,1538,585,226,24,3,2370,369,124,73,0,0,567,49,31,42,0,0,127,547,129,55,3,4,733,49,16,18,9,0,99,16,5,8,0,0,24,2558,893,424,35,6,3920,121,71,43,3,0,239,147,29,14,0,4,199,11658,1589,622,107,19,13993
LGA26810,7000,167,135,94,13,7410,5635,81,38,10,5,5774,1604,230,300,11,3,2137,228,65,88,0,0,379,34,16,23,0,0,79,664,25,29,4,7,736,232,5,8,18,0,268,18,3,0,0,0,28,2788,337,448,29,12,3620,368,17,16,3,0,404,297,12,20,4,6,337,16090,617,661,142,34,17538
LGA26890,918,0,6,0,4,929,327,0,0,5,0,325,38,3,0,0,0,43,3,11,6,0,0,20,0,3,0,0,0,4,111,0,3,0,0,119,43,0,3,0,0,48,0,0,0,0,0,0,198,19,10,0,0,233,114,0,0,0,0,115,34,0,0,0,0,36,1584,27,21,6,5,1643
LGA26980,17429,4147,968,0,11,22558,14558,4021,1396,6,4,19987,5696,4441,3449,9,13,13608,363,564,124,0,5,1058,93,145,99,0,5,345,1430,772,488,8,5,2711,208,120,147,0,0,479,33,42,33,0,6,102,7825,6080,4339,24,24,18291,591,693,212,0,4,1505,377,277,100,0,6,756,40779,15216,7018,29,48,63094
LGA27070,19243,1540,348,3,6,21148,30597,2586,428,3,11,33632,10948,2977,1041,4,10,14980,504,122,41,0,0,668,109,49,45,0,0,205,2000,327,114,0,8,2455,439,58,31,4,0,530,61,22,11,0,0,95,14065,3565,1279,8,18,18936,673,318,59,3,4,1054,1025,132,40,0,3,1201,65609,8132,2156,20,48,75971
LGA27170,4525,204,23,8,5,4763,5528,133,22,4,9,5691,2598,668,146,6,4,3422,591,202,53,0,0,854,45,15,6,0,0,67,583,94,17,3,0,706,249,15,0,0,0,263,20,12,0,0,0,30,4088,1010,224,13,4,5339,180,17,3,0,7,209,241,78,5,35,7,371,14559,1445,280,61,26,16372
LGA27260,14360,1399,398,33,8,16195,39898,3056,382,0,20,43354,19309,2964,852,4,17,23148,485,110,39,0,0,643,130,58,31,0,0,219,2480,372,94,11,0,2956,457,49,13,25,3,544,117,15,3,0,0,139,22980,3576,1038,36,23,27648,718,235,192,6,4,1149,1265,153,37,4,4,1472,79221,8421,2045,87,53,89823
LGA27350,2042,4312,1804,41,7,8207,1577,3933,4125,78,4,9716,987,4735,9397,162,15,15303,23,485,2515,0,0,3024,19,77,320,0,0,415,307,1243,1175,53,4,2782,10,52,46,7,5,119,5,14,43,0,0,66,1353,6605,13500,220,31,21709,67,255,273,7,0,607,45,124,228,6,5,417,5086,15229,19928,353,48,40646
LGA27450,18553,852,87,115,21,19627,26115,694,64,12,21,26908,4278,714,48,8,11,5065,260,155,10,0,0,424,85,39,18,0,0,146,1702,136,17,5,10,1864,161,11,4,62,3,244,33,9,4,0,0,47,6524,1058,96,75,27,7791,580,263,60,9,5,909,552,45,7,3,4,615,52325,2919,313,216,71,55842
LGA27630,1514,5,0,16,0,1543,591,0,0,6,0,594,134,18,3,0,0,161,12,17,0,0,0,27,10,7,0,0,0,16,167,8,4,0,0,179,41,3,5,3,0,54,0,0,0,0,0,0,373,45,14,4,0,438,86,0,0,0,0,89,64,4,0,4,0,70,2632,56,15,36,0,2740
LGA29399,42,3,23,0,0,75,9,0,9,0,0,19,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,16,6,0,11,0,3,22,0,0,0,0,0,0,18,0,23,0,7,50,4,0,4,0,0,8,3,0,0,0,0,3,80,3,64,0,8,156
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,5,0,0,180,19,0,0,0,0,23,0,0,0,0,0,0,5,3,5,0,0,13,0,0,0,0,0,0,204,4,10,0,0,218,0,0,4,0,0,6,13,0,0,0,0,13,215,8,5,0,0,236
LGA30300,484,32,0,11,4,526,322,13,0,0,0,344,136,21,12,5,0,169,75,19,4,0,0,95,22,4,0,0,0,25,116,6,0,5,3,133,84,11,5,4,0,106,6,0,0,0,0,3,439,55,19,11,3,534,103,23,0,0,8,135,35,10,0,0,0,42,1386,136,20,33,11,1588
LGA30370,1615,0,0,25,10,1653,1364,6,0,3,6,1379,454,36,61,0,0,555,153,26,14,0,0,191,14,8,4,0,0,24,403,8,19,0,0,437,197,17,47,4,0,268,20,0,5,0,0,22,1245,95,145,14,5,1499,295,0,7,3,0,307,133,4,4,9,0,147,4648,114,161,53,16,4995
LGA30410,440,0,0,11,10,457,203,0,0,4,3,209,60,0,10,0,0,65,29,3,8,0,0,40,8,0,4,0,0,11,69,0,0,0,0,67,79,0,0,0,0,84,0,0,0,0,0,0,238,3,28,0,4,270,85,0,0,0,4,90,26,6,0,0,0,30,995,3,27,16,20,1058
LGA30450,38,0,0,5,0,42,18,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,3,24,0,0,0,0,25,0,0,0,0,0,0,30,0,4,3,0,38,7,0,0,0,4,14,4,0,0,0,0,4,100,0,3,7,4,115
LGA30760,311,0,0,11,0,320,150,0,0,0,0,151,44,0,4,0,0,46,22,0,0,0,0,22,27,0,0,0,0,27,65,0,0,0,0,65,45,0,0,0,0,49,3,0,0,0,0,3,200,0,3,0,0,206,69,0,0,0,0,67,11,0,0,0,0,17,736,0,3,14,3,759
LGA30900,29,0,0,7,0,44,10,0,0,0,0,12,0,0,0,0,0,0,20,0,0,0,0,24,6,0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,0,28,0,0,0,0,0,0,45,5,0,0,0,56,12,0,0,0,0,21,6,0,0,0,3,12,115,8,7,7,7,144
LGA31000,94437,8109,14812,344,95,117793,123584,13412,19479,51,103,156632,46674,19063,60750,123,384,126995,5370,2722,5500,4,27,13618,483,488,1505,9,19,2502,12801,3370,10262,56,137,26623,1942,2505,2350,593,87,7473,271,187,326,13,7,804,67541,28325,80696,796,659,178014,2920,1915,2355,11,51,7251,2824,815,1557,149,94,5433,291311,52572,118894,1345,998,465124
LGA31750,30,0,0,9,5,38,20,0,0,0,0,23,0,0,0,0,0,0,6,0,0,0,0,6,0,0,3,0,0,3,10,0,0,0,0,7,15,0,0,4,0,24,0,0,0,0,0,0,31,0,7,4,3,48,7,0,0,0,8,17,0,0,0,0,0,0,87,0,7,8,9,119
LGA31820,13922,506,586,401,30,15442,10538,156,142,25,11,10866,4034,860,763,19,6,5684,434,376,191,0,3,998,54,79,113,0,0,249,2286,167,259,23,13,2747,353,40,97,139,9,643,51,15,31,5,0,98,7212,1539,1459,182,29,10419,482,347,53,20,5,906,535,104,67,90,32,832,32687,2652,2305,717,108,38462
LGA31900,2593,88,0,44,17,2736,1663,21,3,10,4,1705,540,270,25,5,6,842,74,35,0,0,0,106,14,27,0,0,0,47,352,54,3,5,0,411,148,12,0,6,20,188,8,7,0,0,0,16,1132,405,31,13,24,1605,160,0,0,0,4,167,110,26,0,41,8,180,5655,549,36,102,48,6396
LGA31950,19,0,0,11,4,33,6,0,0,3,0,8,0,0,0,0,0,0,12,0,5,0,0,17,3,0,0,0,0,3,3,0,0,0,0,6,12,0,0,5,0,16,0,0,0,0,0,0,33,0,3,4,0,45,10,0,0,9,0,20,7,0,0,5,3,12,73,0,6,36,7,121
LGA32080,13211,888,1512,198,84,15897,19093,872,1476,22,33,21499,6300,2322,4183,25,102,12934,961,457,560,4,6,1985,140,149,133,3,7,434,2712,726,976,35,40,4479,417,179,339,138,38,1109,69,30,41,3,5,155,10594,3863,6232,213,199,21101,465,221,77,10,19,787,606,161,193,24,53,1040,43972,6004,9489,470,386,60318
