LGA_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
LGA17000,516,90,567,119,21,1324,1982,1993,504,19,902,680,132,319,1834,122,1284,13999,846,21687,18,13,3,0,8,14,9,4,13,5,6,113,1388,1563,2461,2247,632,170,1138,921,226,467,2363,217,1860,14233,2258,24577,9,16,0,0,0,0,0,0,6,0,15,453,10,513,136,40,41,13,62,63,17,27,97,14,85,231,13,564,143,58,43,12,67,64,17,27,102,14,101,684,23,1069,2279,1737,580,158,1048,832,204,430,2078,198,1531,9595,645,17150,32,25,9,5,13,9,0,10,19,5,12,74,1131,1274,2453,1823,628,170,1127,908,217,459,2197,215,1639,10346,1803,19501
LGA17040,318,76,423,89,14,1055,1909,1571,557,17,719,710,136,325,1589,115,1125,12094,669,18819,25,16,3,0,11,10,5,6,13,5,11,85,1633,1792,2345,1746,675,145,912,900,200,454,1919,199,1554,12272,2318,21666,0,5,0,0,0,0,0,0,10,0,7,35,3,56,153,44,53,7,83,92,22,37,91,15,78,249,15,639,158,50,55,7,83,92,24,37,103,15,86,282,21,690,2146,1461,616,124,810,784,169,404,1702,176,1303,9101,543,15808,34,8,9,9,21,17,0,6,7,5,25,85,1447,1611,2334,1519,678,145,910,896,194,453,1811,199,1412,9467,2009,18112
LGA17080,254,83,284,75,24,909,1469,1369,429,6,647,491,148,283,976,114,680,7710,516,12702,25,24,3,5,3,6,5,3,16,0,7,72,1149,1287,1848,1558,536,83,802,685,218,416,1240,200,973,7857,1690,14891,0,0,0,0,0,0,0,0,0,0,0,12,0,17,89,31,45,4,46,47,12,31,46,14,44,120,8,355,89,37,45,4,46,50,12,31,51,14,44,133,11,371,1732,1259,486,74,734,621,193,365,1121,176,834,5641,413,10705,23,19,4,4,10,13,4,13,15,12,10,67,937,1076,1844,1303,539,83,796,678,211,406,1175,201,887,5842,1355,12150
LGA17100,422,151,693,253,28,1951,1387,1808,562,25,1503,835,169,186,1396,102,2001,32634,819,41087,17,11,4,3,19,13,5,0,12,9,17,232,2256,2556,1972,1977,725,297,1950,1198,288,289,1827,251,2704,33119,3098,45593,4,10,3,0,0,0,5,0,12,0,3,188,9,233,37,4,16,0,16,40,4,8,15,3,22,83,8,186,40,13,21,8,20,46,4,12,23,7,27,268,19,421,1908,1695,701,288,1918,1142,276,270,1753,243,2476,26797,721,36226,24,8,0,5,9,5,4,0,8,8,17,216,1908,2177,1969,1722,724,297,1947,1192,282,286,1787,249,2524,27279,2643,38823
LGA17150,2600,826,4060,1004,206,10369,16160,16094,6350,315,7244,7368,1343,2153,13454,1136,13672,143259,7000,211486,323,144,123,285,131,242,46,51,319,52,353,936,6510,8354,19925,17334,7667,2162,8881,9569,1959,3068,16373,2011,18087,145200,13712,230211,52,37,11,0,4,9,0,0,49,4,35,682,29,866,780,238,436,111,405,715,121,192,384,137,397,1511,88,3712,835,272,441,112,406,723,121,191,431,141,436,2192,123,4572,18650,14469,7035,1623,8274,8504,1739,2763,14838,1807,15561,107168,5711,176301,404,109,145,427,143,278,61,75,357,64,410,442,5377,6801,19885,14850,7622,2161,8826,9502,1927,3031,15629,2009,16408,109800,11206,187676
LGA17200,1781,362,2294,632,97,5812,6613,13024,3298,134,3750,3263,806,1302,16030,549,12256,140754,4017,190562,109,84,48,14,61,67,14,23,104,11,84,845,14024,15258,8316,13836,3939,716,4684,4281,1108,1805,17911,925,14625,142226,18134,211632,52,64,20,0,6,15,3,4,94,0,72,1281,38,1574,237,127,132,41,126,184,39,67,245,46,210,833,43,1693,287,189,151,41,125,197,39,74,335,43,280,2111,77,3267,7838,12898,3731,584,4452,3943,1027,1661,17206,854,13762,125603,3699,177699,175,85,52,90,94,119,26,62,150,27,169,888,13199,14632,8302,13174,3938,718,4674,4260,1097,1797,17691,927,14211,128607,16976,195604
LGA17310,1348,352,1543,350,97,4204,5154,6174,1690,103,2623,2225,525,929,5371,388,3584,32827,2183,54276,80,80,17,9,37,32,6,24,54,11,44,261,4101,4593,6682,7076,2139,560,3350,3049,812,1466,6770,751,5170,33436,6374,63070,12,3,0,0,0,3,0,0,7,0,11,50,8,79,349,133,150,30,203,238,48,100,207,61,190,525,46,1460,356,137,150,30,203,240,52,104,221,61,201,576,55,1542,6200,5637,1954,496,3055,2711,720,1309,6095,659,4328,23410,1692,45176,113,41,22,32,53,56,23,31,60,23,36,192,3197,3643,6671,5821,2131,559,3315,3007,792,1446,6376,746,4569,24179,4943,50366
LGA17350,129,40,208,27,9,447,631,595,175,15,279,241,55,101,425,52,303,3188,200,5260,8,8,0,0,10,8,0,3,9,0,4,31,271,334,789,687,221,64,358,320,81,162,561,91,514,3246,476,6034,0,0,0,0,0,0,0,0,0,0,0,0,0,8,39,15,19,5,32,36,8,14,16,6,19,66,3,156,41,16,19,5,32,36,8,14,16,6,20,68,3,166,739,558,202,58,320,274,71,145,512,82,438,2306,171,4504,7,8,4,0,5,10,0,3,0,3,7,17,219,266,789,581,220,64,357,315,78,162,533,91,466,2388,398,4939
LGA17400,193,36,231,24,9,552,840,529,254,3,334,334,72,168,529,61,370,3226,182,5585,14,12,10,3,4,6,0,5,9,3,3,43,587,671,1091,630,320,69,446,454,117,240,734,108,605,3285,780,6810,0,0,0,0,0,0,0,0,0,0,0,3,0,7,78,16,30,4,42,47,11,32,47,12,30,82,5,244,78,20,30,4,42,47,11,32,47,12,30,87,5,245,989,534,283,65,385,390,97,201,655,87,531,2439,167,5025,25,11,5,3,17,17,3,10,9,5,9,32,495,586,1087,562,320,69,444,456,113,242,713,108,570,2559,672,5856
LGA17420,1504,496,2581,979,146,7108,9300,11173,3979,137,7144,4929,888,1169,8134,629,10900,131150,4539,179471,82,51,25,6,50,37,7,9,39,9,43,744,4297,5297,11270,11857,4701,1006,8275,6186,1245,1635,9675,1134,13520,132875,8981,191876,22,16,3,0,7,8,0,3,24,0,30,325,9,417,404,117,216,54,212,362,62,86,188,60,217,795,41,1914,423,131,220,54,222,367,62,85,211,60,242,1121,52,2335,10693,9605,4405,837,7914,5676,1115,1499,8884,1036,11831,96253,3829,144773,120,43,39,111,82,73,23,20,86,25,80,426,3326,4102,11237,9781,4659,1006,8215,6125,1200,1608,9179,1125,12156,97798,7211,151213
LGA17550,2162,545,2473,547,208,7241,8979,6991,3011,187,3132,3823,786,1950,6923,727,5494,51858,3178,83303,151,75,61,123,61,94,29,45,140,42,190,414,5898,6848,11600,8024,3975,1220,4172,5306,1283,2876,9226,1318,8163,52826,9287,97392,7,4,5,0,0,4,0,0,8,0,0,84,6,115,791,208,319,103,317,532,98,233,457,108,424,947,82,2859,800,210,315,103,315,533,98,238,467,108,430,1029,89,2965,10558,6678,3557,897,3726,4615,1133,2556,8143,1139,6843,38965,2684,72393,231,86,87,222,96,135,43,68,160,64,236,362,4856,5945,11584,6975,3961,1217,4135,5283,1268,2861,8770,1306,7510,40361,7622,81307
LGA17620,224,59,331,49,19,827,1152,1266,363,15,625,500,85,227,935,87,700,7989,457,12457,12,20,8,3,5,9,0,3,11,4,8,69,829,945,1469,1410,455,124,771,672,134,315,1171,151,1043,8107,1302,14229,0,0,0,0,0,0,0,0,0,0,0,5,0,9,77,22,31,16,47,40,6,34,44,6,39,118,3,305,77,24,31,16,47,40,6,34,44,6,39,124,3,310,1361,1140,416,94,707,604,118,273,1053,137,866,5878,386,10447,29,10,5,15,13,18,0,10,12,4,38,61,673,830,1465,1175,451,123,763,664,131,317,1113,150,948,6063,1070,11587
LGA17640,136,44,206,32,12,507,1011,710,262,20,408,372,83,162,608,57,507,4247,249,7289,4,7,0,0,0,0,0,0,4,3,3,54,648,720,1219,791,323,85,497,474,106,239,748,103,717,4337,909,8514,4,0,0,0,0,0,0,0,0,0,0,16,0,24,57,19,21,3,31,37,4,17,29,8,50,103,13,272,62,19,21,3,34,37,4,17,35,8,52,114,15,293,1138,660,296,76,462,429,91,222,687,96,614,3097,213,6218,21,10,4,4,3,7,0,8,5,6,10,26,528,595,1219,696,326,85,497,474,99,239,726,103,677,3242,753,7106
LGA17650,127,33,159,36,4,402,610,540,207,7,280,231,51,107,490,28,363,3075,180,5167,4,3,0,3,6,3,0,0,0,0,0,15,361,402,767,612,257,40,344,310,78,161,619,61,532,3128,552,5971,0,0,0,0,0,3,0,0,0,0,0,10,0,16,40,18,21,0,17,21,3,11,33,0,24,49,0,159,43,18,21,0,21,23,3,11,33,0,22,59,3,174,718,499,230,35,322,283,67,142,553,55,447,2238,139,4397,9,3,7,0,6,0,0,3,4,0,10,21,305,349,769,528,257,40,344,307,72,152,587,61,485,2319,445,4915
LGA17750,1251,286,1489,360,92,3998,4832,6720,1650,61,2499,1844,536,1008,5676,363,3672,37814,2324,59783,52,40,16,3,34,22,7,12,40,3,20,307,3360,3826,6172,7508,2091,518,3122,2544,786,1455,6974,649,5182,38479,5771,67609,78,60,13,0,8,14,3,0,76,0,70,1184,42,1468,400,181,173,32,231,222,44,112,280,56,222,525,42,1576,481,242,190,32,239,239,45,115,351,53,294,1718,82,3044,5587,5974,1856,435,2814,2237,705,1301,6173,579,4191,26036,1762,47575,90,52,32,62,51,40,12,25,65,11,66,226,2732,3239,6164,6269,2073,518,3100,2519,763,1438,6596,645,4547,27976,4573,53857
LGA17850,38,16,48,11,0,161,318,231,112,6,127,145,25,61,166,28,146,1581,90,2568,0,0,0,0,0,0,0,0,3,0,0,20,261,287,396,263,139,31,170,187,34,88,201,42,199,1610,353,3016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,6,0,8,16,0,8,5,0,9,20,4,62,17,7,6,0,8,16,0,8,5,0,9,20,4,62,366,217,127,25,156,164,35,75,184,32,178,1183,69,2197,11,4,4,8,6,0,0,6,9,6,4,17,209,253,394,229,139,31,168,187,33,88,197,42,181,1219,281,2508
LGA17900,85,22,110,29,3,318,385,329,111,3,241,182,41,108,243,30,193,2212,133,3541,9,3,0,0,3,5,0,3,5,0,3,31,1344,1396,517,385,141,27,312,255,55,165,340,55,303,2270,1478,5253,0,0,0,0,0,0,0,0,0,0,0,3,0,3,24,5,3,0,16,13,0,13,18,3,14,36,4,94,24,5,3,0,16,13,0,13,18,3,14,40,4,94,481,316,132,30,290,233,48,145,310,45,270,1627,108,3074,16,10,0,0,12,10,0,4,3,3,7,23,1059,1109,517,333,142,27,312,254,55,170,332,55,282,1691,1166,4282
LGA17950,35,6,35,13,0,129,224,239,60,6,101,105,16,39,134,21,109,1355,84,2140,3,0,0,0,3,5,0,0,0,3,0,7,262,279,277,265,78,28,137,149,27,70,165,31,146,1377,351,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,5,5,3,0,3,5,5,15,0,38,7,0,4,0,5,5,3,0,3,5,5,15,0,38,264,223,68,28,120,142,26,67,148,31,129,988,63,1774,8,3,0,0,6,5,0,5,0,0,0,7,224,243,277,226,78,28,132,151,27,70,158,31,129,1006,290,2056
LGA18020,192,49,258,40,23,712,976,782,296,6,403,392,84,201,559,60,445,4205,256,7213,15,13,0,0,8,10,11,7,12,0,4,55,1194,1299,1291,922,373,96,552,577,147,305,760,116,704,4295,1473,9225,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78,27,36,4,47,47,11,18,38,11,35,72,8,243,78,27,36,4,47,47,11,18,38,11,35,75,8,250,1193,729,331,88,486,515,132,280,683,102,612,3077,227,6315,20,13,6,0,12,9,0,8,6,4,7,54,1006,1106,1289,768,370,96,545,576,143,302,728,116,656,3205,1232,7669
LGA18050,432,125,679,233,25,1951,2608,3904,1292,57,1171,1288,284,394,3472,192,3225,47061,1693,62407,106,29,33,130,26,54,16,24,71,11,142,291,3668,4249,3326,4117,1551,455,1486,1696,403,566,3982,323,4044,47587,5387,68605,5,13,0,0,0,0,0,0,13,0,11,153,5,187,94,34,42,13,51,78,16,17,51,20,70,234,8,510,103,45,41,13,51,82,16,18,64,20,81,388,16,698,3084,3585,1454,288,1380,1536,351,516,3699,285,3525,37733,1449,53321,134,40,43,156,38,70,27,33,89,15,159,203,3219,3771,3320,3669,1542,455,1473,1690,393,563,3856,326,3761,38326,4689,57794
LGA18100,88,23,85,14,0,281,431,339,122,12,161,157,37,95,278,34,222,1781,110,3066,3,6,5,0,0,3,0,0,0,0,0,23,220,259,551,398,156,45,219,238,47,145,368,61,302,1817,327,3608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,14,13,8,14,20,6,11,17,6,17,32,4,119,36,14,13,8,14,20,6,11,17,6,17,32,4,119,495,326,133,36,201,206,40,124,336,48,254,1349,91,2709,9,4,7,0,0,5,0,3,3,4,3,15,181,217,545,345,147,43,220,228,49,140,352,57,276,1396,275,3050
LGA18200,141,37,161,39,5,413,527,595,192,11,293,262,60,121,482,45,340,3916,179,6084,18,16,3,0,13,8,0,0,15,7,7,51,857,952,697,688,241,55,386,376,101,190,634,83,510,4003,1046,7453,0,0,0,0,0,0,0,0,0,0,0,4,0,4,45,13,22,0,20,31,7,17,20,11,19,82,4,187,45,13,22,0,20,31,7,17,20,11,16,82,4,188,641,563,215,42,347,329,90,172,569,70,417,2824,153,5071,15,14,10,12,6,13,5,3,15,0,21,30,686,765,696,586,239,55,378,374,103,187,610,83,462,2941,843,6027
LGA18250,596,236,1173,344,47,2957,3062,4265,1572,64,1890,1699,321,443,3361,229,4250,52280,1529,69907,32,34,13,5,13,18,3,3,23,6,32,308,2327,2753,3909,4547,1930,517,2376,2284,473,645,3978,469,5452,52933,3905,75613,12,5,6,0,0,4,0,0,9,0,10,102,4,140,114,34,61,13,49,108,17,29,61,24,84,298,13,659,124,38,62,18,49,107,17,29,70,24,91,400,25,795,3740,3799,1854,495,2298,2140,438,602,3749,434,4882,40017,1285,58361,37,13,3,10,12,20,5,5,8,8,18,176,1917,2177,3896,3856,1926,517,2361,2271,457,638,3828,467,4985,40590,3227,61331
LGA18350,831,240,1071,261,59,2940,5392,3914,1844,69,2113,2067,357,879,3739,352,3278,29042,1612,47031,50,30,24,7,16,28,0,12,29,5,32,211,2383,2740,6489,4353,2219,426,2567,2570,495,1177,4605,596,4378,29512,4050,52709,3,7,0,0,0,0,0,0,3,3,4,50,0,64,352,87,153,32,170,225,41,93,155,51,159,572,21,1423,357,94,160,29,173,229,43,91,159,55,159,620,21,1487,6043,3636,2031,383,2343,2290,437,1051,4224,526,3860,21714,1310,40084,75,28,16,9,27,33,9,18,23,4,29,153,2025,2339,6478,3761,2208,428,2547,2554,485,1165,4406,592,4045,22484,3359,43908
LGA18400,684,160,952,306,45,2564,4237,4300,1297,51,1993,1646,316,661,3724,258,3112,31878,1812,48760,41,25,6,4,23,25,7,3,27,5,28,196,2322,2642,5098,4705,1573,232,2393,2088,457,903,4436,425,4086,32376,4178,53961,8,4,0,0,3,3,0,0,5,0,8,64,3,88,237,66,100,19,128,158,35,56,124,19,123,384,27,986,247,63,105,19,130,158,35,50,132,19,121,449,28,1071,4802,3738,1438,204,2230,1877,396,830,4000,398,3453,22494,1435,39076,46,28,11,6,22,23,7,9,27,3,13,116,1852,2091,5093,3826,1556,228,2378,2060,444,893,4162,418,3589,23064,3317,42243
LGA18450,4175,1090,5226,1379,267,14458,16202,16468,5195,244,8053,5993,1675,2944,17301,1175,13412,122111,6621,190208,354,141,113,258,155,180,46,69,296,74,330,839,8072,9903,21583,18502,6768,2056,10832,8689,2650,4507,21773,2338,18962,124331,14965,214564,23,21,11,4,7,9,0,0,32,0,26,294,14,392,759,238,298,76,413,508,128,252,476,116,433,1204,103,3256,783,261,309,78,414,512,126,249,515,119,453,1497,117,3652,20269,15222,6305,1539,10141,7826,2384,4119,20081,2099,16445,92338,5467,164829,514,136,121,436,221,286,86,99,394,101,429,503,6637,8376,21560,15621,6737,2052,10770,8627,2605,4474,20989,2322,17332,94338,12222,176857
LGA18500,227,111,524,181,34,1552,2784,3177,1495,83,1103,1566,249,416,2686,264,2771,35290,1332,49070,41,20,22,97,24,51,18,11,37,11,59,277,2355,2870,3286,3320,1726,404,1314,1911,339,535,2950,384,3357,35747,3717,53496,7,5,0,0,5,0,0,0,14,0,5,207,0,246,106,33,65,13,48,105,14,28,31,16,68,257,16,592,111,44,64,13,53,107,14,25,47,16,70,463,18,832,3124,2905,1621,290,1221,1742,294,499,2781,361,3027,28298,1152,42248,39,7,25,99,28,59,12,8,32,9,51,164,2075,2465,3273,2953,1714,404,1299,1906,325,536,2864,384,3152,28922,3244,45542
LGA18710,263,71,375,101,21,926,1601,1513,503,16,592,594,129,231,1454,106,1223,9542,535,15500,21,14,11,0,5,12,5,4,8,6,12,58,746,854,1938,1654,611,128,740,763,175,330,1729,179,1607,9694,1302,17281,22,6,8,0,3,7,0,0,18,0,13,113,4,172,136,62,58,6,61,83,16,20,109,10,99,277,20,672,161,70,63,6,69,88,21,20,125,10,112,394,27,839,1751,1310,536,113,648,655,158,292,1483,165,1314,6594,420,12320,21,3,9,9,14,12,3,7,14,3,25,33,595,700,1930,1379,611,128,732,758,175,322,1619,180,1446,7014,1046,13862
LGA19399,0,0,10,6,0,19,58,68,27,0,29,22,9,9,59,0,35,641,23,911,0,0,0,0,0,0,0,0,0,0,0,10,82,93,61,75,28,0,36,26,11,11,60,0,45,655,109,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,5,0,0,3,0,0,5,0,0,15,0,29,4,3,6,0,0,3,3,0,7,0,0,12,0,31,55,60,21,0,32,27,10,11,50,0,38,492,16,730,0,0,0,0,0,0,0,0,0,0,0,6,69,76,61,60,28,0,36,26,11,11,60,0,38,508,89,840
LGA19499,287,27,242,29,8,537,630,664,214,10,279,282,57,185,1269,53,640,4012,241,7010,18,10,4,0,7,18,5,3,22,0,14,48,3726,3831,813,776,260,27,365,387,85,268,1585,79,894,4089,3980,11371,0,0,0,0,0,0,0,0,3,0,4,47,3,59,50,22,12,0,20,31,5,20,49,8,48,73,7,218,47,24,12,0,20,31,5,20,49,8,46,117,13,274,748,690,250,22,330,342,71,240,1469,72,798,3334,425,6753,10,6,0,0,5,7,3,3,24,6,6,54,2988,3090,812,722,260,24,363,382,84,264,1546,79,856,3507,3425,10112
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,231,67,232,66,19,720,1146,923,417,15,455,526,118,189,924,94,754,7417,332,11607,14,11,5,0,7,4,4,4,9,0,3,62,804,909,1415,1010,495,113,568,679,159,269,1166,158,989,7539,1146,13235,0,0,0,0,0,0,0,0,3,0,6,18,0,20,64,25,34,6,38,52,14,20,47,13,39,153,9,352,63,25,34,6,41,52,14,20,47,13,43,167,9,375,1335,834,455,95,511,616,145,244,1063,146,877,5669,289,10028,17,8,7,4,10,9,4,3,19,0,9,59,696,811,1411,873,495,113,563,679,158,265,1126,158,929,5893,997,11211
LGA20260,306,69,328,68,17,922,1108,1025,342,17,539,442,75,211,974,84,671,5585,320,9490,18,3,7,4,0,10,0,3,8,0,9,46,1384,1471,1438,1165,444,123,663,634,116,319,1296,151,1007,5694,1716,11880,0,0,0,0,0,0,0,0,0,0,0,7,0,7,67,19,38,9,50,53,7,29,44,10,36,93,9,280,67,19,38,9,50,53,7,29,44,10,36,96,9,283,1352,969,401,113,595,561,107,284,1176,137,893,4164,280,8414,30,7,5,0,13,10,0,11,13,0,7,50,1274,1377,1438,996,444,123,658,623,120,313,1236,148,940,4312,1560,10072
LGA20570,2926,653,3239,727,173,8382,9118,11319,2989,91,4478,3773,639,1778,11836,674,7612,59309,3699,99594,146,110,50,61,65,60,13,36,136,10,110,384,4940,5785,11913,12940,3912,860,5869,5299,1036,2766,14901,1338,10962,60423,8811,113763,13,10,4,0,6,3,0,0,13,3,12,72,3,106,629,265,251,53,360,469,76,194,431,93,374,791,73,2455,643,275,251,53,367,476,78,195,442,99,387,862,75,2561,10962,10527,3558,643,5351,4650,892,2474,13496,1171,9249,43297,2913,84925,281,127,89,161,111,127,38,84,211,56,218,274,3992,4951,11886,10924,3893,856,5831,5254,1009,2749,14150,1324,9851,44439,6979,92434
LGA20660,2165,575,2845,746,122,7419,8562,9662,3152,167,4158,3615,763,1182,9391,630,8456,75527,3545,114421,101,78,37,9,37,41,16,16,84,6,58,536,3538,4400,11037,10618,3957,1132,5327,4938,1179,1816,11641,1206,11367,76817,7205,126236,33,30,7,0,4,3,0,0,35,0,31,544,12,664,517,180,243,51,251,354,67,125,302,79,301,744,45,2120,543,215,249,55,258,361,70,126,338,81,333,1290,59,2784,10340,8999,3653,1053,4985,4482,1072,1645,10797,1086,10090,56568,3022,97552,119,51,27,18,53,60,15,25,51,27,49,293,2913,3475,11007,9262,3930,1130,5297,4899,1148,1788,11180,1191,10473,58145,5999,103806
LGA20740,945,266,1045,194,117,2901,4428,3298,1488,68,1903,1932,298,828,3406,367,2610,20490,1212,35180,50,40,6,8,19,25,3,14,39,5,35,192,2375,2708,5524,3821,1835,353,2428,2592,457,1233,4383,632,3691,20873,3702,40789,0,0,0,0,0,0,0,0,0,0,0,14,0,14,301,93,141,22,175,207,43,95,159,55,139,336,43,1090,298,93,141,22,178,204,43,96,159,55,137,346,42,1107,5108,3229,1659,288,2194,2308,399,1088,3986,561,3286,15557,1033,31014,112,64,33,46,52,56,13,41,53,20,50,173,2035,2500,5519,3388,1832,353,2416,2577,456,1217,4197,631,3473,16077,3114,34626
LGA20830,1316,291,1627,320,72,3775,5110,4922,1628,58,2373,2142,402,973,5037,394,3571,30664,1794,50441,52,45,13,6,25,30,6,12,41,9,28,268,2973,3410,6449,5572,2056,473,2968,2874,621,1429,6397,692,5237,31247,4840,57626,5,0,0,0,0,0,0,0,6,0,5,34,0,49,309,87,164,30,186,227,45,98,189,61,184,474,41,1315,309,87,164,30,186,230,47,98,193,61,187,510,46,1365,6036,4583,1866,428,2719,2565,547,1300,5838,611,4499,22205,1430,42587,97,41,23,12,44,51,13,17,40,13,34,194,2327,2721,6445,4711,2044,473,2948,2851,608,1418,6075,689,4730,22906,3797,46666
LGA20910,1205,351,1732,485,98,4734,6291,7075,3182,121,2500,3173,539,893,5745,491,5992,63357,2892,92719,135,71,63,79,57,95,25,29,120,26,122,462,3028,3854,7887,7590,3833,1014,3100,4178,792,1309,7074,864,7849,64301,6016,101306,3,0,0,0,0,0,0,0,3,0,3,64,3,83,337,93,218,62,145,326,44,81,121,80,199,703,47,1706,339,98,218,62,150,326,44,81,125,80,201,763,46,1782,7377,6458,3509,792,2858,3675,694,1166,6482,740,6849,48474,2433,78725,169,56,77,159,63,156,39,42,203,45,208,186,2476,3121,7884,6617,3803,1010,3069,4159,774,1292,6813,861,7259,49426,4957,83632
