LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA61410,781,585,680,665,536,507,410,297,128,4589,10577,6368,8611,7877,7369,7837,7047,4175,1673,61534
LGA61510,205,144,130,124,142,120,86,45,23,1019,1953,1292,1228,1343,1461,1593,1238,631,197,10936
LGA61610,399,228,261,205,226,253,222,180,92,2066,4437,2857,3450,2817,3255,3389,3243,1984,717,26149
LGA61810,129,74,66,70,60,86,91,40,26,642,1111,645,701,666,813,1145,1003,529,217,6830
LGA62010,14,4,0,8,6,16,11,7,0,66,120,42,53,97,108,170,200,107,20,917
LGA62210,125,70,64,79,77,94,74,34,13,630,1121,700,694,705,855,1155,1098,535,163,7026
LGA62410,44,36,63,48,40,94,86,46,11,468,494,298,525,464,559,970,1062,513,134,5019
LGA62610,733,449,626,433,463,394,296,228,121,3743,8302,5619,9677,6561,5634,5799,4619,2965,1238,50414
LGA62810,443,478,690,431,456,417,320,200,95,3530,7353,7061,10747,6989,6619,6288,5670,3018,1331,55076
LGA63010,306,153,174,160,199,250,191,115,72,1620,3135,1708,1842,2141,2432,2976,2545,1140,333,18252
LGA63210,105,66,75,65,102,113,85,49,8,668,1006,638,637,694,931,1247,926,425,105,6609
LGA63410,41,11,23,33,31,22,28,12,4,205,273,110,202,215,189,236,234,122,33,1614
LGA63610,421,253,255,302,319,304,300,151,51,2356,7187,4355,4959,5219,5187,5013,4800,2553,810,40083
LGA63810,181,94,84,106,144,123,161,84,27,1004,1929,1168,1262,1244,1584,1838,1992,1063,339,12419
LGA64010,1004,830,814,638,627,587,469,323,169,5461,11863,8729,10853,8447,8598,8252,7171,4348,1793,70054
LGA64210,243,149,139,169,196,207,194,115,30,1442,3413,2117,2272,2244,2694,3063,2813,1590,503,20709
LGA64610,199,131,94,113,159,181,149,73,17,1116,2299,1401,1575,1382,1787,2049,1946,994,311,13744
LGA64810,285,152,178,193,170,179,163,65,25,1410,2920,1678,2217,2056,2026,2484,2108,936,300,16725
LGA65010,109,90,75,66,106,101,82,32,11,672,1140,768,746,753,907,1078,820,367,86,6665
LGA65210,35,29,21,29,39,58,52,28,12,303,265,175,175,248,308,571,554,240,58,2594
LGA65410,228,128,106,135,154,168,144,87,33,1183,2425,1367,1352,1521,1824,2211,2055,1179,364,14298
LGA65610,73,48,61,46,78,76,64,26,20,492,670,368,521,454,629,726,582,254,59,4263
LGA65810,318,210,174,187,219,245,221,156,84,1814,4217,2648,2665,2793,3276,3746,3372,1852,575,25144
LGA69499,18,41,49,54,42,68,75,6,0,353,129,215,228,198,203,199,163,31,3,1369
LGA69799,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,15
LGA70200,465,258,444,369,318,308,153,63,20,2398,5398,2773,4872,4023,3313,3048,1701,604,176,25908
LGA70420,225,98,165,108,94,87,40,13,0,830,1568,956,1150,832,720,638,337,100,10,6311
LGA70540,3,11,0,4,4,5,0,0,0,27,24,26,30,20,14,25,5,0,0,144
LGA70620,76,54,81,34,57,40,25,8,0,375,960,615,613,482,402,304,145,53,18,3592
LGA70700,41,23,40,29,41,67,49,16,0,306,203,95,126,113,176,269,215,79,6,1282
LGA71000,1427,1000,1627,1306,1082,864,516,231,96,8149,14894,9148,15994,12810,10273,8544,5845,2449,578,80535
LGA71150,0,0,6,5,0,10,0,0,0,21,24,17,95,54,34,47,16,3,0,290
LGA71300,157,115,155,82,65,71,25,3,0,673,2036,1848,1576,1292,970,699,281,71,12,8785
LGA72200,381,210,297,241,192,178,104,40,11,1654,2167,1169,1857,1388,1182,1025,585,223,46,9642
LGA72300,440,483,715,665,621,403,254,63,11,3655,3879,2675,2875,3072,3437,2948,1829,599,97,21411
LGA72330,143,154,284,261,161,84,29,0,0,1116,1312,912,1108,920,713,482,232,60,14,5753
LGA72800,1074,559,810,679,518,326,175,65,19,4225,9406,4786,6886,6089,4598,3083,1677,559,159,37243
LGA73600,114,164,172,126,91,83,40,15,0,805,1503,1248,1160,878,753,556,304,83,12,6497
LGA74050,59,24,32,20,35,23,12,6,0,211,531,395,396,351,343,225,89,19,0,2349
LGA74550,68,78,50,25,59,39,39,7,0,365,681,552,492,299,322,240,170,50,13,2819
LGA74560,5,5,9,4,9,10,12,9,0,63,57,23,12,47,79,88,83,25,0,414
LGA74660,142,68,124,86,82,57,25,9,0,593,1522,1123,1248,929,766,484,171,41,4,6288
LGA74680,143,63,44,43,33,10,8,0,3,347,829,597,569,424,279,178,72,17,7,2972
LGA79399,293,172,299,282,209,168,89,22,0,1534,1456,721,1145,1206,983,764,421,85,12,6793
LGA79499,74,97,193,168,213,186,79,12,0,1022,446,276,661,573,591,579,318,49,7,3500
LGA79799,0,0,6,4,5,3,0,0,0,18,0,15,23,22,19,17,0,0,0,96
LGA89399,4786,4587,4839,3787,3175,2471,1914,1080,530,27169,82892,60460,77634,69285,56126,45328,35639,19340,7180,453884
LGA89499,7,21,17,35,22,22,11,0,0,135,50,148,108,104,77,78,34,10,4,613
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,76,40,36,50,54,54,38,41,6,395,410,232,189,282,344,447,345,192,54,2495
LGA99499,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,3,0,0,0,7
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
