SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL31014,305,611,0,5,34,157,3,15,185,701,227,872,14,72,38,135,29,95,82,301,311,1174,0,3,5,21,3,9,28,63,38,99,5,9,18,35,34,76,55,115,98,216,25,56,738,2057
SAL31015,31,62,0,0,5,23,0,5,8,33,13,54,4,9,3,12,8,25,12,44,22,98,0,0,0,0,0,0,3,6,3,6,0,0,0,6,10,17,12,28,15,32,0,0,73,197
SAL31016,14,35,0,0,0,0,0,7,6,15,5,25,0,0,0,4,3,10,0,12,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,34,78
SAL31017,10,14,0,0,0,7,0,3,6,24,5,30,0,3,0,3,0,5,3,15,10,43,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,6,0,6,4,15,0,0,22,70
SAL31018,10,17,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,11,29
SAL31019,90,186,3,28,11,46,8,36,39,164,58,270,6,22,11,41,23,77,41,135,104,405,0,0,4,9,3,9,4,15,10,30,7,8,0,4,13,24,20,39,29,69,0,4,228,664
SAL31020,61,120,0,6,8,31,0,0,21,82,30,119,3,23,4,8,17,48,19,78,52,200,0,0,0,6,0,3,8,15,8,19,0,0,0,0,5,18,5,18,16,33,0,3,132,352
SAL31021,12,20,0,6,0,11,0,0,8,35,11,47,0,0,0,4,0,0,3,3,11,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,23,77
SAL31022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31023,4,6,0,0,0,0,0,0,0,6,0,6,0,0,0,4,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,10,18
SAL31024,14,26,0,0,0,3,0,0,7,42,14,46,0,0,0,0,7,13,7,13,15,60,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,3,0,3,4,12,0,0,37,97
SAL31025,44,87,0,7,4,20,0,3,25,103,34,138,0,4,0,8,12,33,12,47,44,184,0,0,0,5,0,0,9,21,11,24,0,0,0,3,9,17,7,18,20,45,0,0,106,320
SAL31026,40,81,0,0,0,19,0,0,21,63,24,84,4,17,0,5,7,14,10,36,36,120,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,3,0,6,3,10,0,0,77,207
SAL31027,5,19,0,0,0,0,0,7,8,27,6,31,3,8,0,0,3,8,5,15,14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,65
SAL31028,26,49,0,0,0,8,0,5,31,138,34,151,4,8,0,0,0,13,3,17,40,169,0,0,0,0,0,0,3,16,3,16,0,0,0,0,5,9,6,12,13,31,0,0,76,246
SAL31029,15,36,0,6,3,21,0,0,0,0,7,33,0,0,0,0,0,6,0,6,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,4,28,80
SAL31030,337,685,7,38,50,252,27,123,280,1148,365,1562,18,66,36,109,61,190,114,366,479,1927,0,4,11,52,14,48,86,243,117,352,8,25,8,16,39,91,54,134,176,483,11,22,1006,3117
SAL31031,17,34,0,0,0,0,0,5,4,11,0,18,0,0,3,7,3,6,0,17,6,30,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,0,3,5,9,0,0,28,74
SAL31032,638,1281,11,46,94,409,23,106,413,1620,539,2179,38,177,81,277,142,449,261,911,799,3086,0,20,29,91,4,11,93,254,135,379,18,52,30,72,79,167,131,296,264,675,12,32,1718,5075
SAL31033,918,1841,9,60,145,665,23,129,699,2666,885,3514,65,261,105,368,198,646,368,1274,1253,4787,5,15,33,79,11,34,124,333,174,467,18,56,41,78,118,273,177,403,351,876,27,60,2551,7564
SAL31034,6,12,0,0,0,0,0,0,0,8,0,8,0,6,0,5,0,0,0,9,4,17,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,8,0,0,11,29
SAL31035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31036,3,0,0,0,0,16,0,0,5,16,5,31,0,0,0,0,0,0,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36
SAL31037,329,666,3,41,104,471,9,22,383,1512,501,2049,45,205,122,435,92,279,258,922,759,2966,0,8,13,39,4,12,40,84,58,143,10,41,18,50,29,65,62,154,116,299,10,14,1215,3946
SAL31038,56,111,0,6,3,8,4,12,28,112,37,136,3,8,5,15,8,22,11,48,52,187,0,0,0,0,0,0,6,17,6,17,0,0,0,3,8,12,6,12,18,30,0,0,126,330
SAL31039,0,9,0,0,0,0,0,0,4,12,4,12,0,0,0,0,0,0,0,0,4,12,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,7,19
SAL31040,10,19,0,0,3,11,0,6,0,0,5,17,0,0,0,5,0,9,0,9,7,28,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,19,53
SAL31041,10,20,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,43
SAL31042,9,15,0,0,0,0,0,0,3,14,3,14,0,0,0,3,0,6,3,10,4,18,0,3,0,0,0,0,0,6,4,11,0,0,0,0,0,0,0,0,4,11,0,3,19,47
SAL31043,32,65,0,0,3,6,0,0,11,24,9,36,0,3,5,9,4,13,9,26,18,67,0,0,0,5,0,0,0,4,6,9,0,0,0,0,0,0,0,0,4,13,0,0,54,136
SAL31044,15,29,0,0,3,13,0,0,4,20,9,36,0,0,0,0,0,12,0,12,12,44,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,11,0,0,24,78
SAL31045,613,1237,11,56,60,245,12,49,561,2112,646,2467,16,60,50,167,90,285,154,515,801,2978,6,12,22,71,12,41,150,390,181,508,9,36,34,69,103,227,148,334,334,843,36,70,1777,5132
SAL31046,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL31047,517,1034,21,129,103,482,51,275,604,2389,781,3267,48,214,50,168,141,472,241,861,1025,4128,9,36,29,110,23,74,195,536,250,761,12,41,18,41,69,156,102,240,354,1002,22,46,1917,6208
SAL31048,32,57,0,5,5,22,0,0,13,48,20,73,4,9,0,4,3,21,6,34,24,106,0,0,0,3,3,11,0,0,3,13,0,0,0,0,6,6,6,6,6,25,0,0,62,183
SAL31049,26,52,0,0,0,10,0,0,8,40,14,45,0,0,0,0,0,0,0,0,14,45,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,3,5,3,4,8,0,0,38,105
SAL31050,228,444,3,19,10,53,0,0,31,116,44,186,3,7,6,11,27,91,31,103,80,288,0,0,0,9,0,7,13,24,16,38,0,0,4,4,11,28,19,32,30,68,3,3,334,812
SAL31051,21,33,0,0,0,0,3,13,3,11,7,25,0,0,0,0,0,3,4,8,10,36,0,0,0,0,0,0,0,3,0,3,0,0,0,8,4,8,4,12,3,15,0,6,37,83
SAL31052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31053,5,15,0,0,0,5,0,8,3,16,5,29,0,0,0,0,0,0,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,39
SAL31054,639,1279,13,64,91,393,20,90,409,1612,530,2162,49,202,70,236,157,520,272,957,802,3117,0,9,17,63,8,30,101,270,130,370,5,23,15,40,67,141,88,201,218,572,20,37,1682,5006
SAL31055,0,6,0,0,0,0,0,0,5,11,4,15,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
SAL31056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31057,51,109,0,6,4,11,3,22,22,63,22,100,0,0,6,10,6,24,11,33,31,136,0,0,0,7,0,0,7,23,9,22,0,3,0,5,3,12,10,19,15,42,4,8,107,294
SAL31058,7,22,0,0,0,0,0,5,3,13,4,15,3,7,0,0,4,3,8,15,11,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,54
SAL31059,10,16,0,0,0,0,0,0,5,16,5,16,0,3,0,0,0,3,0,6,5,25,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,0,0,0,3,4,3,6,19,44
SAL31060,23,47,0,0,0,13,0,5,5,21,11,42,5,8,0,4,0,4,5,16,15,53,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,3,0,3,4,5,0,0,44,111
SAL31061,17,37,0,0,0,5,0,0,4,17,6,20,0,5,0,0,6,6,3,14,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,11,4,11,5,4,32,75
SAL31062,245,490,0,8,23,101,7,28,110,448,140,582,10,30,17,59,21,61,46,157,189,735,0,0,4,9,0,4,14,45,22,65,6,16,5,11,20,39,24,65,49,128,0,0,485,1352
SAL31063,116,233,0,3,6,34,3,11,29,123,39,175,3,15,4,12,18,53,30,85,69,260,0,9,6,18,0,9,21,60,29,94,5,8,0,3,12,21,13,29,44,121,4,4,232,624
SAL31064,2008,4040,73,457,341,1575,73,346,1555,6033,2040,8414,182,782,338,1172,548,1788,1070,3747,3113,12163,27,151,80,304,42,182,409,1096,560,1732,53,179,112,270,384,878,553,1326,1116,3061,91,200,6325,19464
SAL31065,8,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,9,16
SAL31066,20,36,0,0,4,10,0,0,4,19,7,29,0,0,0,6,4,16,8,12,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,4,3,4,0,0,35,83
SAL31067,290,582,7,43,34,190,13,56,141,574,191,868,33,125,38,158,113,355,184,638,378,1503,0,4,5,24,0,8,24,55,35,91,6,15,8,12,24,74,36,98,67,188,3,19,744,2295
SAL31068,13,19,0,0,0,6,0,0,0,10,3,13,0,8,0,0,6,5,9,14,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,3,5,0,0,22,54
SAL31069,9,15,0,0,0,5,0,0,3,19,3,22,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,40
SAL31070,6,9,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,6,0,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16
SAL31071,10,24,0,0,0,0,0,0,0,13,0,13,0,0,0,4,0,4,6,10,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,21,50
SAL31072,234,460,0,5,11,59,3,21,47,195,63,277,4,9,3,7,24,58,25,83,91,357,0,3,0,0,0,8,24,62,20,72,0,8,6,3,19,37,20,49,43,119,5,11,375,945
SAL31073,13,25,0,0,0,0,0,0,7,17,7,17,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,5,0,0,19,49
SAL31074,1372,2705,0,0,15,50,0,3,227,727,242,780,0,9,20,61,26,71,49,144,288,931,0,0,7,22,0,3,71,137,80,168,0,0,27,49,54,107,78,158,155,324,83,164,1892,4120
SAL31075,0,4,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14
SAL31076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31077,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
SAL31078,3,8,0,0,0,0,0,0,4,21,4,21,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28
SAL31079,15,28,0,0,3,22,0,0,5,23,10,44,0,0,0,3,0,7,0,9,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,5,4,0,0,26,87
SAL31080,11,22,0,0,0,0,0,0,3,35,3,35,0,0,0,0,0,4,0,4,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,55
SAL31081,22,37,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,46
SAL31082,10,15,0,0,0,8,0,0,0,4,4,12,0,0,0,5,0,0,0,5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27
SAL31083,34,69,0,6,4,17,0,0,13,66,22,94,0,4,0,7,10,28,12,36,32,129,0,0,0,0,0,0,4,5,4,5,0,0,0,0,3,6,3,6,3,15,0,0,68,211
SAL31084,31,59,0,0,0,18,0,0,9,51,20,67,0,11,3,3,7,20,11,36,26,100,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,6,0,6,8,8,0,4,65,174
SAL31085,16,32,0,0,0,12,0,6,4,11,5,28,0,9,0,5,0,0,4,11,8,36,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,3,3,0,0,23,74
SAL31086,1026,2040,16,92,84,362,25,127,599,2334,732,2915,43,175,59,199,180,571,287,943,1011,3855,3,25,36,121,26,85,185,485,253,719,8,29,33,69,139,318,186,410,436,1130,32,67,2506,7093
SAL31087,240,480,0,4,22,96,8,41,136,510,169,655,5,33,16,62,24,62,50,158,217,811,0,0,14,44,4,7,66,165,88,223,4,16,16,31,23,46,44,88,127,312,6,8,590,1616
SAL31088,30,60,0,0,3,7,0,7,4,20,8,34,0,0,0,0,3,20,9,21,18,63,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,4,9,4,10,0,4,50,125
SAL31089,4,5,0,0,3,10,0,0,0,0,3,10,0,0,0,0,4,4,4,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20
SAL31090,11,18,0,0,0,6,0,0,7,20,5,23,0,0,0,7,0,0,0,7,7,23,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,15,42
SAL31091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31092,16,32,0,0,0,6,0,4,3,19,3,22,0,0,4,10,6,6,4,13,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,3,8,0,0,26,76
SAL31093,138,287,3,26,8,26,9,52,89,347,105,450,3,12,5,28,33,113,44,153,157,603,0,3,12,66,6,47,54,155,82,269,5,28,10,19,48,111,66,150,146,420,13,29,452,1339
SAL31094,4,7,0,0,0,3,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12
SAL31095,6,19,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25
SAL31096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31098,186,363,0,6,11,39,5,17,62,244,78,312,7,13,5,16,42,122,51,155,130,464,0,0,13,53,5,35,55,149,74,235,6,17,16,36,68,146,89,199,163,438,17,41,500,1305
SAL31099,21,40,0,0,4,6,5,6,9,45,19,66,0,4,0,4,9,21,8,31,24,94,0,0,0,7,0,0,0,8,3,12,0,0,0,0,4,9,4,9,5,22,0,0,55,155
SAL31100,19,34,0,0,0,6,0,0,0,9,3,13,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,5,6,0,0,23,55
SAL31101,3,7,0,0,0,4,0,0,0,0,3,8,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,7,19
SAL31102,25,46,0,20,0,0,0,7,6,53,10,77,0,0,6,10,6,8,9,22,16,94,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,5,8,0,0,46,151
SAL31103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31104,747,1495,10,74,75,384,17,70,380,1485,487,2018,16,76,28,104,121,367,172,549,651,2564,3,21,36,142,10,43,148,416,199,616,16,45,25,48,131,288,164,392,368,1007,39,102,1813,5166
SAL31105,178,361,3,22,23,103,12,60,68,277,108,455,7,23,28,97,69,222,99,337,208,792,0,16,3,15,5,10,22,61,29,97,6,24,0,8,34,71,40,101,72,194,3,14,464,1362
SAL31106,224,434,7,27,12,73,3,24,77,290,97,412,5,22,11,32,28,86,44,139,142,549,0,6,15,39,0,9,39,103,53,161,0,4,5,4,29,58,32,71,86,223,8,11,457,1218
SAL31107,356,705,3,15,24,101,0,10,216,791,238,919,12,48,20,75,28,88,61,213,299,1130,0,0,3,17,3,9,78,172,83,197,9,24,27,45,45,95,77,163,162,357,26,54,850,2246
SAL31108,448,902,8,47,70,334,13,50,364,1362,453,1792,27,128,59,194,92,293,175,612,628,2405,3,14,13,49,5,27,81,214,107,309,13,37,16,33,78,189,106,266,212,576,26,54,1315,3926
SAL31109,62,117,4,14,11,53,0,3,16,70,31,145,6,21,10,36,8,35,24,90,60,232,0,0,3,8,0,0,3,14,9,15,0,4,0,8,4,4,6,11,11,32,0,0,127,384
SAL31110,3,11,0,0,0,5,0,0,7,18,5,25,0,7,0,0,0,4,5,11,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46
SAL31111,30,68,0,0,3,9,0,3,13,53,17,71,0,0,0,0,5,9,5,9,20,81,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,12,4,12,0,11,0,0,60,154
SAL31112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31113,3,12,0,0,0,4,0,0,3,8,3,14,0,8,0,3,0,6,6,15,11,27,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,15,40
SAL31114,36,73,0,0,4,4,0,6,16,66,22,88,0,0,0,4,5,29,8,35,31,115,0,0,4,6,0,5,0,10,6,17,0,0,0,0,3,8,3,8,10,26,0,0,70,214
SAL31115,6,11,0,0,0,0,0,0,4,16,4,16,0,4,0,0,0,5,4,4,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33
SAL31116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31117,5,19,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,5,3,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,0,0,11,32
SAL31118,5,4,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
SAL31119,8,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
SAL31120,4,3,0,0,0,0,0,4,0,3,0,3,0,0,0,0,4,8,4,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,5,17
SAL31121,9,23,0,0,0,0,0,0,5,23,5,23,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,17,49
SAL31122,4,10,0,0,0,3,0,0,0,6,4,10,0,6,6,5,0,5,3,19,7,24,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,10,37
SAL31123,229,468,7,26,53,257,12,44,247,963,314,1289,19,87,23,84,72,225,115,393,426,1679,3,15,8,21,0,5,45,112,56,153,0,3,7,8,34,68,33,80,90,234,3,11,748,2391
SAL31124,130,265,0,0,4,38,0,0,44,160,50,198,0,8,10,23,18,54,23,88,72,283,6,21,4,14,3,12,27,68,36,120,0,0,6,11,13,31,19,48,60,169,9,13,271,727
SAL31125,22,42,0,0,0,12,0,11,15,64,22,91,0,0,0,7,4,20,7,30,26,116,0,0,0,0,0,0,5,6,5,6,0,0,0,0,0,0,0,0,5,6,6,4,53,165
SAL31126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31127,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
SAL31128,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL31129,47,98,0,4,3,21,3,10,11,64,23,103,0,3,0,4,4,14,3,20,27,120,0,0,0,5,0,5,8,17,5,29,0,0,0,7,0,5,5,11,16,34,0,0,90,251
SAL31130,9,11,0,0,0,0,0,0,0,10,0,10,0,0,0,0,3,4,0,10,3,18,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,11,34
SAL31131,3,9,0,0,0,0,0,0,0,18,4,20,0,0,0,0,0,7,0,9,7,33,0,0,6,7,0,3,0,0,4,12,0,0,0,0,3,5,3,5,7,14,0,0,18,62
SAL31132,119,243,0,0,11,42,5,13,67,243,78,294,4,10,9,33,10,22,20,66,96,361,0,0,3,6,6,15,30,70,31,88,0,3,5,11,20,38,22,50,58,140,9,16,287,767
SAL31133,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13
SAL31134,48,98,0,0,3,16,0,3,26,92,28,111,3,13,9,14,14,45,21,76,48,188,0,0,0,10,0,0,0,4,3,11,0,5,0,0,5,8,7,11,11,23,0,0,110,314
SAL31135,42,79,4,11,0,0,0,4,8,21,8,43,3,6,0,3,9,14,6,30,18,67,0,0,0,0,0,0,0,8,0,8,0,0,0,0,5,17,5,17,8,21,0,0,70,170
SAL31136,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,4,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22
SAL31137,722,1466,9,43,57,256,23,106,352,1406,441,1806,28,130,49,171,148,465,219,762,662,2569,3,19,22,75,3,19,87,247,117,352,9,23,13,23,86,194,106,240,223,592,9,16,1615,4646
SAL31138,43,82,0,0,3,7,0,0,22,88,28,99,0,3,3,7,13,51,20,62,44,162,0,0,5,11,0,0,3,9,4,20,0,4,0,8,6,16,13,27,17,45,0,0,102,284
SAL31139,5,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,5,8
SAL31140,17,37,0,0,0,0,0,8,9,25,10,34,0,7,0,5,7,9,5,17,13,50,0,0,0,0,0,0,4,6,4,6,0,0,0,0,0,3,0,3,4,9,0,0,32,95
SAL31141,81,169,0,0,6,26,0,5,31,131,40,155,0,7,0,7,8,23,8,31,50,195,0,0,0,4,5,4,10,23,9,36,0,0,0,3,4,9,5,15,19,52,0,8,153,422
SAL31142,4,7,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,7,15
SAL31143,17,35,0,7,4,11,0,0,8,27,8,50,0,0,3,11,5,16,10,30,21,75,0,0,0,0,0,6,3,6,0,13,0,0,0,0,0,10,0,10,5,16,0,0,39,126
SAL31144,11,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34
SAL31145,255,502,7,45,29,140,14,67,241,915,296,1173,13,59,26,70,48,133,84,264,375,1432,0,3,13,61,7,19,79,228,105,314,7,16,5,15,24,54,36,84,137,396,9,18,785,2351
